
===================================
| IO Statistics                   |
|                                 |
| Interval size: 0.5 secs         |
| Col 1: Frames and bytes         |
|---------------------------------|
|                |1               |
| Interval
| Interval       | Frames | Bytes |
|---------------------------------|
|   0.0 <>   0.5 |     14 |  2305 |
|   0.5 <>   1.0 |     33 | 12219 |
|   1.0 <>   1.5 |     46 | 14555 |
|   1.5 <>   2.0 |     49 | 20475 |
|   2.0 <>   2.5 |     41 | 19347 |
|   2.5 <>   3.0 |     40 | 21243 |
|   3.0 <>   3.5 |     55 | 34134 |
|   3.5 <>   4.0 |     57 | 34181 |
|   4.0 <>   4.5 |      7 |   476 |
|   4.5 <>   5.0 |     14 |   952 |
|   5.0 <>   5.5 |      0 |     0 |
|   5.5 <>   6.0 |      0 |     0 |
|   6.0 <>   6.5 |      8 |   541 |
|   6.5 <>   7.0 |     68 | 29975 |
|   7.0 <>   7.5 |     42 | 30216 |
|   7.5 <>   8.0 |     44 | 31720 |
|   8.0 <>   8.5 |     45 | 32011 |
|   8.5 <>   9.0 |     42 | 30701 |
|   9.0 <>   9.5 |     44 | 27684 |
|   9.5 <>  10.0 |      0 |     0 |
|  10.0 <>  10.5 |      3 |   204 |
|  10.5 <>  11.0 |      0 |     0 |
|  11.0 <>  11.5 |      0 |     0 |
|  11.5 <>  12.0 |      0 |     0 |
|  12.0 <>  12.5 |      6 |   408 |
|  12.5 <>  13.0 |      0 |     0 |
|  13.0 <>  13.5 |      3 |   243 |
|  13.5 <>  14.0 |     14 |   952 |
|  14.0 <>  14.5 |     24 |  6373 |
|  14.5 <>  15.0 |     18 |  7799 |
|  15.0 <>  15.5 |     10 |  1187 |
|  15.5 <>  16.0 |      7 |   865 |
|  16.0 <>  16.5 |      6 |   825 |
|  16.5 <>  17.0 |     10 |  5016 |
|  17.0 <>  17.5 |      8 |  3441 |
|  17.5 <>  18.0 |      2 |   136 |
|  18.0 <>  18.5 |     11 |  6407 |
|  18.5 <>  19.0 |      0 |     0 |
|  19.0 <>  19.5 |      0 |     0 |
|  19.5 <>  20.0 |      0 |     0 |
|  20.0 <>  20.5 |      0 |     0 |
|  20.5 <>  21.0 |      0 |     0 |
|  21.0 <>  21.5 |      0 |     0 |
|  21.5 <>  22.0 |      0 |     0 |
|  22.0 <>  22.5 |      0 |     0 |
|  22.5 <>  23.0 |      0 |     0 |
|  23.0 <>  23.5 |      0 |     0 |
|  23.5 <>  24.0 |      0 |     0 |
|  24.0 <>  24.5 |      0 |     0 |
|  24.5 <>  25.0 |      0 |     0 |
|  25.0 <>  25.5 |      0 |     0 |
|  25.5 <>  26.0 |      0 |     0 |
|  26.0 <>  26.5 |      0 |     0 |
|  26.5 <>  27.0 |      0 |     0 |
|  27.0 <>  27.5 |      0 |     0 |
|  27.5 <>  28.0 |      0 |     0 |
|  28.0 <>  28.5 |      0 |     0 |
|  28.5 <>  29.0 |      0 |     0 |
|  29.0 <>  29.5 |      0 |     0 |
|  29.5 <>  30.0 |      0 |     0 |
|  30.0 <>  30.5 |      0 |     0 |
|  30.5 <>  31.0 |      0 |     0 |
|  31.0 <>  31.5 |      0 |     0 |
|  31.5 <>  32.0 |      1 |    76 |
|  32.0 <>  32.5 |      0 |     0 |
|  32.5 <>  33.0 |      0 |     0 |
|  33.0 <>  33.5 |      0 |     0 |
|  33.5 <>  34.0 |      0 |     0 |
|  34.0 <>  34.5 |      0 |     0 |
|  34.5 <>  35.0 |      4 |   431 |
|  35.0 <>  35.5 |      0 |     0 |
|  35.5 <>  36.0 |      0 |     0 |
|  36.0 <>  36.5 |      0 |     0 |
|  36.5 <>  37.0 |      9 |  1228 |
|  37.0 <>  37.5 |      4 |   799 |
|  37.5 <>  38.0 |     25 |  2830 |
|  38.0 <>  38.5 |     40 | 15094 |
|  38.5 <>  39.0 |      9 |  2741 |
|  39.0 <>  39.5 |     12 |  3562 |
|  39.5 <>  40.0 |      0 |     0 |
|  40.0 <>  40.5 |     17 |  9804 |
|  40.5 <>  41.0 |      5 |   340 |
|  41.0 <>  41.5 |     16 |  8787 |
|  41.5 <>  42.0 |     10 |   680 |
|  42.0 <>  42.5 |     12 |  2130 |
|  42.5 <>  43.0 |     51 | 29014 |
|  43.0 <>  43.5 |     71 | 38627 |
|  43.5 <>  44.0 |     66 | 33790 |
|  44.0 <>  44.5 |     61 | 42511 |
|  44.5 <>  45.0 |     45 | 32455 |
|  45.0 <>  45.5 |     67 | 32674 |
|  45.5 <>  46.0 |     61 | 28982 |
|  46.0 <>  46.5 |     18 |  1600 |
|  46.5 <>  47.0 |      7 |  2634 |
|  47.0 <>  47.5 |      1 |   956 |
|  47.5 <>  48.0 |      4 |  1637 |
