
==================================
| IO Statistics                  |
|                                |
| Interval size: 0.5 secs        |
| Col 1: Frames and bytes        |
|--------------------------------|
|              |1                |
| Interval
| Interval     | Frames |  Bytes |
|--------------------------------|
|  0.0 <>  0.5 |      6 |    567 |
|  0.5 <>  1.0 |      0 |      0 |
|  1.0 <>  1.5 |      0 |      0 |
|  1.5 <>  2.0 |      0 |      0 |
|  2.0 <>  2.5 |      2 |    310 |
|  2.5 <>  3.0 |      8 |   1513 |
|  3.0 <>  3.5 |     29 |  13488 |
|  3.5 <>  4.0 |     93 |  62531 |
|  4.0 <>  4.5 |     93 |  54868 |
|  4.5 <>  5.0 |     86 |  57764 |
|  5.0 <>  5.5 |      9 |   4356 |
|  5.5 <>  6.0 |      1 |     68 |
|  6.0 <>  6.5 |      2 |    136 |
|  6.5 <>  7.0 |     13 |    872 |
|  7.0 <>  7.5 |     27 |   1812 |
|  7.5 <>  8.0 |      0 |      0 |
|  8.0 <>  8.5 |      0 |      0 |
|  8.5 <>  9.0 |      1 |     68 |
|  9.0 <>  9.5 |     21 |  10355 |
|  9.5 <> 10.0 |     98 |  33964 |
| 10.0 <> 10.5 |    222 | 143243 |
| 10.5 <> 11.0 |     59 |  41670 |
| 11.0 <> 11.5 |     57 |  46899 |
| 11.5 <> 12.0 |      5 |    377 |
| 12.0 <> 12.5 |      8 |    565 |
| 12.5 <> 13.0 |     34 |   8422 |
| 13.0 <> 13.5 |     12 |    816 |
| 13.5 <> 14.0 |     29 |   5813 |
| 14.0 <> 14.5 |      2 |    895 |
| 14.5 <> 15.0 |     10 |   4098 |
| 15.0 <> 15.5 |      3 |   1115 |
| 15.5 <> 16.0 |     26 |  13635 |
| 16.0 <> 16.5 |     97 |  50024 |
| 16.5 <> 17.0 |    111 |  64512 |
| 17.0 <> 17.5 |    102 |  58346 |
| 17.5 <> 18.0 |     16 |  10837 |
| 18.0 <> 18.5 |      9 |   6969 |
| 18.5 <> 19.0 |      0 |      0 |
| 19.0 <> 19.5 |     38 |   5456 |
| 19.5 <> 20.0 |     15 |   1008 |
| 20.0 <> 20.5 |      0 |      0 |
| 20.5 <> 21.0 |     11 |   5232 |
| 21.0 <> 21.5 |     97 |  39315 |
| 21.5 <> 22.0 |     45 |  22602 |
| 22.0 <> 22.5 |     31 |  16416 |
| 22.5 <> 23.0 |     46 |  27050 |
| 23.0 <> 23.5 |      0 |      0 |
| 23.5 <> 24.0 |      6 |    408 |
| 24.0 <> 24.5 |      0 |      0 |
| 24.5 <> 25.0 |      0 |      0 |
| 25.0 <> 25.5 |      0 |      0 |
| 25.5 <> 26.0 |     48 |   3264 |
| 26.0 <> 26.5 |      0 |      0 |
| 26.5 <> 27.0 |      0 |      0 |
| 27.0 <> 27.5 |      0 |      0 |
| 27.5 <> 28.0 |      0 |      0 |
| 28.0 <> 28.5 |      1 |     76 |
| 28.5 <> 29.0 |      1 |     76 |
| 29.0 <> 29.5 |      1 |     76 |
| 29.5 <> 30.0 |      5 |   1276 |
| 30.0 <> 30.5 |      9 |   1147 |
| 30.5 <> 31.0 |      0 |      0 |
| 31.0 <> 31.5 |      0 |      0 |
| 31.5 <> 32.0 |      1 |     68 |
| 32.0 <> 32.5 |      2 |    136 |
| 32.5 <> 33.0 |      2 |    310 |
| 33.0 <> 33.5 |      3 |    220 |
| 33.5 <> 34.0 |      1 |     68 |
| 34.0 <> 34.5 |      0 |      0 |
| 34.5 <> 35.0 |      9 |   1054 |
| 35.0 <> 35.5 |      0 |      0 |
| 35.5 <> 36.0 |     16 |   2486 |
| 36.0 <> 36.5 |      0 |      0 |
| 36.5 <> 37.0 |      1 |     68 |
| 37.0 <> 37.5 |      2 |    136 |
| 37.5 <> 38.0 |      0 |      0 |
| 38.0 <> 38.5 |      1 |     76 |
| 38.5 <> 39.0 |      6 |   1920 |
| 39.0 <> 39.5 |      0 |      0 |
| 39.5 <> 40.0 |      0 |      0 |
| 40.0 <> 40.5 |      5 |    340 |
| 40.5 <> 41.0 |      1 |     89 |
| 41.0 <> 41.5 |      0 |      0 |
| 41.5 <> 42.0 |      5 |   1669 |
| 42.0 <> 42.5 |     93 |  61795 |
| 42.5 <> 43.0 |    210 | 119159 |
| 43.0 <> 43.5 |     67 |  44131 |
| 43.5 <> 44.0 |     61 |  34822 |
| 44.0 <> 44.5 |    183 | 105117 |
| 44.5 <> 45.0 |     49 |  19840 |
| 45.0 <> 45.5 |     95 |  46334 |
| 45.5 <> 46.0 |    147 |  84120 |
| 46.0 <> 46.5 |    144 |  66357 |
| 46.5 <> 47.0 |     25 |  12279 |
| 47.0 <> 47.5 |     35 |  16328 |
| 47.5 <> 48.0 |     30 |   9708 |
| 48.0 <> 48.5 |     61 |  33759 |
| 48.5 <> 49.0 |     22 |   7541 |
| 49.0 <> 49.5 |     32 |   8025 |
| 49.5 <> 50.0 |     19 |  10309 |
| 50.0 <> 50.5 |     58 |  15518 |
| 50.5 <> 51.0 |     39 |  16961 |
| 51.0 <> 51.5 |     32 |  13177 |
| 51.5 <> 52.0 |    212 | 135668 |
| 52.0 <> 52.5 |    123 |  74403 |
| 52.5 <> 53.0 |    151 | 103319 |
| 53.0 <> 53.5 |      8 |   2174 |
| 53.5 <> 54.0 |     20 |   1509 |
| 54.0 <> 54.5 |     32 |   5090 |
| 54.5 <> 55.0 |     93 |  50748 |
| 55.0 <> 55.5 |      6 |   2821 |
| 55.5 <> 56.0 |     69 |  24521 |
| 56.0 <> 56.5 |     26 |  14286 |
| 56.5 <> 57.0 |     11 |   2187 |
| 57.0 <> 57.5 |     20 |   4236 |
| 57.5 <> 58.0 |    202 |  90543 |
| 58.0 <> 58.5 |     88 |  52118 |
| 58.5 <> 59.0 |      0 |      0 |
| 59.0 <> 59.5 |      0 |      0 |
| 59.5 <> 60.0 |      0 |      0 |
| 60.0 <> 60.5 |      4 |    287 |
| 60.5 <> 61.0 |     75 |   5100 |
| 61.0 <> 61.5 |      0 |      0 |
| 61.5 <> 62.0 |      0 |      0 |
| 62.0 <> 62.5 |      0 |      0 |
| 62.5 <> 63.0 |     76 |  36607 |
| 63.0 <> 63.5 |     14 |   8634 |
| 63.5 <> 64.0 |      1 |     89 |
| 64.0 <> 64.5 |     10 |   2879 |
| 64.5 <> 65.0 |      1 |     68 |
| 65.0 <> 65.5 |      2 |    136 |
| 65.5 <> 66.0 |      0 |      0 |
| 66.0 <> 66.5 |      0 |      0 |
| 66.5 <> 67.0 |      6 |    408 |
| 67.0 <> 67.5 |      0 |      0 |
| 67.5 <> 68.0 |      1 |     76 |
| 68.0 <> 68.5 |      0 |      0 |
| 68.5 <> 69.0 |     14 |    952 |
| 69.0 <> 69.5 |     10 |    680 |
| 69.5 <> 70.2 |      7 |   1339 |
==================================
