
====================================
| IO Statistics                    |
|                                  |
| Interval size: 0.5 secs          |
| Col 1: Frames and bytes          |
|----------------------------------|
|                |1                |
| Interval
| Interval       | Frames |  Bytes |
|----------------------------------|
|   0.0 <>   0.5 |     12 |   2031 |
|   0.5 <>   1.0 |      9 |   1513 |
|   1.0 <>   1.5 |      0 |      0 |
|   1.5 <>   2.0 |      6 |    408 |
|   2.0 <>   2.5 |      1 |     68 |
|   2.5 <>   3.0 |      2 |    136 |
|   3.0 <>   3.5 |      0 |      0 |
|   3.5 <>   4.0 |      0 |      0 |
|   4.0 <>   4.5 |      1 |     68 |
|   4.5 <>   5.0 |      2 |    136 |
|   5.0 <>   5.5 |      0 |      0 |
|   5.5 <>   6.0 |      1 |     80 |
|   6.0 <>   6.5 |      0 |      0 |
|   6.5 <>   7.0 |      6 |   1283 |
|   7.0 <>   7.5 |     38 |  18731 |
|   7.5 <>   8.0 |    203 | 117466 |
|   8.0 <>   8.5 |    171 | 111646 |
|   8.5 <>   9.0 |     72 |  41587 |
|   9.0 <>   9.5 |     15 |  11319 |
|   9.5 <>  10.0 |      3 |    204 |
|  10.0 <>  10.5 |      1 |     94 |
|  10.5 <>  11.0 |      2 |    276 |
|  11.0 <>  11.5 |      1 |     68 |
|  11.5 <>  12.0 |     48 |   3192 |
|  12.0 <>  12.5 |      0 |      0 |
|  12.5 <>  13.0 |      0 |      0 |
|  13.0 <>  13.5 |     14 |   4933 |
|  13.5 <>  14.0 |     12 |   1694 |
|  14.0 <>  14.5 |      7 |   1878 |
|  14.5 <>  15.0 |      0 |      0 |
|  15.0 <>  15.5 |      0 |      0 |
|  15.5 <>  16.0 |      3 |    204 |
|  16.0 <>  16.5 |      0 |      0 |
|  16.5 <>  17.0 |      0 |      0 |
|  17.0 <>  17.5 |      0 |      0 |
|  17.5 <>  18.0 |      3 |    204 |
|  18.0 <>  18.5 |      0 |      0 |
|  18.5 <>  19.0 |      0 |      0 |
|  19.0 <>  19.5 |     10 |    680 |
|  19.5 <>  20.0 |      0 |      0 |
|  20.0 <>  20.5 |      8 |    655 |
|  20.5 <>  21.0 |      3 |    192 |
|  21.0 <>  21.5 |      2 |    247 |
|  21.5 <>  22.0 |      0 |      0 |
|  22.0 <>  22.5 |      0 |      0 |
|  22.5 <>  23.0 |      0 |      0 |
|  23.0 <>  23.5 |      0 |      0 |
|  23.5 <>  24.0 |      0 |      0 |
|  24.0 <>  24.5 |      0 |      0 |
|  24.5 <>  25.0 |      0 |      0 |
|  25.0 <>  25.5 |      0 |      0 |
|  25.5 <>  26.0 |      1 |     76 |
|  26.0 <>  26.5 |      3 |    363 |
|  26.5 <>  27.0 |      0 |      0 |
|  27.0 <>  27.5 |      1 |     68 |
|  27.5 <>  28.0 |      0 |      0 |
|  28.0 <>  28.5 |      0 |      0 |
