
==================================
| IO Statistics                  |
|                                |
| Interval size: 0.5 secs        |
| Col 1: Frames and bytes        |
|--------------------------------|
|              |1                |
| Interval
| Interval     | Frames |  Bytes |
|--------------------------------|
|  0.0 <>  0.5 |     27 |   8511 |
|  0.5 <>  1.0 |      0 |      0 |
|  1.0 <>  1.5 |      5 |   1413 |
|  1.5 <>  2.0 |     10 |   1823 |
|  2.0 <>  2.5 |     41 |  18314 |
|  2.5 <>  3.0 |    217 | 121244 |
|  3.0 <>  3.5 |    143 |  93570 |
|  3.5 <>  4.0 |     37 |  23799 |
|  4.0 <>  4.5 |     72 |  37274 |
|  4.5 <>  5.0 |      6 |   4015 |
|  5.0 <>  5.5 |      0 |      0 |
|  5.5 <>  6.0 |     12 |    816 |
|  6.0 <>  6.5 |     24 |   1632 |
|  6.5 <>  7.0 |      0 |      0 |
|  7.0 <>  7.5 |      0 |      0 |
|  7.5 <>  8.0 |      8 |    518 |
|  8.0 <>  8.5 |     38 |   6847 |
|  8.5 <>  9.0 |      0 |      0 |
|  9.0 <>  9.5 |      0 |      0 |
|  9.5 <> 10.0 |      0 |      0 |
| 10.0 <> 10.5 |      1 |     68 |
| 10.5 <> 11.0 |      2 |    136 |
| 11.0 <> 11.5 |      0 |      0 |
| 11.5 <> 12.0 |      0 |      0 |
| 12.0 <> 12.5 |      2 |    136 |
| 12.5 <> 13.0 |      5 |    350 |
| 13.0 <> 13.5 |      2 |    261 |
| 13.5 <> 14.0 |      7 |    656 |
| 14.0 <> 14.5 |      9 |   3721 |
| 14.5 <> 15.0 |      3 |   1561 |
| 15.0 <> 15.5 |      0 |      0 |
| 15.5 <> 16.0 |      0 |      0 |
| 16.0 <> 16.5 |      0 |      0 |
| 16.5 <> 17.0 |      0 |      0 |
| 17.0 <> 17.5 |      0 |      0 |
| 17.5 <> 18.0 |      0 |      0 |
| 18.0 <> 18.5 |      0 |      0 |
| 18.5 <> 19.0 |      0 |      0 |
| 19.0 <> 19.5 |      0 |      0 |
| 19.5 <> 20.0 |      0 |      0 |
| 20.0 <> 20.5 |      0 |      0 |
| 20.5 <> 21.0 |      0 |      0 |
| 21.0 <> 21.5 |      0 |      0 |
| 21.5 <> 22.0 |      0 |      0 |
| 22.0 <> 22.5 |      0 |      0 |
| 22.5 <> 23.0 |      0 |      0 |
| 23.0 <> 23.5 |      0 |      0 |
| 23.5 <> 24.0 |      0 |      0 |
| 24.0 <> 24.5 |      0 |      0 |
| 24.5 <> 25.0 |      0 |      0 |
| 25.0 <> 25.5 |      0 |      0 |
