
===================================
| IO Statistics                   |
|                                 |
| Interval size: 0.5 secs         |
| Col 1: Frames and bytes         |
|---------------------------------|
|                |1               |
| Interval
| Interval       | Frames | Bytes |
|---------------------------------|
|   0.0 <>   0.5 |      1 |    68 |
|   0.5 <>   1.0 |      0 |     0 |
|   1.0 <>   1.5 |      0 |     0 |
|   1.5 <>   2.0 |      0 |     0 |
|   2.0 <>   2.5 |      2 |   310 |
|   2.5 <>   3.0 |      0 |     0 |
|   3.0 <>   3.5 |      0 |     0 |
|   3.5 <>   4.0 |      1 |    78 |
|   4.0 <>   4.5 |      3 |   253 |
|   4.5 <>   5.0 |      0 |     0 |
|   5.0 <>   5.5 |      7 |  1473 |
|   5.5 <>   6.0 |     11 |  1360 |
|   6.0 <>   6.5 |     18 |  7588 |
|   6.5 <>   7.0 |     45 | 16654 |
|   7.0 <>   7.5 |     91 | 41935 |
|   7.5 <>   8.0 |     15 | 10264 |
|   8.0 <>   8.5 |     53 | 37640 |
|   8.5 <>   9.0 |     42 | 30216 |
|   9.0 <>   9.5 |     56 | 33238 |
|   9.5 <>  10.0 |     43 | 30466 |
|  10.0 <>  10.5 |     43 | 31652 |
|  10.5 <>  11.0 |     38 | 29944 |
|  11.0 <>  11.5 |     61 | 32928 |
|  11.5 <>  12.0 |     53 | 31480 |
|  12.0 <>  12.5 |     43 | 12121 |
|  12.5 <>  13.0 |     25 |  6845 |
|  13.0 <>  13.5 |     33 | 13220 |
|  13.5 <>  14.0 |     39 | 15973 |
|  14.0 <>  14.5 |     47 | 23023 |
|  14.5 <>  15.0 |     17 |  8292 |
|  15.0 <>  15.5 |      5 |  1073 |
|  15.5 <>  16.0 |      0 |     0 |
|  16.0 <>  16.5 |      4 |   286 |
|  16.5 <>  17.0 |     24 |  9058 |
|  17.0 <>  17.5 |     20 |  7725 |
|  17.5 <>  18.0 |     20 |  1378 |
|  18.0 <>  18.5 |      6 |   906 |
|  18.5 <>  19.0 |     22 |  8447 |
|  19.0 <>  19.5 |     50 | 32711 |
|  19.5 <>  20.0 |     24 |  9016 |
|  20.0 <>  20.5 |      4 |   687 |
|  20.5 <>  21.0 |      1 |   105 |
|  21.0 <>  21.5 |      6 |   397 |
|  21.5 <>  22.0 |      4 |   251 |
|  22.0 <>  22.5 |      0 |     0 |
|  22.5 <>  23.0 |      0 |     0 |
|  23.0 <>  23.5 |      9 |   540 |
|  23.5 <>  24.0 |      0 |     0 |
|  24.0 <>  24.5 |      0 |     0 |
|  24.5 <>  25.0 |      0 |     0 |
|  25.0 <>  25.5 |      0 |     0 |
|  25.5 <>  26.0 |      0 |     0 |
|  26.0 <>  26.5 |      0 |     0 |
|  26.5 <>  27.0 |      0 |     0 |
|  27.0 <>  27.5 |      0 |     0 |
|  27.5 <>  28.0 |      0 |     0 |
|  28.0 <>  28.5 |      0 |     0 |
|  28.5 <>  29.0 |      0 |     0 |
|  29.0 <>  29.5 |      0 |     0 |
|  29.5 <>  30.0 |      0 |     0 |
|  30.0 <>  30.5 |      0 |     0 |
|  30.5 <>  31.0 |      0 |     0 |
|  31.0 <>  31.5 |      0 |     0 |
|  31.5 <>  32.0 |      0 |     0 |
|  32.0 <>  32.5 |      0 |     0 |
|  32.5 <>  33.0 |      0 |     0 |
|  33.0 <>  33.5 |      0 |     0 |
|  33.5 <>  34.0 |      0 |     0 |
|  34.0 <>  34.5 |      1 |    83 |
|  34.5 <>  35.0 |      0 |     0 |
|  35.0 <>  35.5 |      0 |     0 |
|  35.5 <>  36.0 |      0 |     0 |
|  36.0 <>  36.5 |      0 |     0 |
|  36.5 <>  37.0 |      0 |     0 |
|  37.0 <>  37.5 |      2 |   191 |
|  37.5 <>  38.0 |      3 |   831 |
|  38.0 <>  38.5 |      5 |   948 |
|  38.5 <>  39.0 |      0 |     0 |
|  39.0 <>  39.5 |      0 |     0 |
|  39.5 <>  40.0 |      0 |     0 |
|  40.0 <>  40.5 |      1 |    68 |
|  40.5 <>  41.0 |      2 |   136 |
|  41.0 <>  41.5 |      0 |     0 |
|  41.5 <>  42.0 |      0 |     0 |
|  42.0 <>  42.5 |      0 |     0 |
|  42.5 <>  43.0 |      0 |     0 |
|  43.0 <>  43.5 |      0 |     0 |
|  43.5 <>  44.0 |      0 |     0 |
|  44.0 <>  44.5 |      0 |     0 |
|  44.5 <>  45.0 |      1 |    76 |
|  45.0 <>  45.5 |      3 |   363 |
|  45.5 <>  46.0 |      0 |     0 |
|  46.0 <>  46.5 |      1 |    68 |
|  46.5 <>  47.0 |      0 |     0 |
|  47.0 <>  47.5 |      0 |     0 |
|  47.5 <>  48.0 |      0 |     0 |
|  48.0 <>  48.5 |      3 |   378 |
|  48.5 <>  49.0 |      2 |   136 |
|  49.0 <>  49.5 |      0 |     0 |
|  49.5 <>  50.0 |      1 |    76 |
|  50.0 <>  50.5 |      1 |    76 |
|  50.5 <>  51.0 |      6 |   472 |
|  51.0 <>  51.5 |     15 |  2565 |
|  51.5 <>  52.0 |      4 |   579 |
|  52.0 <>  52.5 |      0 |     0 |
|  52.5 <>  53.0 |      0 |     0 |
|  53.0 <>  53.5 |      4 |   272 |
|  53.5 <>  54.0 |      0 |     0 |
|  54.0 <>  54.5 |      0 |     0 |
|  54.5 <>  55.0 |      1 |    76 |
|  55.0 <>  55.5 |      2 |   136 |
|  55.5 <>  56.0 |      0 |     0 |
|  56.0 <>  56.5 |      0 |     0 |
|  56.5 <>  57.0 |      8 |   744 |
|  57.0 <>  57.5 |      5 |   761 |
|  57.5 <>  58.0 |     20 | 11778 |
|  58.0 <>  58.5 |     52 | 31522 |
|  58.5 <>  59.0 |     29 | 18936 |
|  59.0 <>  59.5 |     44 | 21874 |
|  59.5 <>  60.0 |     46 | 22106 |
|  60.0 <>  60.5 |     29 | 10315 |
|  60.5 <>  61.0 |      2 |   145 |
|  61.0 <>  61.5 |      2 |   136 |
|  61.5 <>  62.0 |      2 |   169 |
|  62.0 <>  62.5 |      4 |  2223 |
|  62.5 <>  63.0 |     12 |  1191 |
|  63.0 <>  63.5 |     29 |  2293 |
|  63.5 <>  64.0 |      2 |   263 |
|  64.0 <>  64.5 |      5 |  2307 |
|  64.5 <>  65.0 |     10 |  1173 |
|  65.0 <>  65.5 |     40 | 15582 |
|  65.5 <>  66.0 |     42 | 26238 |
|  66.0 <>  66.5 |     10 |  6397 |
|  66.5 <>  67.0 |     36 | 26400 |
|  67.0 <>  67.5 |     27 | 14417 |
|  67.5 <>  68.0 |     24 | 19416 |
|  68.0 <>  68.5 |     13 |  7573 |
|  68.5 <>  69.0 |     22 | 16544 |
|  69.0 <>  69.5 |     33 | 26880 |
|  69.5 <>  70.0 |     37 | 10178 |
|  70.0 <>  70.5 |     65 | 31633 |
|  70.5 <>  71.0 |     43 | 22657 |
|  71.0 <>  71.5 |     34 | 19283 |
|  71.5 <>  72.0 |     20 | 11512 |
|  72.0 <>  72.5 |     18 | 12645 |
|  72.5 <>  73.0 |     28 | 17018 |
|  73.0 <>  73.5 |     71 | 28943 |
|  73.5 <>  74.0 |     15 |  3196 |
|  74.0 <>  74.5 |     22 |  8658 |
|  74.5 <>  75.0 |     13 |  4958 |
|  75.0 <>  75.5 |     10 |  3601 |
|  75.5 <>  76.0 |      0 |     0 |
|  76.0 <>  76.5 |     18 |  1550 |
|  76.5 <>  77.0 |     12 |   816 |
|  77.0 <>  77.5 |      0 |     0 |
|  77.5 <>  78.0 |      0 |     0 |
|  78.0 <>  78.5 |      3 |   192 |
|  78.5 <>  79.0 |      6 |   384 |
|  79.0 <>  79.5 |      0 |     0 |
|  79.5 <>  80.0 |      0 |     0 |
|  80.0 <>  80.5 |      0 |     0 |
|  80.5 <>  81.0 |      0 |     0 |
|  81.0 <>  81.5 |      0 |     0 |
|  81.5 <>  82.0 |      0 |     0 |
|  82.0 <>  82.5 |      0 |     0 |
|  82.5 <>  83.0 |      0 |     0 |
|  83.0 <>  83.5 |      0 |     0 |
