
==============================
| IO Statistics              |
|                            |
| Interval size: 1 secs      |
| Col 1: Frames and bytes    |
|----------------------------|
|          |1                |
| Interval
| Interval | Frames |  Bytes |
|----------------------------|
|  0 <>  1 |     11 |   1686 |
|  1 <>  2 |     15 |   2974 |
|  2 <>  3 |      8 |   1366 |
|  3 <>  4 |     15 |   2238 |
|  4 <>  5 |      9 |   1316 |
|  5 <>  6 |     10 |   1015 |
|  6 <>  7 |     16 |   2680 |
|  7 <>  8 |     26 |  12118 |
|  8 <>  9 |     63 |  36890 |
|  9 <> 10 |     23 |   4973 |
| 10 <> 11 |     60 |  15229 |
| 11 <> 12 |    112 |  56689 |
| 12 <> 13 |    102 |  59198 |
| 13 <> 14 |    100 |  40524 |
| 14 <> 15 |     34 |   9043 |
| 15 <> 16 |     99 |  28616 |
| 16 <> 17 |    140 |  66349 |
| 17 <> 18 |    138 |  91528 |
| 18 <> 19 |    154 | 122307 |
| 19 <> 20 |    164 |  84641 |
| 20 <> 21 |    122 |  67891 |
| 21 <> 22 |    257 | 150916 |
| 22 <> 23 |    186 | 118018 |
| 23 <> 24 |     78 |  21227 |
| 24 <> 25 |     95 |  23349 |
| 25 <> 26 |    115 |  39307 |
| 26 <> 27 |     57 |  14612 |
| 27 <> 28 |    141 |  63378 |
| 28 <> 29 |    152 | 112676 |
| 29 <> 30 |     71 |  39774 |
| 30 <> 31 |     63 |  18657 |
| 31 <> 32 |     47 |  10863 |
| 32 <> 33 |     43 |   9486 |
| 33 <> 34 |     12 |   2439 |
| 34 <> 35 |     20 |   1402 |
| 35 <> 36 |      0 |      0 |
| 36 <> 37 |      8 |    532 |
| 37 <> 37 |      9 |    588 |
==============================
