
=============================
| IO Statistics             |
|                           |
| Interval size: 1 secs     |
| Col 1: Frames and bytes   |
|---------------------------|
|          |1               |
| Interval
| Interval | Frames | Bytes |
|---------------------------|
|  0 <>  1 |     16 |  3050 |
|  1 <>  2 |     10 |  1550 |
|  2 <>  3 |     23 |  3445 |
|  3 <>  4 |      3 |   204 |
|  4 <>  5 |      4 |   272 |
|  5 <>  6 |      7 |  2083 |
|  6 <>  7 |     13 |  3696 |
|  7 <>  8 |      1 |    89 |
|  8 <>  9 |      0 |     0 |
|  9 <> 10 |      5 |  1728 |
| 10 <> 11 |      0 |     0 |
| 11 <> 12 |     17 |  5531 |
| 12 <> 13 |      5 |  1271 |
| 13 <> 14 |     76 | 46777 |
| 14 <> 15 |     22 |  4083 |
| 15 <> 16 |     40 |  8165 |
| 16 <> 17 |    100 | 39022 |
| 17 <> 18 |     28 |  7100 |
| 18 <> 19 |    123 | 38366 |
| 19 <> 20 |    100 | 42696 |
| 20 <> 21 |     12 |  5643 |
| 21 <> 22 |     57 |  4691 |
| 22 <> 23 |     97 | 42445 |
| 23 <> 24 |     30 | 14435 |
| 24 <> 25 |     95 | 62516 |
| 25 <> 26 |    169 | 75225 |
| 26 <> 27 |     69 | 23890 |
| 27 <> 28 |     41 |  3623 |
| 28 <> 29 |      7 |  1039 |
| 29 <> 30 |     16 |  1149 |
| 30 <> 31 |      2 |   136 |
| 31 <> 32 |      0 |     0 |
| 32 <> 33 |      0 |     0 |
| 33 <> 34 |     12 |  1290 |
| 34 <> 35 |     92 | 26953 |
| 35 <> 36 |     52 | 11494 |
| 36 <> 37 |     75 | 21698 |
| 37 <> 38 |     58 | 13345 |
| 38 <> 39 |     27 |  8621 |
| 39 <> 40 |     43 |  8406 |
| 40 <> 41 |     51 | 13528 |
| 41 <> 42 |     74 | 21875 |
| 42 <> 43 |     66 | 15397 |
| 43 <> 44 |     51 | 12166 |
| 44 <> 45 |    101 | 40321 |
| 45 <> 46 |    113 | 70998 |
| 46 <> 47 |     24 |  5162 |
| 47 <> 48 |     50 |  9773 |
| 48 <> 49 |     34 |  8938 |
| 49 <> 50 |     42 |  6592 |
| 50 <> 51 |     58 | 11101 |
| 51 <> 52 |     77 | 35416 |
| 52 <> 53 |     87 | 43825 |
| 53 <> 54 |     32 |  5287 |
| 54 <> 55 |     36 |  5538 |
| 55 <> 56 |     20 |  4787 |
| 56 <> 57 |     20 |  4813 |
| 57 <> 58 |     26 |  4931 |
| 58 <> 59 |     24 |  5657 |
| 59 <> 60 |      2 |  1094 |
| 60 <> 61 |      3 |   970 |
| 61 <> 62 |     21 |  3855 |
| 62 <> 62 |      8 |  1900 |
=============================
