
=============================
| IO Statistics             |
|                           |
| Interval size: 1 secs     |
| Col 1: Frames and bytes   |
|---------------------------|
|          |1               |
| Interval
| Interval | Frames | Bytes |
|---------------------------|
|  0 <>  1 |      3 |   212 |
|  1 <>  2 |      5 |   704 |
|  2 <>  3 |      1 |    76 |
|  3 <>  4 |      1 |    76 |
|  4 <>  5 |      3 |   224 |
|  5 <>  6 |      4 |   539 |
|  6 <>  7 |      7 |   860 |
|  7 <>  8 |      2 |   156 |
|  8 <>  9 |     17 |  3075 |
|  9 <> 10 |      0 |     0 |
| 10 <> 11 |      1 |    68 |
| 11 <> 12 |      0 |     0 |
| 12 <> 13 |     10 |  6173 |
| 13 <> 14 |      9 |  4010 |
| 14 <> 15 |      0 |     0 |
| 15 <> 16 |     51 | 35732 |
| 16 <> 17 |      6 |   691 |
| 17 <> 18 |     43 |  9282 |
| 18 <> 19 |     52 | 23527 |
| 19 <> 20 |     20 |  8150 |
| 20 <> 21 |     51 | 12885 |
| 21 <> 22 |     41 | 12447 |
| 22 <> 23 |     20 |  3235 |
| 23 <> 24 |     22 |  6157 |
| 24 <> 25 |     53 |  8639 |
| 25 <> 26 |     56 | 13635 |
| 26 <> 27 |     32 | 17689 |
| 27 <> 28 |     10 |  6152 |
| 28 <> 29 |     25 |  9790 |
| 29 <> 30 |      3 |   212 |
| 30 <> 31 |     36 | 24188 |
| 31 <> 32 |     39 |  8770 |
| 32 <> 33 |     25 | 14003 |
| 33 <> 34 |     45 | 11103 |
| 34 <> 35 |     51 | 17221 |
| 35 <> 36 |     10 |  2713 |
| 36 <> 37 |      5 |   340 |
| 37 <> 38 |     16 |  9813 |
| 38 <> 39 |    106 | 67148 |
| 39 <> 40 |     61 | 45648 |
| 40 <> 41 |     43 | 27197 |
| 41 <> 42 |      9 |  4194 |
| 42 <> 43 |     45 | 21016 |
| 43 <> 44 |      7 |  1200 |
| 44 <> 45 |      5 |   360 |
| 45 <> 46 |     11 |  3913 |
| 46 <> 47 |     22 | 10732 |
| 47 <> 48 |      8 |  4592 |
| 48 <> 49 |      1 |    68 |
| 49 <> 50 |      2 |   152 |
| 50 <> 51 |      5 |  1720 |
| 51 <> 52 |      0 |     0 |
| 52 <> 53 |      0 |     0 |
| 53 <> 54 |      1 |    68 |
| 54 <> 55 |      0 |     0 |
| 55 <> 56 |      6 |   424 |
| 56 <> 57 |     32 |  8144 |
| 57 <> 58 |     25 | 12024 |
| 58 <> 59 |     15 |  7592 |
| 59 <> 60 |     14 |  1578 |
| 60 <> 61 |     32 |  9920 |
| 61 <> 62 |     10 |  1619 |
| 62 <> 63 |      3 |   204 |
| 63 <> 64 |     11 |   748 |
| 64 <> 65 |      0 |     0 |
| 65 <> 66 |      1 |   113 |
| 66 <> 67 |      2 |   179 |
| 67 <> 68 |      1 |    76 |
| 68 <> 69 |      2 |   144 |
| 69 <> 70 |      0 |     0 |
| 70 <> 71 |      1 |    76 |
| 71 <> 71 |      1 |    76 |
=============================
