Time,96.17.182.40,96.17.182.65,Akamai Bandwidth
0.5,0,0,0
1,0,0,0
1.5,0,0,0
2,0,0,0
2.5,0,0,0
3,0,0,0
3.5,0,0,0
4,0,0,0
4.5,0,0,0
5,0,0,0
5.5,0,0,0
6,0,0,0
6.5,0,0,0
7,76,0,76
7.5,1007,0,1007
8,9092,0,9092
8.5,34952,0,34952
9,144,0,144
9.5,0,0,0
10,378,0,378
10.5,886,0,886
11,68,0,68
11.5,2982,0,2982
12,0,0,0
12.5,0,0,0
13,0,0,0
13.5,204,0,204
14,0,0,0
14.5,0,0,0
15,0,0,0
15.5,2119,0,2119
16,0,0,0
16.5,0,1189,1189
17,0,11637,11637
17.5,0,12265,12265
18,0,6084,6084
18.5,0,5133,5133
19,68,0,68
19.5,136,0,136
20,8686,204,8890
20.5,5224,144,5368
21,1427,76,1503
21.5,4521,7476,11997
22,13452,6264,19716
22.5,27695,0,27695
23,31989,0,31989
23.5,3339,68,3407
24,272,136,408
24.5,68,68,136
25,476,212,688
25.5,816,4957,5773
26,3334,0,3334
26.5,2542,0,2542
27,1859,0,1859
27.5,0,1569,1569
28,0,16782,16782
28.5,0,72693,72693
29,204,1156,1360
29.5,204,9251,9455
30,0,0,0
30.5,0,0,0
31,0,0,0
31.5,0,204,204
32,0,0,0
32.5,0,68,68
33,0,136,136
