
===================================================================
IO Statistics
Interval: 1.000 secs
Column #0: 
                |   Column #0    
Time            |frames|  bytes  
000.000-001.000      31      7477 
001.000-002.000       1        68 
002.000-003.000       0         0 
003.000-004.000       0         0 
004.000-005.000       0         0 
005.000-006.000       1        78 
006.000-007.000       0         0 
007.000-008.000       0         0 
008.000-009.000       0         0 
009.000-010.000       0         0 
010.000-011.000       1        78 
011.000-012.000       1       117 
012.000-013.000       5      1402 
013.000-014.000      10      2034 
014.000-015.000       0         0 
015.000-016.000      41     23946 
016.000-017.000      99     35344 
017.000-018.000      80     41632 
018.000-019.000     125     59753 
019.000-020.000     376    286007 
020.000-021.000      56     41904 
021.000-022.000       7      1591 
022.000-023.000      35      2380 
023.000-024.000       0         0 
024.000-025.000       6       408 
025.000-026.000       0         0 
026.000-027.000       0         0 
027.000-028.000       0         0 
028.000-029.000       0         0 
029.000-030.000       0         0 
030.000-031.000       0         0 
031.000-032.000       0         0 
032.000-033.000       0         0 
033.000-034.000       0         0 
034.000-035.000       0         0 
035.000-036.000       0         0 
036.000-037.000       0         0 
037.000-038.000       0         0 
038.000-039.000       0         0 
039.000-040.000       0         0 
040.000-041.000       0         0 
041.000-042.000       0         0 
042.000-043.000       0         0 
043.000-044.000       0         0 
044.000-045.000       0         0 
045.000-046.000       0         0 
046.000-047.000       0         0 
047.000-048.000       0         0 
048.000-049.000       0         0 
049.000-050.000       0         0 
050.000-051.000       0         0 
051.000-052.000       0         0 
052.000-053.000       2       152 
053.000-054.000       0         0 
054.000-055.000       6      1692 
055.000-056.000       2       148 
056.000-057.000      22      9833 
057.000-058.000      71     17016 
058.000-059.000     160     96670 
059.000-060.000     209    153123 
060.000-061.000     109    111159 
061.000-062.000      12       816 
062.000-063.000      27      2193 
063.000-064.000       1        68 
064.000-065.000      12      1939 
065.000-066.000       1        68 
066.000-067.000       1        68 
067.000-068.000       2       136 
068.000-069.000       0         0 
069.000-070.000       8      1797 
070.000-071.000     108     30301 
071.000-072.000     267    148002 
072.000-073.000       6      2887 
073.000-074.000      15      1020 
074.000-075.000      31      2108 
075.000-076.000       5       348 
076.000-077.000      17      2262 
077.000-078.000      20      9973 
078.000-079.000      14      7599 
079.000-080.000       0         0 
080.000-081.000       4       272 
081.000-082.000       0         0 
082.000-083.000       1        76 
083.000-084.000       6      1642 
084.000-085.000      22     11822 
085.000-086.000       2       445 
086.000-087.000      26      8539 
087.000-088.000       2       136 
088.000-089.000      80     18110 
089.000-090.000     241    160530 
090.000-091.000     237    205728 
091.000-092.000      15      1028 
092.000-093.000      39      8215 
093.000-094.000     123     75608 
094.000-095.000      34     32286 
095.000-096.000       8       544 
096.000-097.000       5       356 
097.000-098.000      16      3913 
098.000-099.000       0         0 
099.000-100.000       4       272 
100.000-101.000       0         0 
101.000-102.000       4       272 
===================================================================
