
===================================================================
IO Statistics
Interval: 1.000 secs
Column #0: 
                |   Column #0    
Time            |frames|  bytes  
000.000-001.000       5      1820 
001.000-002.000       0         0 
002.000-003.000       0         0 
003.000-004.000       9      2701 
004.000-005.000       7      2108 
005.000-006.000       8      2367 
006.000-007.000      12      3795 
007.000-008.000       4       360 
008.000-009.000       2       136 
009.000-010.000       1       324 
010.000-011.000       8      2764 
011.000-012.000       8      2870 
012.000-013.000       9      2944 
013.000-014.000       6      2502 
014.000-015.000      26      3879 
015.000-016.000       1        68 
016.000-017.000     254    100915 
017.000-018.000      65     42799 
018.000-019.000      12      2385 
019.000-020.000       0         0 
020.000-021.000      58      3908 
021.000-022.000     115     64768 
022.000-023.000      66     44457 
023.000-024.000      79     37025 
024.000-025.000      47     30710 
025.000-026.000     112     75035 
026.000-027.000     123     54540 
027.000-028.000     239    118171 
028.000-029.000     721    472753 
029.000-030.000      97     46751 
030.000-031.000     180     42284 
031.000-032.000     344    203425 
032.000-033.000     218    134350 
033.000-034.000      94     56962 
034.000-035.000      43     19052 
035.000-036.000      55     15575 
036.000-037.000      70     23842 
037.000-038.000     205    109800 
038.000-039.000     235    185370 
039.000-040.000     130     70128 
040.000-041.000      85     37779 
041.000-042.000     111     55290 
042.000-043.000      87     19043 
043.000-044.000     119     51870 
044.000-045.000      49     26752 
045.000-046.000      74     39380 
046.000-047.000      99     30835 
047.000-048.000     134     44181 
048.000-049.000      56     37014 
049.000-050.000      88     20256 
050.000-051.000     106     71379 
051.000-052.000      74     54956 
052.000-053.000      51     12770 
053.000-054.000      13      2112 
054.000-055.000       8       544 
055.000-056.000      42      2859 
056.000-057.000      15      1022 
057.000-058.000       2       136 
058.000-059.000      24      4317 
059.000-060.000       3       442 
060.000-061.000      62     25756 
061.000-062.000     260    112215 
062.000-063.000     481    278888 
063.000-064.000     286    220845 
064.000-065.000     368    188238 
065.000-066.000     146     49000 
066.000-067.000     243    101287 
067.000-068.000     316    204052 
068.000-069.000     156     52224 
069.000-070.000     324    172906 
070.000-071.000      15      1287 
071.000-072.000      99     21090 
072.000-073.000     206    140763 
073.000-074.000     204    199815 
074.000-075.000      13      1810 
075.000-076.000      57     14488 
076.000-077.000      17      8428 
077.000-078.000      54     46144 
078.000-079.000      76     35405 
079.000-080.000      31      6828 
080.000-081.000      74     22032 
081.000-082.000      44      8812 
082.000-083.000      12       927 
083.000-084.000       5       340 
084.000-085.000       5       973 
085.000-086.000       9       805 
086.000-087.000       2       136 
087.000-088.000       2       136 
088.000-089.000       0         0 
089.000-090.000       1        68 
090.000-091.000       0         0 
091.000-092.000       0         0 
092.000-093.000       0         0 
093.000-094.000       0         0 
094.000-095.000       0         0 
095.000-096.000       0         0 
096.000-097.000       0         0 
097.000-098.000       0         0 
098.000-099.000       1        78 
099.000-100.000       0         0 
100.000-101.000       0         0 
101.000-102.000       7       464 
102.000-103.000       4       272 
===================================================================
