
===================================================================
IO Statistics
Interval: 1.000 secs
Column #0: 
                |   Column #0    
Time            |frames|  bytes  
000.000-001.000       1       319 
001.000-002.000       0         0 
002.000-003.000       6      1592 
003.000-004.000      15      3289 
004.000-005.000      19      3609 
005.000-006.000      10      1602 
006.000-007.000     100     45963 
007.000-008.000      40     11923 
008.000-009.000      13      2812 
009.000-010.000      18      4060 
010.000-011.000       6       408 
011.000-012.000      12       816 
012.000-013.000       2       136 
013.000-014.000       0         0 
014.000-015.000       6       408 
015.000-016.000       0         0 
016.000-017.000       0         0 
017.000-018.000       0         0 
018.000-019.000       0         0 
019.000-020.000       0         0 
020.000-021.000       0         0 
021.000-022.000       0         0 
022.000-023.000       0         0 
023.000-024.000       0         0 
024.000-025.000       0         0 
025.000-026.000       0         0 
026.000-027.000       0         0 
027.000-028.000       0         0 
028.000-029.000       0         0 
029.000-030.000       0         0 
030.000-031.000       0         0 
031.000-032.000       0         0 
032.000-033.000       1       319 
033.000-034.000       0         0 
034.000-035.000       0         0 
035.000-036.000      12      2691 
036.000-037.000      18      4171 
037.000-038.000      32      7653 
038.000-039.000       5      1445 
039.000-040.000       1        68 
040.000-041.000      14      2120 
041.000-042.000     104     28127 
042.000-043.000     236    120870 
043.000-044.000      51     39169 
044.000-045.000      26      9157 
045.000-046.000       0         0 
046.000-047.000      63      4292 
047.000-048.000       0         0 
048.000-049.000      24      1632 
049.000-050.000       0         0 
050.000-051.000       0         0 
051.000-052.000       0         0 
052.000-053.000       0         0 
053.000-054.000       0         0 
054.000-055.000       0         0 
055.000-056.000       0         0 
056.000-057.000       0         0 
057.000-058.000       0         0 
058.000-059.000       1        76 
059.000-060.000       0         0 
060.000-061.000       2       144 
061.000-062.000       1        68 
062.000-063.000       2       136 
063.000-064.000       0         0 
064.000-065.000       0         0 
065.000-066.000       0         0 
066.000-067.000       0         0 
067.000-068.000       0         0 
068.000-069.000       0         0 
069.000-070.000       0         0 
070.000-071.000       0         0 
071.000-072.000       0         0 
072.000-073.000       0         0 
073.000-074.000       1       319 
074.000-075.000       0         0 
075.000-076.000       0         0 
076.000-077.000      28      6995 
077.000-078.000      29      9887 
078.000-079.000      20      5490 
079.000-080.000       9      2638 
080.000-081.000      14      3611 
081.000-082.000      28     11325 
082.000-083.000      13      2791 
083.000-084.000      32     11088 
084.000-085.000      10      2282 
085.000-086.000      17      7666 
086.000-087.000      30     11784 
087.000-088.000       8       845 
088.000-089.000       0         0 
089.000-090.000       0         0 
090.000-091.000       0         0 
091.000-092.000       0         0 
092.000-093.000       0         0 
093.000-094.000       0         0 
094.000-095.000       6       474 
095.000-096.000       0         0 
096.000-097.000       5       316 
097.000-098.000       9       564 
098.000-099.000       7       416 
099.000-100.000       0         0 
100.000-101.000       0         0 
101.000-102.000       0         0 
102.000-103.000       0         0 
103.000-104.000       0         0 
104.000-105.000       0         0 
105.000-106.000       0         0 
106.000-107.000       0         0 
107.000-108.000       0         0 
108.000-109.000       1        76 
109.000-110.000       0         0 
110.000-111.000       0         0 
111.000-112.000       8      1337 
112.000-113.000       1        56 
113.000-114.000       0         0 
114.000-115.000       0         0 
115.000-116.000       0         0 
116.000-117.000       0         0 
117.000-118.000       0         0 
118.000-119.000       0         0 
119.000-120.000       0         0 
120.000-121.000       0         0 
121.000-122.000       0         0 
122.000-123.000       0         0 
123.000-124.000       0         0 
124.000-125.000       0         0 
125.000-126.000       0         0 
126.000-127.000       0         0 
127.000-128.000       1       319 
128.000-129.000       0         0 
129.000-130.000       5      1248 
130.000-131.000      13      3721 
131.000-132.000      22      5641 
132.000-133.000      11      1524 
133.000-134.000      18      5887 
134.000-135.000       4      1436 
135.000-136.000      20      4301 
136.000-137.000      88     30753 
137.000-138.000      41     27627 
138.000-139.000      60     37807 
139.000-140.000      39     21636 
140.000-141.000      19     11321 
141.000-142.000     111     54018 
142.000-143.000      52     30543 
143.000-144.000      21      5742 
144.000-145.000      32      7102 
145.000-146.000      11      2627 
146.000-147.000       2       112 
147.000-148.000       5       319 
===================================================================
