
===================================================================
IO Statistics
Interval: 1.000 secs
Column #0: 
                |   Column #0    
Time            |frames|  bytes  
000.000-001.000       1        68 
001.000-002.000       0         0 
002.000-003.000       0         0 
003.000-004.000       0         0 
004.000-005.000       0         0 
005.000-006.000       1       319 
006.000-007.000      12      3676 
007.000-008.000       9      2572 
008.000-009.000      15      4087 
009.000-010.000      17      4301 
010.000-011.000       1        68 
011.000-012.000      13      2296 
012.000-013.000       0         0 
013.000-014.000      57     25639 
014.000-015.000      96     33420 
015.000-016.000      97     52282 
016.000-017.000     187    119505 
017.000-018.000     187    126085 
018.000-019.000      55     32967 
019.000-020.000     203    120045 
020.000-021.000     306    190846 
021.000-022.000     327    250221 
022.000-023.000     122     78729 
023.000-024.000       0         0 
024.000-025.000      60      4080 
025.000-026.000      18      2457 
026.000-027.000       1        68 
027.000-028.000       1        68 
028.000-029.000       9      1953 
029.000-030.000      25      7027 
030.000-031.000     236    147649 
031.000-032.000     196    185672 
032.000-033.000       0         0 
033.000-034.000       4       272 
===================================================================
