
===================================================================
IO Statistics
Interval: 0.500 secs
Column #0: ip.addr==96.17.182.65
                |   Column #0    
Time            |frames|  bytes  
000.000-000.500       0         0 
000.500-001.000       0         0 
001.000-001.500       0         0 
001.500-002.000       0         0 
002.000-002.500       0         0 
002.500-003.000       0         0 
003.000-003.500       0         0 
003.500-004.000       0         0 
004.000-004.500       0         0 
004.500-005.000       0         0 
005.000-005.500       0         0 
005.500-006.000       0         0 
006.000-006.500       0         0 
006.500-007.000       0         0 
007.000-007.500       0         0 
007.500-008.000       0         0 
008.000-008.500       0         0 
008.500-009.000       0         0 
009.000-009.500       0         0 
009.500-010.000       0         0 
010.000-010.500       0         0 
010.500-011.000       0         0 
011.000-011.500       0         0 
011.500-012.000       0         0 
012.000-012.500       0         0 
012.500-013.000       0         0 
013.000-013.500       0         0 
013.500-014.000       0         0 
014.000-014.500       0         0 
014.500-015.000       0         0 
015.000-015.500       0         0 
015.500-016.000       0         0 
016.000-016.500       0         0 
016.500-017.000       0         0 
017.000-017.500      29     19631 
017.500-018.000      30     19875 
018.000-018.500      27     19450 
018.500-019.000       0         0 
019.000-019.500       0         0 
019.500-020.000       0         0 
020.000-020.500       6       408 
020.500-021.000       0         0 
021.000-021.500       0         0 
021.500-022.000       0         0 
022.000-022.500       0         0 
022.500-023.000       0         0 
023.000-023.500       0         0 
023.500-024.000       0         0 
024.000-024.500       0         0 
024.500-025.000       0         0 
025.000-025.500       0         0 
025.500-026.000       0         0 
026.000-026.500       0         0 
026.500-027.000       0         0 
027.000-027.500       0         0 
027.500-028.000       0         0 
028.000-028.500       0         0 
028.500-029.000       0         0 
029.000-029.500       0         0 
029.500-030.000       0         0 
030.000-030.500       0         0 
030.500-031.000       0         0 
031.000-031.500       0         0 
031.500-032.000       0         0 
032.000-032.500       0         0 
032.500-033.000       0         0 
033.000-033.500       0         0 
033.500-034.000       0         0 
034.000-034.500       0         0 
034.500-035.000       0         0 
035.000-035.500       0         0 
035.500-036.000       0         0 
036.000-036.500       0         0 
036.500-037.000       0         0 
037.000-037.500       0         0 
037.500-038.000       0         0 
038.000-038.500       0         0 
038.500-039.000       0         0 
039.000-039.500       0         0 
039.500-040.000       0         0 
040.000-040.500       0         0 
040.500-041.000       0         0 
041.000-041.500       0         0 
041.500-042.000       0         0 
042.000-042.500       0         0 
042.500-043.000       0         0 
043.000-043.500       0         0 
043.500-044.000       0         0 
044.000-044.500       0         0 
044.500-045.000       0         0 
045.000-045.500       0         0 
045.500-046.000       0         0 
046.000-046.500       0         0 
046.500-047.000       0         0 
047.000-047.500       0         0 
047.500-048.000       0         0 
048.000-048.500       0         0 
048.500-049.000       0         0 
049.000-049.500       0         0 
049.500-050.000       0         0 
050.000-050.500       0         0 
050.500-051.000       0         0 
051.000-051.500       0         0 
051.500-052.000       0         0 
052.000-052.500       0         0 
052.500-053.000       0         0 
053.000-053.500       0         0 
053.500-054.000       0         0 
054.000-054.500       0         0 
054.500-055.000       0         0 
055.000-055.500       0         0 
055.500-056.000       0         0 
056.000-056.500       0         0 
056.500-057.000       0         0 
057.000-057.500       0         0 
057.500-058.000       0         0 
058.000-058.500       0         0 
058.500-059.000       0         0 
059.000-059.500       0         0 
059.500-060.000       0         0 
060.000-060.500       0         0 
060.500-061.000       0         0 
061.000-061.500       0         0 
061.500-062.000       0         0 
062.000-062.500       0         0 
062.500-063.000       0         0 
063.000-063.500       0         0 
063.500-064.000       0         0 
064.000-064.500       0         0 
064.500-065.000       0         0 
065.000-065.500       0         0 
065.500-066.000       0         0 
066.000-066.500       0         0 
066.500-067.000       0         0 
067.000-067.500       0         0 
067.500-068.000       0         0 
068.000-068.500       0         0 
068.500-069.000       0         0 
069.000-069.500       0         0 
069.500-070.000       0         0 
070.000-070.500       0         0 
070.500-071.000       0         0 
071.000-071.500       0         0 
071.500-072.000       0         0 
072.000-072.500       0         0 
072.500-073.000       0         0 
073.000-073.500       0         0 
073.500-074.000       0         0 
074.000-074.500       7      2103 
074.500-075.000      52     38110 
075.000-075.500      20     11874 
075.500-076.000       3       446 
076.000-076.500       0         0 
076.500-077.000       0         0 
077.000-077.500       0         0 
077.500-078.000       9       612 
078.000-078.500       2       136 
078.500-079.000       1        56 
079.000-079.500      17      6501 
079.500-080.000      26      6118 
080.000-080.500       5      2288 
080.500-081.000       0         0 
081.000-081.500       0         0 
081.500-082.000      13       884 
082.000-082.500       0         0 
082.500-083.000      30      8877 
083.000-083.500      10      6383 
083.500-084.000       0         0 
084.000-084.500       0         0 
084.500-085.000       0         0 
085.000-085.500       3       204 
085.500-086.000       6       408 
086.000-086.500       0         0 
086.500-087.000       0         0 
087.000-087.500       0         0 
087.500-088.000       0         0 
088.000-088.500       0         0 
088.500-089.000       0         0 
089.000-089.500       0         0 
089.500-090.000       0         0 
090.000-090.500       0         0 
090.500-091.000       0         0 
091.000-091.500       0         0 
091.500-092.000       0         0 
092.000-092.500       0         0 
092.500-093.000       0         0 
093.000-093.500       0         0 
093.500-094.000       0         0 
094.000-094.500       0         0 
094.500-095.000       0         0 
095.000-095.500       0         0 
095.500-096.000       0         0 
