
===================================================================
IO Statistics
Interval: 0.500 secs
Column #0: ip.addr==96.17.182.65
                |   Column #0    
Time            |frames|  bytes  
000.000-000.500       0         0 
000.500-001.000       0         0 
001.000-001.500       0         0 
001.500-002.000       0         0 
002.000-002.500       0         0 
002.500-003.000       0         0 
003.000-003.500       0         0 
003.500-004.000       0         0 
004.000-004.500       0         0 
004.500-005.000       0         0 
005.000-005.500       1        76 
005.500-006.000       0         0 
006.000-006.500       0         0 
006.500-007.000       0         0 
007.000-007.500       3      1148 
007.500-008.000       0         0 
008.000-008.500       5       602 
008.500-009.000       5      2407 
009.000-009.500       4       518 
009.500-010.000       2      1917 
010.000-010.500       5      1808 
010.500-011.000       0         0 
011.000-011.500       0         0 
011.500-012.000       0         0 
012.000-012.500       1        68 
012.500-013.000       0         0 
013.000-013.500       0         0 
013.500-014.000       0         0 
014.000-014.500       3       204 
014.500-015.000       0         0 
015.000-015.500       2       136 
===================================================================
