
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: ip.dst==223.181.62.13  |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |      0 |     0 |
|  0.5 <>  1.0 |      0 |     0 |
|  1.0 <>  1.5 |      5 |   571 |
|  1.5 <>  2.0 |      2 |   144 |
|  2.0 <>  2.5 |      0 |     0 |
|  2.5 <>  3.0 |      1 |  1436 |
|  3.0 <>  3.5 |      1 |  1436 |
|  3.5 <>  4.0 |      0 |     0 |
|  4.0 <>  4.5 |      3 |  2940 |
|  4.5 <>  5.0 |      2 |  2182 |
|  5.0 <>  5.5 |      7 |  6073 |
|  5.5 <>  6.0 |      2 |  2872 |
|  6.0 <>  6.5 |      3 |  4308 |
|  6.5 <>  7.0 |      3 |  4308 |
|  7.0 <>  7.5 |      5 |  5820 |
|  7.5 <>  8.0 |      6 |  8616 |
|  8.0 <>  8.5 |      6 |  4288 |
|  8.5 <>  9.0 |      1 |   306 |
|  9.0 <>  9.5 |      3 |   688 |
|  9.5 <> 10.0 |      0 |     0 |
| 10.0 <> 10.5 |      4 |  1978 |
| 10.5 <> 11.0 |      0 |     0 |
| 11.0 <> 11.5 |      0 |     0 |
| 11.5 <> 12.0 |      0 |     0 |
| 12.0 <> 12.5 |      0 |     0 |
| 12.5 <> 13.0 |      0 |     0 |
| 13.0 <> 13.5 |      0 |     0 |
| 13.5 <> 14.0 |      0 |     0 |
| 14.0 <> 14.5 |      1 |    68 |
| 14.5 <> 15.0 |      0 |     0 |
=================================
