
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: ip.src==223.181.62.13  |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |      1 |    78 |
|  0.5 <>  1.0 |      1 |    76 |
|  1.0 <>  1.5 |      8 |  1632 |
|  1.5 <>  2.0 |      1 |    80 |
|  2.0 <>  2.5 |      0 |     0 |
|  2.5 <>  3.0 |      1 |    68 |
|  3.0 <>  3.5 |      2 |   136 |
|  3.5 <>  4.0 |      1 |    89 |
|  4.0 <>  4.5 |      2 |   136 |
|  4.5 <>  5.0 |      2 |   136 |
|  5.0 <>  5.5 |      7 |   508 |
|  5.5 <>  6.0 |      2 |   136 |
|  6.0 <>  6.5 |      3 |   204 |
|  6.5 <>  7.0 |      3 |   204 |
|  7.0 <>  7.5 |      6 |  1344 |
|  7.5 <>  8.0 |      5 |   340 |
|  8.0 <>  8.5 |      4 |   284 |
|  8.5 <>  9.0 |      5 |  3094 |
|  9.0 <>  9.5 |      3 |   204 |
|  9.5 <> 10.0 |      3 |  2939 |
| 10.0 <> 10.5 |      3 |   204 |
| 10.5 <> 11.0 |      0 |     0 |
| 11.0 <> 11.5 |      0 |     0 |
| 11.5 <> 12.0 |      0 |     0 |
| 12.0 <> 12.5 |      1 |    68 |
| 12.5 <> 13.0 |      0 |     0 |
| 13.0 <> 13.5 |      0 |     0 |
| 13.5 <> 14.0 |      0 |     0 |
| 14.0 <> 14.5 |      3 |   204 |
| 14.5 <> 15.0 |      0 |     0 |
=================================
