
===================================================================
IO Statistics
Interval: 0.500 secs
Column #0: ip.addr==96.17.182.65
                |   Column #0    
Time            |frames|  bytes  
000.000-000.500       0         0 
000.500-001.000       0         0 
001.000-001.500       0         0 
001.500-002.000       0         0 
002.000-002.500       0         0 
002.500-003.000       0         0 
003.000-003.500       0         0 
003.500-004.000       0         0 
004.000-004.500       0         0 
004.500-005.000       0         0 
005.000-005.500       0         0 
005.500-006.000       0         0 
006.000-006.500       0         0 
006.500-007.000       0         0 
007.000-007.500       0         0 
007.500-008.000       0         0 
008.000-008.500       0         0 
008.500-009.000       0         0 
009.000-009.500       0         0 
009.500-010.000       0         0 
010.000-010.500       0         0 
010.500-011.000       0         0 
011.000-011.500       0         0 
011.500-012.000       0         0 
012.000-012.500       0         0 
012.500-013.000       0         0 
013.000-013.500       0         0 
013.500-014.000       0         0 
014.000-014.500       0         0 
014.500-015.000       0         0 
015.000-015.500       0         0 
015.500-016.000       0         0 
016.000-016.500       4      1189 
016.500-017.000      17     11637 
017.000-017.500      19     12265 
017.500-018.000       9      6084 
018.000-018.500       8      5133 
018.500-019.000       0         0 
019.000-019.500       0         0 
019.500-020.000       3       204 
020.000-020.500       2       144 
020.500-021.000       1        76 
021.000-021.500      16      7476 
021.500-022.000      10      6264 
022.000-022.500       0         0 
022.500-023.000       0         0 
023.000-023.500       1        68 
023.500-024.000       2       136 
024.000-024.500       1        68 
024.500-025.000       3       212 
025.000-025.500      10      4957 
025.500-026.000       0         0 
026.000-026.500       0         0 
026.500-027.000       0         0 
027.000-027.500       7      1569 
027.500-028.000      27     16782 
028.000-028.500      80     72693 
028.500-029.000       1      1156 
029.000-029.500      14      9251 
029.500-030.000       0         0 
030.000-030.500       0         0 
030.500-031.000       0         0 
031.000-031.500       3       204 
031.500-032.000       0         0 
032.000-032.500       1        68 
032.500-033.000       2       136 
===================================================================
