
===================================================================
IO Statistics
Interval: 0.500 secs
Column #0: ip.dst==223.181.62.13
                |   Column #0    
Time            |frames|  bytes  
000.000-000.500       4       709 
000.500-001.000       2       116 
001.000-001.500       4      2099 
001.500-002.000       3       327 
002.000-002.500       0         0 
002.500-003.000       3       212 
003.000-003.500       6      1499 
003.500-004.000       2       250 
004.000-004.500       2       136 
004.500-005.000       2       398 
005.000-005.500       1        68 
005.500-006.000       3       270 
006.000-006.500       2       814 
006.500-007.000       4       592 
007.000-007.500       5       997 
007.500-008.000       8      9413 
008.000-008.500      25     32819 
008.500-009.000       2       152 
009.000-009.500       8      1050 
009.500-010.000       1       310 
010.000-010.500       7       524 
010.500-011.000      16      8707 
011.000-011.500      26     20910 
011.500-012.000      32     30267 
012.000-012.500      30     36479 
012.500-013.000      22     16530 
013.000-013.500      31     15034 
013.500-014.000      18     21494 
014.000-014.500       8       652 
014.500-015.000       7      4953 
015.000-015.500      13      1382 
015.500-016.000      21     13614 
016.000-016.500      27     16161 
016.500-017.000      38     35014 
017.000-017.500      24     21478 
017.500-018.000      46     60592 
018.000-018.500      37     50638 
018.500-019.000      47     64555 
019.000-019.500      69     64617 
019.500-020.000      16      3516 
020.000-020.500      20      7518 
020.500-021.000      40     47735 
021.000-021.500      74     73482 
021.500-022.000      53     55940 
022.000-022.500      45     49138 
022.500-023.000      52     55026 
023.000-023.500      15      5624 
023.500-024.000      23     10748 
024.000-024.500       8      6577 
024.500-025.000      27     10091 
025.000-025.500      27     12827 
025.500-026.000      24     14262 
026.000-026.500      11      4268 
026.500-027.000      14      3771 
027.000-027.500      25     10992 
027.500-028.000      41     42136 
028.000-028.500      60     83653 
028.500-029.000      26     21586 
029.000-029.500      21     19579 
029.500-030.000      13     15288 
030.000-030.500      13     12264 
030.500-031.000      14      1706 
031.000-031.500      12      5370 
031.500-032.000       8      2487 
032.000-032.500      10      2991 
032.500-033.000      10      2791 
033.000-033.500       5       640 
033.500-034.000       2       712 
034.000-034.500       2       173 
034.500-035.000       6       392 
035.000-035.500       0         0 
035.500-036.000       0         0 
036.000-036.500       1        68 
036.500-037.000       0         0 
037.000-037.500       5       328 
===================================================================
