
=============================
| IO Statistics             |
|                           |
| Interval size: 1 secs     |
| Col 1: Frames and bytes   |
|---------------------------|
|          |1               |
| Interval
| Interval | Frames | Bytes |
|---------------------------|
|  0 <>  1 |     23 |  4072 |
|  1 <>  2 |     34 | 10965 |
|  2 <>  3 |     51 | 11272 |
|  3 <>  4 |      1 |    76 |
|  4 <>  5 |     11 |  3687 |
|  5 <>  6 |     13 |  4086 |
|  6 <>  7 |      4 |   360 |
|  7 <>  8 |      0 |     0 |
|  8 <>  9 |      2 |  1516 |
|  9 <> 10 |      6 |   505 |
| 10 <> 11 |      1 |    77 |
| 11 <> 12 |      6 |   877 |
| 12 <> 13 |      1 |    76 |
| 13 <> 14 |      3 |  2280 |
| 14 <> 15 |      2 |   179 |
| 15 <> 16 |      4 |   285 |
| 16 <> 17 |      2 |   132 |
| 17 <> 18 |      4 |   963 |
| 18 <> 19 |      8 |  2611 |
| 19 <> 20 |     11 |  1652 |
| 20 <> 21 |     24 |  5276 |
| 21 <> 22 |     41 |  6042 |
| 22 <> 23 |    127 | 56336 |
| 23 <> 24 |     98 | 16663 |
| 24 <> 25 |     31 |  7058 |
| 25 <> 26 |      9 |  1366 |
| 26 <> 27 |     55 |  8370 |
| 27 <> 28 |     66 | 17439 |
| 28 <> 29 |      9 |  2552 |
| 29 <> 30 |      0 |     0 |
| 30 <> 31 |     33 |  7549 |
| 31 <> 32 |    157 | 43140 |
| 32 <> 33 |     82 | 25977 |
| 33 <> 34 |    142 | 46605 |
| 34 <> 35 |    109 | 35677 |
| 35 <> 36 |    150 | 59964 |
| 36 <> 37 |    114 | 22334 |
| 37 <> 38 |    134 | 38296 |
| 38 <> 39 |     63 |  8894 |
| 39 <> 40 |     32 |  9232 |
| 40 <> 41 |     87 | 13645 |
| 41 <> 42 |     42 |  9320 |
| 42 <> 43 |     29 |  5055 |
| 43 <> 44 |     33 |  5681 |
| 44 <> 45 |     24 |  4911 |
| 45 <> 46 |     36 |  9142 |
| 46 <> 47 |     22 |  4613 |
| 47 <> 48 |     14 |  1355 |
| 48 <> 49 |      0 |     0 |
| 49 <> 50 |     10 |  3708 |
| 50 <> 51 |     43 |  7393 |
| 51 <> 52 |     38 |  9352 |
| 52 <> 53 |     66 | 14602 |
| 53 <> 54 |     57 | 12022 |
| 54 <> 55 |     65 | 24698 |
| 55 <> 56 |     33 |  5339 |
| 56 <> 57 |     51 | 13938 |
| 57 <> 58 |     48 |  9825 |
| 58 <> 59 |     62 | 13547 |
| 59 <> 60 |     42 |  6378 |
| 60 <> 61 |     46 |  9392 |
| 61 <> 62 |     22 |  4997 |
| 62 <> 63 |     41 | 10064 |
| 63 <> 64 |     34 |  8632 |
| 64 <> 65 |     40 |  9706 |
| 65 <> 66 |     35 |  6955 |
| 66 <> 67 |     34 |  8920 |
| 67 <> 68 |     35 |  5891 |
| 68 <> 69 |     34 |  8626 |
| 69 <> 69 |     11 |   736 |
=============================
