
===================================================================
IO Statistics
Interval: 0.500 secs
Column #0: ip.addr==96.17.182.65
                |   Column #0    
Time            |frames|  bytes  
000.000-000.500       0         0 
000.500-001.000       0         0 
001.000-001.500       0         0 
001.500-002.000       0         0 
002.000-002.500       0         0 
002.500-003.000       0         0 
003.000-003.500       0         0 
003.500-004.000       0         0 
004.000-004.500       0         0 
004.500-005.000       0         0 
005.000-005.500       0         0 
005.500-006.000       0         0 
006.000-006.500       0         0 
006.500-007.000       0         0 
007.000-007.500       0         0 
007.500-008.000       0         0 
008.000-008.500       0         0 
008.500-009.000       0         0 
009.000-009.500       0         0 
009.500-010.000       0         0 
010.000-010.500       0         0 
010.500-011.000       0         0 
011.000-011.500       0         0 
011.500-012.000       0         0 
012.000-012.500       0         0 
012.500-013.000       0         0 
013.000-013.500       0         0 
013.500-014.000       0         0 
014.000-014.500       0         0 
014.500-015.000       0         0 
015.000-015.500       0         0 
015.500-016.000       0         0 
016.000-016.500       0         0 
016.500-017.000       0         0 
017.000-017.500       0         0 
017.500-018.000       0         0 
018.000-018.500       0         0 
018.500-019.000       0         0 
019.000-019.500       0         0 
019.500-020.000       0         0 
020.000-020.500       0         0 
020.500-021.000       0         0 
021.000-021.500       0         0 
021.500-022.000       0         0 
022.000-022.500       0         0 
022.500-023.000       0         0 
023.000-023.500       1        76 
023.500-024.000       0         0 
024.000-024.500       0         0 
024.500-025.000       0         0 
025.000-025.500       3       734 
025.500-026.000       2       156 
026.000-026.500       0         0 
026.500-027.000       0         0 
027.000-027.500       0         0 
027.500-028.000       9      6084 
028.000-028.500       0         0 
028.500-029.000       0         0 
029.000-029.500       0         0 
029.500-030.000       0         0 
030.000-030.500       0         0 
030.500-031.000       8      6016 
031.000-031.500       8      4016 
031.500-032.000       0         0 
032.000-032.500       0         0 
032.500-033.000       0         0 
033.000-033.500       0         0 
033.500-034.000       7      1644 
034.000-034.500      10      4991 
034.500-035.000       9      4070 
035.000-035.500       0         0 
035.500-036.000       0         0 
036.000-036.500       0         0 
036.500-037.000       1        68 
037.000-037.500       0         0 
037.500-038.000      10      7520 
038.000-038.500      20     13672 
038.500-039.000      34     31040 
039.000-039.500       0         0 
039.500-040.000      34     32629 
040.000-040.500       2       901 
040.500-041.000       0         0 
041.000-041.500       0         0 
041.500-042.000       0         0 
042.000-042.500       5      1926 
042.500-043.000       0         0 
043.000-043.500       0         0 
043.500-044.000       0         0 
044.000-044.500       1        68 
044.500-045.000       0         0 
045.000-045.500       4      1125 
045.500-046.000       0         0 
046.000-046.500       0         0 
046.500-047.000      10      7070 
047.000-047.500       0         0 
047.500-048.000       0         0 
048.000-048.500       0         0 
048.500-049.000       0         0 
049.000-049.500       0         0 
049.500-050.000       0         0 
050.000-050.500       1        68 
050.500-051.000       4      1652 
051.000-051.500       0         0 
051.500-052.000       0         0 
052.000-052.500       0         0 
052.500-053.000       0         0 
053.000-053.500       0         0 
053.500-054.000       0         0 
054.000-054.500       0         0 
054.500-055.000       0         0 
055.000-055.500       0         0 
055.500-056.000       2       136 
056.000-056.500       0         0 
056.500-057.000       3       192 
===================================================================
