
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: ip.dst==223.181.62.13  |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |      1 |    68 |
|  0.5 <>  1.0 |      0 |     0 |
|  1.0 <>  1.5 |      1 |   412 |
|  1.5 <>  2.0 |      1 |    68 |
|  2.0 <>  2.5 |      0 |     0 |
|  2.5 <>  3.0 |      0 |     0 |
|  3.0 <>  3.5 |      0 |     0 |
|  3.5 <>  4.0 |      0 |     0 |
|  4.0 <>  4.5 |      1 |    68 |
|  4.5 <>  5.0 |      0 |     0 |
|  5.0 <>  5.5 |      0 |     0 |
|  5.5 <>  6.0 |      1 |    76 |
|  6.0 <>  6.5 |      3 |   544 |
|  6.5 <>  7.0 |      1 |    76 |
|  7.0 <>  7.5 |      0 |     0 |
|  7.5 <>  8.0 |      1 |    76 |
|  8.0 <>  8.5 |      7 |   492 |
|  8.5 <>  9.0 |      2 |   815 |
|  9.0 <>  9.5 |      0 |     0 |
|  9.5 <> 10.0 |      0 |     0 |
| 10.0 <> 10.5 |      0 |     0 |
| 10.5 <> 11.0 |      0 |     0 |
| 11.0 <> 11.5 |      0 |     0 |
| 11.5 <> 12.0 |      0 |     0 |
| 12.0 <> 12.5 |      5 |  5812 |
| 12.5 <> 13.0 |      0 |     0 |
| 13.0 <> 13.5 |      0 |     0 |
| 13.5 <> 14.0 |      5 |  3738 |
| 14.0 <> 14.5 |      0 |     0 |
| 14.5 <> 15.0 |      0 |     0 |
| 15.0 <> 15.5 |      9 | 11693 |
| 15.5 <> 16.0 |     16 | 21212 |
| 16.0 <> 16.5 |      0 |     0 |
| 16.5 <> 17.0 |      1 |   310 |
| 17.0 <> 17.5 |      8 |   747 |
| 17.5 <> 18.0 |      2 |   370 |
| 18.0 <> 18.5 |     15 | 15446 |
| 18.5 <> 19.0 |      5 |   653 |
| 19.0 <> 19.5 |      5 |  3211 |
| 19.5 <> 20.0 |      4 |  1890 |
| 20.0 <> 20.5 |     15 |  4246 |
| 20.5 <> 21.0 |      9 |  2797 |
| 21.0 <> 21.5 |      4 |  2451 |
| 21.5 <> 22.0 |     16 |  6941 |
| 22.0 <> 22.5 |      2 |   638 |
| 22.5 <> 23.0 |      2 |   326 |
| 23.0 <> 23.5 |      7 |  1618 |
| 23.5 <> 24.0 |      3 |   228 |
| 24.0 <> 24.5 |      3 |  1681 |
| 24.5 <> 25.0 |     22 |  2497 |
| 25.0 <> 25.5 |     11 |  4522 |
| 25.5 <> 26.0 |     18 |  6704 |
| 26.0 <> 26.5 |      4 |  2871 |
| 26.5 <> 27.0 |     10 | 11624 |
| 27.0 <> 27.5 |      0 |     0 |
| 27.5 <> 28.0 |      6 |  5880 |
| 28.0 <> 28.5 |      7 |  3399 |
| 28.5 <> 29.0 |      2 |  1989 |
| 29.0 <> 29.5 |      1 |    68 |
| 29.5 <> 30.0 |      0 |     0 |
| 30.0 <> 30.5 |      5 |  5812 |
| 30.5 <> 31.0 |     13 | 17152 |
| 31.0 <> 31.5 |     11 |  4579 |
| 31.5 <> 32.0 |      7 |  1094 |
| 32.0 <> 32.5 |     11 | 13019 |
| 32.5 <> 33.0 |      1 |    76 |
| 33.0 <> 33.5 |      2 |   152 |
| 33.5 <> 34.0 |     18 |  7228 |
| 34.0 <> 34.5 |     15 | 10142 |
| 34.5 <> 35.0 |     10 |  4077 |
| 35.0 <> 35.5 |      4 |   624 |
| 35.5 <> 36.0 |      1 |   557 |
| 36.0 <> 36.5 |      0 |     0 |
| 36.5 <> 37.0 |      0 |     0 |
| 37.0 <> 37.5 |      0 |     0 |
| 37.5 <> 38.0 |      7 |  8692 |
| 38.0 <> 38.5 |     18 | 17648 |
| 38.5 <> 39.0 |     38 | 44795 |
| 39.0 <> 39.5 |     11 | 10343 |
| 39.5 <> 40.0 |     25 | 32033 |
| 40.0 <> 40.5 |     19 | 24792 |
| 40.5 <> 41.0 |      0 |     0 |
| 41.0 <> 41.5 |      0 |     0 |
| 41.5 <> 42.0 |      3 |  1838 |
| 42.0 <> 42.5 |     15 | 15964 |
| 42.5 <> 43.0 |      8 |  2603 |
| 43.0 <> 43.5 |      2 |   144 |
| 43.5 <> 44.0 |      2 |   840 |
| 44.0 <> 44.5 |      2 |   144 |
| 44.5 <> 45.0 |      0 |     0 |
| 45.0 <> 45.5 |      6 |  3549 |
| 45.5 <> 46.0 |      0 |     0 |
| 46.0 <> 46.5 |      0 |     0 |
| 46.5 <> 47.0 |     10 |  9778 |
| 47.0 <> 47.5 |      4 |  4320 |
| 47.5 <> 48.0 |      0 |     0 |
| 48.0 <> 48.5 |      0 |     0 |
| 48.5 <> 49.0 |      0 |     0 |
| 49.0 <> 49.5 |      0 |     0 |
| 49.5 <> 50.0 |      0 |     0 |
| 50.0 <> 50.5 |      0 |     0 |
| 50.5 <> 51.0 |      2 |  1504 |
| 51.0 <> 51.5 |      0 |     0 |
| 51.5 <> 52.0 |      0 |     0 |
| 52.0 <> 52.5 |      0 |     0 |
| 52.5 <> 53.0 |      0 |     0 |
| 53.0 <> 53.5 |      0 |     0 |
| 53.5 <> 54.0 |      0 |     0 |
| 54.0 <> 54.5 |      0 |     0 |
| 54.5 <> 55.0 |      0 |     0 |
| 55.0 <> 55.5 |      1 |    68 |
| 55.5 <> 56.0 |      1 |    68 |
| 56.0 <> 56.5 |      4 |   248 |
| 56.5 <> 57.0 |     14 |  6012 |
| 57.0 <> 57.5 |      4 |   685 |
| 57.5 <> 58.0 |      9 | 10136 |
| 58.0 <> 58.5 |      7 |  6451 |
| 58.5 <> 59.0 |      0 |     0 |
| 59.0 <> 59.5 |      0 |     0 |
| 59.5 <> 60.0 |      5 |   907 |
| 60.0 <> 60.5 |      8 |  3212 |
| 60.5 <> 61.0 |      6 |  4032 |
| 61.0 <> 61.5 |      2 |   152 |
| 61.5 <> 62.0 |      2 |   321 |
| 62.0 <> 62.5 |      1 |    68 |
| 62.5 <> 63.0 |      1 |    68 |
| 63.0 <> 63.5 |      3 |   204 |
| 63.5 <> 64.0 |      1 |    68 |
| 64.0 <> 64.5 |      0 |     0 |
| 64.5 <> 65.0 |      0 |     0 |
| 65.0 <> 65.5 |      0 |     0 |
| 65.5 <> 66.0 |      0 |     0 |
| 66.0 <> 66.5 |      1 |   111 |
| 66.5 <> 67.0 |      0 | 287762808832 |
| 67.0 <> 67.5 |      0 | 287762808832 |
| 67.5 <> 68.0 |      0 | 292057776128 |
| 68.0 <> 68.5 |      0 | 292057776128 |
| 68.5 <> 69.0 |      0 | 296352743424 |
| 69.0 <> 69.5 |      0 | 296352743424 |
| 69.5 <> 70.0 |      0 | 300647710720 |
| 70.0 <> 70.5 |      0 | 300647710720 |
| 70.5 <> 71.1 |      0 | 304942678016 |
=================================
