
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: ip.src==223.181.62.13  |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |      2 |   144 |
|  0.5 <>  1.0 |      0 |     0 |
|  1.0 <>  1.5 |      1 |    68 |
|  1.5 <>  2.0 |      2 |   156 |
|  2.0 <>  2.5 |      1 |    76 |
|  2.5 <>  3.0 |      0 |     0 |
|  3.0 <>  3.5 |      1 |    76 |
|  3.5 <>  4.0 |      0 |     0 |
|  4.0 <>  4.5 |      1 |    80 |
|  4.5 <>  5.0 |      1 |    76 |
|  5.0 <>  5.5 |      1 |    76 |
|  5.5 <>  6.0 |      2 |   387 |
|  6.0 <>  6.5 |      2 |   160 |
|  6.5 <>  7.0 |      1 |    80 |
|  7.0 <>  7.5 |      0 |     0 |
|  7.5 <>  8.0 |      1 |    80 |
|  8.0 <>  8.5 |      6 |  1380 |
|  8.5 <>  9.0 |      2 |   388 |
|  9.0 <>  9.5 |      0 |     0 |
|  9.5 <> 10.0 |      0 |     0 |
| 10.0 <> 10.5 |      1 |    68 |
| 10.5 <> 11.0 |      0 |     0 |
| 11.0 <> 11.5 |      0 |     0 |
| 11.5 <> 12.0 |      0 |     0 |
| 12.0 <> 12.5 |      4 |   272 |
| 12.5 <> 13.0 |      1 |    89 |
| 13.0 <> 13.5 |      0 |     0 |
| 13.5 <> 14.0 |      4 |   272 |
| 14.0 <> 14.5 |      0 |     0 |
| 14.5 <> 15.0 |      0 |     0 |
| 15.0 <> 15.5 |      9 |   620 |
| 15.5 <> 16.0 |     17 |  2207 |
| 16.0 <> 16.5 |      0 |     0 |
| 16.5 <> 17.0 |      5 |   381 |
| 17.0 <> 17.5 |     30 |  7477 |
| 17.5 <> 18.0 |      3 |   688 |
| 18.0 <> 18.5 |     20 |  3240 |
| 18.5 <> 19.0 |     12 |  4188 |
| 19.0 <> 19.5 |      5 |  1047 |
| 19.5 <> 20.0 |      6 |  2002 |
| 20.0 <> 20.5 |     17 |  4442 |
| 20.5 <> 21.0 |     10 |  1400 |
| 21.0 <> 21.5 |      6 |  1135 |
| 21.5 <> 22.0 |     15 |  1920 |
| 22.0 <> 22.5 |      4 |   296 |
| 22.5 <> 23.0 |     12 |  1975 |
| 23.0 <> 23.5 |      8 |  2846 |
| 23.5 <> 24.0 |      4 |  1465 |
| 24.0 <> 24.5 |     15 |  2500 |
| 24.5 <> 25.0 |     13 |  1961 |
| 25.0 <> 25.5 |      9 |  1134 |
| 25.5 <> 26.0 |     18 |  1275 |
| 26.0 <> 26.5 |      9 |  2548 |
| 26.5 <> 27.0 |      9 |   646 |
| 27.0 <> 27.5 |      0 |     0 |
| 27.5 <> 28.0 |      4 |   272 |
| 28.0 <> 28.5 |     13 |  3041 |
| 28.5 <> 29.0 |      3 |  1361 |
| 29.0 <> 29.5 |      2 |   144 |
| 29.5 <> 30.0 |      0 |     0 |
| 30.0 <> 30.5 |      4 |   272 |
| 30.5 <> 31.0 |     14 |   952 |
| 31.0 <> 31.5 |     13 |   932 |
| 31.5 <> 32.0 |      8 |  2165 |
| 32.0 <> 32.5 |     10 |   692 |
| 32.5 <> 33.0 |      3 |   216 |
| 33.0 <> 33.5 |      2 |   160 |
| 33.5 <> 34.0 |     23 |  3563 |
| 34.0 <> 34.5 |     15 |  1035 |
| 34.5 <> 35.0 |     11 |  1967 |
| 35.0 <> 35.5 |      4 |  1452 |
| 35.5 <> 36.0 |      1 |    80 |
| 36.0 <> 36.5 |      0 |     0 |
| 36.5 <> 37.0 |      5 |   340 |
| 37.0 <> 37.5 |      0 |     0 |
