
===================================================================
IO Statistics
Interval: 0.500 secs
Column #0: 
                |   Column #0    
Time            |frames|  bytes  
000.000-000.500      10      1145 
000.500-001.000       1      1058 
001.000-001.500       1        68 
001.500-002.000       0         0 
002.000-002.500       2       136 
002.500-003.000       3       239 
003.000-003.500       1        68 
003.500-004.000       2       148 
004.000-004.500       1        76 
004.500-005.000       0         0 
005.000-005.500       1        68 
005.500-006.000       1        76 
006.000-006.500       0         0 
006.500-007.000       8       915 
007.000-007.500       2       144 
007.500-008.000       1        76 
008.000-008.500      15      1404 
008.500-009.000      12      6174 
009.000-009.500      10      6058 
009.500-010.000      17      1679 
010.000-010.500       7      1084 
010.500-011.000      10      1612 
011.000-011.500       9      2377 
011.500-012.000      30     18496 
012.000-012.500      83     47643 
012.500-013.000     124     65509 
013.000-013.500      80     46235 
013.500-014.000      54     33605 
014.000-014.500      55     31934 
014.500-015.000      94     50741 
015.000-015.500      63     29922 
015.500-016.000      43     26655 
016.000-016.500      99     44312 
016.500-017.000      39     13653 
017.000-017.500      45     27213 
017.500-018.000      51     12577 
018.000-018.500      85     48650 
018.500-019.000      45     19575 
019.000-019.500      11      7281 
019.500-020.000      12      7668 
020.000-020.500      31     22652 
020.500-021.000      96     24300 
021.000-021.500      33     27125 
021.500-022.000      21      6387 
022.000-022.500      73     22327 
022.500-023.000      73     27161 
023.000-023.500     183     99129 
023.500-024.000      31     18855 
024.000-024.500      37     16102 
024.500-025.000      21     13523 
025.000-025.500       9      3774 
025.500-026.000      71     38068 
026.000-026.500      60     44384 
026.500-027.000      75     47277 
027.000-027.500      25     20514 
027.500-028.000      18      5364 
028.000-028.500      34     24260 
028.500-029.000      36     11338 
029.000-029.500      96     36104 
029.500-030.000     113     53459 
030.000-030.500      86     61341 
030.500-031.000      85     74447 
031.000-031.500      15      3979 
031.500-032.000      16      9952 
032.000-032.500       0         0 
032.500-033.000       0         0 
033.000-033.500       0         0 
033.500-034.000      10       680 
034.000-034.500      21      1428 
034.500-035.000       0         0 
035.000-035.500       0         0 
035.500-036.000       2       136 
036.000-036.500       4       272 
036.500-037.000       0         0 
037.000-037.500       0         0 
037.500-038.000       0         0 
038.000-038.500       0         0 
038.500-039.000       0         0 
039.000-039.500       0         0 
039.500-040.000       0         0 
040.000-040.500       0         0 
040.500-041.000       0         0 
041.000-041.500       0         0 
041.500-042.000       4       272 
042.000-042.500       0         0 
042.500-043.000       0         0 
043.000-043.500       0         0 
043.500-044.000       0         0 
044.000-044.500       0         0 
044.500-045.000       0         0 
045.000-045.500       0         0 
045.500-046.000       0         0 
046.000-046.500       0         0 
046.500-047.000       0         0 
047.000-047.500       0         0 
047.500-048.000       0         0 
048.000-048.500       0         0 
048.500-049.000       0         0 
049.000-049.500       0         0 
049.500-050.000       0         0 
050.000-050.500       0         0 
050.500-051.000       0         0 
051.000-051.500       0         0 
051.500-052.000       0         0 
052.000-052.500       0         0 
052.500-053.000       0         0 
053.000-053.500       1        68 
053.500-054.000       0         0 
054.000-054.500       0         0 
054.500-055.000       0         0 
055.000-055.500       0         0 
055.500-056.000       4       260 
056.000-056.500       0         0 
056.500-057.000       0         0 
057.000-057.500       0         0 
057.500-058.000       0         0 
058.000-058.500       0         0 
058.500-059.000       0         0 
059.000-059.500       0         0 
059.500-060.000       0         0 
060.000-060.500       0         0 
060.500-061.000       0         0 
061.000-061.500       0         0 
061.500-062.000       0         0 
062.000-062.500       0         0 
062.500-063.000       0         0 
063.000-063.500       0         0 
063.500-064.000       0         0 
064.000-064.500       0         0 
064.500-065.000       0         0 
065.000-065.500       0         0 
065.500-066.000       0         0 
066.000-066.500       0         0 
066.500-067.000       0         0 
067.000-067.500       0         0 
067.500-068.000       0         0 
068.000-068.500       0         0 
068.500-069.000       0         0 
069.000-069.500       1       532 
069.500-070.000       0         0 
070.000-070.500       0         0 
070.500-071.000       0         0 
071.000-071.500       0         0 
071.500-072.000       0         0 
072.000-072.500       0         0 
072.500-073.000       0         0 
073.000-073.500       2      1504 
073.500-074.000       2      1504 
074.000-074.500       0         0 
074.500-075.000       2      1504 
075.000-075.500       2      1504 
075.500-076.000       6      4512 
076.000-076.500      20      9928 
076.500-077.000      15      6025 
077.000-077.500       8       624 
077.500-078.000      11      2686 
078.000-078.500       4       794 
078.500-079.000       6      3554 
079.000-079.500      12      2257 
079.500-080.000      19      5399 
080.000-080.500       8      2881 
080.500-081.000      11      7588 
081.000-081.500      51     28349 
081.500-082.000      59     30916 
082.000-082.500      29     12121 
082.500-083.000      25      4951 
083.000-083.500      32     11031 
083.500-084.000      37      9663 
084.000-084.500      28      7532 
084.500-085.000      37     19681 
085.000-085.500      73     42510 
085.500-086.000      86     58920 
086.000-086.500      46     29638 
086.500-087.000      47     16513 
087.000-087.500      24      9324 
087.500-088.000      16      9294 
088.000-088.500      19      2127 
088.500-089.000       9      1156 
089.000-089.500       1       105 
089.500-090.000       8       584 
090.000-090.500      13       884 
090.500-091.000       2       136 
091.000-091.500       0         0 
091.500-092.000       0         0 
092.000-092.500       0         0 
092.500-093.000       0         0 
093.000-093.500       0         0 
093.500-094.000       0         0 
094.000-094.500       0         0 
094.500-095.000       2       152 
095.000-095.500       0         0 
095.500-096.000       0         0 
096.000-096.500       0         0 
096.500-097.000      47     10943 
097.000-097.500      30     12643 
097.500-098.000       0         0 
098.000-098.500      30     10334 
098.500-099.000       8      3931 
099.000-099.500      20      9363 
099.500-100.000      15      8177 
100.000-100.500      14      8329 
100.500-101.000      21     12101 
101.000-101.500      25     13707 
101.500-102.000      25     15476 
102.000-102.500      47     30932 
102.500-103.000      44     32143 
103.000-103.500       5      3919 
103.500-104.000      51     33391 
104.000-104.500      29     15249 
104.500-105.000      16     10603 
105.000-105.500      47     21716 
105.500-106.000       0         0 
106.000-106.500      10       680 
106.500-107.000      22      1512 
107.000-107.500       0         0 
107.500-108.000       0         0 
108.000-108.500       2       136 
108.500-109.000       4       272 
109.000-109.500       0         0 
109.500-110.000      13      2318 
110.000-110.500      24     10385 
110.500-111.000      10      4217 
111.000-111.500       3       951 
111.500-112.000       4       904 
112.000-112.500       2       124 
112.500-113.000       7      1265 
113.000-113.500       9      1510 
113.500-114.000      17      6114 
114.000-114.500      23      5481 
114.500-115.000       2       136 
115.000-115.500       2      1091 
115.500-116.000       0         0 
116.000-116.500       0         0 
116.500-117.000       0         0 
117.000-117.500       0         0 
117.500-118.000       0         0 
118.000-118.500       0         0 
118.500-119.000      12      1583 
119.000-119.500       0         0 
119.500-120.000       3       802 
120.000-120.500       1        68 
120.500-121.000       0         0 
121.000-121.500       1        68 
121.500-122.000       2       136 
===================================================================
