
===================================================================
IO Statistics
Interval: 0.500 secs
Column #0: ip.dst==223.181.32.61
                |   Column #0    
Time            |frames|  bytes  
000.000-000.500       6       885 
000.500-001.000       0         0 
001.000-001.500       0         0 
001.500-002.000       0         0 
002.000-002.500       1        68 
002.500-003.000       0         0 
003.000-003.500       0         0 
003.500-004.000       1        68 
004.000-004.500       0         0 
004.500-005.000       0         0 
005.000-005.500       0         0 
005.500-006.000       0         0 
006.000-006.500       0         0 
006.500-007.000       5       735 
007.000-007.500       0         0 
007.500-008.000       0         0 
008.000-008.500       7       516 
008.500-009.000       6      5522 
009.000-009.500       2       230 
009.500-010.000      11      1226 
010.000-010.500       2       498 
010.500-011.000       6      1088 
011.000-011.500       4      1070 
011.500-012.000      13     17300 
012.000-012.500      38     38665 
012.500-013.000      60     55765 
013.000-013.500      41     42230 
013.500-014.000      26     29552 
014.000-014.500      18     21945 
014.500-015.000      43     36067 
015.000-015.500      33     27619 
015.500-016.000      25     25236 
016.000-016.500      32     21077 
016.500-017.000      17      9269 
017.000-017.500      26     25884 
017.500-018.000      23      7655 
018.000-018.500      43     44667 
018.500-019.000      19     13089 
019.000-019.500       6      5573 
019.500-020.000       7      7316 
020.000-020.500      16     21620 
020.500-021.000      40     20492 
021.000-021.500      17     23696 
021.500-022.000      10      3320 
022.000-022.500      21      6435 
022.500-023.000      26     15685 
023.000-023.500      82     73997 
023.500-024.000      18     17000 
024.000-024.500      18     13079 
024.500-025.000      13     12955 
025.000-025.500       5      3466 
025.500-026.000      32     35396 
026.000-026.500      32     42480 
026.500-027.000      42     45033 
027.000-027.500      15     19834 
027.500-028.000       3      4308 
028.000-028.500      18     23112 
028.500-029.000      10      7709 
029.000-029.500      50     32347 
029.500-030.000      56     48164 
030.000-030.500      45     56713 
030.500-031.000      54     72326 
031.000-031.500       5      1395 
031.500-032.000       9      9476 
032.000-032.500       0         0 
032.500-033.000       0         0 
033.000-033.500       0         0 
033.500-034.000       0         0 
034.000-034.500      11       748 
034.500-035.000       0         0 
035.000-035.500       0         0 
035.500-036.000       0         0 
036.000-036.500       2       136 
036.500-037.000       0         0 
037.000-037.500       0         0 
037.500-038.000       0         0 
038.000-038.500       0         0 
038.500-039.000       0         0 
039.000-039.500       0         0 
039.500-040.000       0         0 
040.000-040.500       0         0 
040.500-041.000       0         0 
041.000-041.500       0         0 
041.500-042.000       2       136 
042.000-042.500       0         0 
042.500-043.000       0         0 
043.000-043.500       0         0 
043.500-044.000       0         0 
044.000-044.500       0         0 
044.500-045.000       0         0 
045.000-045.500       0         0 
045.500-046.000       0         0 
046.000-046.500       0         0 
046.500-047.000       0         0 
047.000-047.500       0         0 
047.500-048.000       0         0 
048.000-048.500       0         0 
048.500-049.000       0         0 
049.000-049.500       0         0 
049.500-050.000       0         0 
050.000-050.500       0         0 
050.500-051.000       0         0 
051.000-051.500       0         0 
051.500-052.000       0         0 
052.000-052.500       0         0 
052.500-053.000       0         0 
053.000-053.500       0         0 
053.500-054.000       0         0 
054.000-054.500       0         0 
054.500-055.000       0         0 
055.000-055.500       0         0 
055.500-056.000       3       192 
056.000-056.500       0         0 
056.500-057.000       0         0 
057.000-057.500       0         0 
057.500-058.000       0         0 
058.000-058.500       0         0 
058.500-059.000       0         0 
059.000-059.500       0         0 
059.500-060.000       0         0 
060.000-060.500       0         0 
060.500-061.000       0         0 
061.000-061.500       0         0 
061.500-062.000       0         0 
062.000-062.500       0         0 
062.500-063.000       0         0 
063.000-063.500       0         0 
063.500-064.000       0         0 
064.000-064.500       0         0 
064.500-065.000       0         0 
065.000-065.500       0         0 
065.500-066.000       0         0 
066.000-066.500       0         0 
066.500-067.000       0         0 
067.000-067.500       0         0 
067.500-068.000       0         0 
068.000-068.500       0         0 
068.500-069.000       0         0 
069.000-069.500       0         0 
069.500-070.000       0         0 
070.000-070.500       0         0 
070.500-071.000       0         0 
071.000-071.500       0         0 
071.500-072.000       0         0 
072.000-072.500       0         0 
072.500-073.000       0         0 
073.000-073.500       1      1436 
073.500-074.000       1      1436 
074.000-074.500       0         0 
074.500-075.000       1      1436 
075.000-075.500       1      1436 
075.500-076.000       3      4308 
076.000-076.500       8      9059 
076.500-077.000       5       380 
077.000-077.500       4       304 
077.500-078.000       6      2310 
078.000-078.500       2       646 
078.500-079.000       3      3338 
079.000-079.500       7      1893 
079.500-080.000       8      4206 
080.000-080.500       3       896 
080.500-081.000       6      7248 
081.000-081.500      22     25858 
081.500-082.000      28     26711 
082.000-082.500      12     10232 
082.500-083.000      11      2072 
083.000-083.500      15      7375 
083.500-084.000      13      4330 
084.000-084.500      12      3541 
084.500-085.000      19     18423 
085.000-085.500      37     39049 
085.500-086.000      47     55689 
086.000-086.500      25     28176 
086.500-087.000      20     13430 
087.000-087.500      11      6704 
087.500-088.000       8      8375 
088.000-088.500       7       714 
088.500-089.000       4       800 
089.000-089.500       0         0 
089.500-090.000       4       336 
090.000-090.500       4       272 
090.500-091.000       1        68 
091.000-091.500       0         0 
091.500-092.000       0         0 
092.000-092.500       0         0 
092.500-093.000       0         0 
093.000-093.500       0         0 
093.500-094.000       0         0 
094.000-094.500       0         0 
094.500-095.000       0         0 
095.000-095.500       0         0 
095.500-096.000       0         0 
096.000-096.500       0         0 
096.500-097.000       8       712 
097.000-097.500      10       760 
097.500-098.000       0         0 
098.000-098.500      12      4026 
098.500-099.000       4      2612 
099.000-099.500      10      6578 
099.500-100.000       7      5556 
100.000-100.500       8      6886 
100.500-101.000      12     11489 
101.000-101.500      14     12959 
101.500-102.000      14     14728 
102.000-102.500      25     29436 
102.500-103.000      24     30783 
103.000-103.500       3      3783 
103.500-104.000      26     31691 
104.000-104.500      11     14025 
104.500-105.000       8     10059 
105.000-105.500      25     20220 
105.500-106.000       0         0 
106.000-106.500       0         0 
106.500-107.000      10       680 
107.000-107.500       0         0 
107.500-108.000       0         0 
108.000-108.500       0         0 
108.500-109.000       2       136 
109.000-109.500       0         0 
109.500-110.000       3       343 
110.000-110.500      12      8886 
110.500-111.000       3       518 
111.000-111.500       1        76 
111.500-112.000       2       756 
112.000-112.500       1        56 
112.500-113.000       4       306 
113.000-113.500       4       966 
113.500-114.000       8      2737 
114.000-114.500      12      2733 
114.500-115.000       2       136 
115.000-115.500       1      1023 
115.500-116.000       0         0 
116.000-116.500       0         0 
116.500-117.000       0         0 
117.000-117.500       0         0 
117.500-118.000       0         0 
118.000-118.500       0         0 
118.500-119.000       4       344 
119.000-119.500       0         0 
119.500-120.000       1       666 
120.000-120.500       1        68 
120.500-121.000       0         0 
121.000-121.500       0         0 
121.500-122.000       1        68 
===================================================================
