
===================================================================
IO Statistics
Interval: 0.500 secs
Column #0: ip.src==223.181.32.61
                |   Column #0    
Time            |frames|  bytes  
000.000-000.500       4       260 
000.500-001.000       1      1058 
001.000-001.500       1        68 
001.500-002.000       0         0 
002.000-002.500       1        68 
002.500-003.000       3       239 
003.000-003.500       1        68 
003.500-004.000       1        80 
004.000-004.500       1        76 
004.500-005.000       0         0 
005.000-005.500       1        68 
005.500-006.000       1        76 
006.000-006.500       0         0 
006.500-007.000       3       180 
007.000-007.500       2       144 
007.500-008.000       1        76 
008.000-008.500       8       888 
008.500-009.000       6       652 
009.000-009.500       8      5828 
009.500-010.000       6       453 
010.000-010.500       5       586 
010.500-011.000       4       524 
011.000-011.500       5      1307 
011.500-012.000      17      1196 
012.000-012.500      45      8978 
012.500-013.000      64      9744 
013.000-013.500      39      4005 
013.500-014.000      28      4053 
014.000-014.500      37      9989 
014.500-015.000      51     14674 
015.000-015.500      30      2303 
015.500-016.000      18      1419 
016.000-016.500      67     23235 
016.500-017.000      22      4384 
017.000-017.500      19      1329 
017.500-018.000      28      4922 
018.000-018.500      42      3983 
018.500-019.000      26      6486 
019.000-019.500       5      1708 
019.500-020.000       5       352 
020.000-020.500      15      1032 
020.500-021.000      56      3808 
021.000-021.500      16      3429 
021.500-022.000      11      3067 
022.000-022.500      52     15892 
022.500-023.000      47     11476 
023.000-023.500     101     25132 
023.500-024.000      13      1855 
024.000-024.500      19      3023 
024.500-025.000       8       568 
025.000-025.500       4       308 
025.500-026.000      39      2672 
026.000-026.500      28      1904 
026.500-027.000      33      2244 
027.000-027.500      10       680 
027.500-028.000      15      1056 
028.000-028.500      16      1148 
028.500-029.000      26      3629 
029.000-029.500      46      3757 
029.500-030.000      57      5295 
030.000-030.500      41      4628 
030.500-031.000      31      2121 
031.000-031.500      10      2584 
031.500-032.000       7       476 
032.000-032.500       0         0 
032.500-033.000       0         0 
033.000-033.500       0         0 
033.500-034.000      10       680 
034.000-034.500      10       680 
034.500-035.000       0         0 
035.000-035.500       0         0 
035.500-036.000       2       136 
036.000-036.500       2       136 
036.500-037.000       0         0 
037.000-037.500       0         0 
037.500-038.000       0         0 
038.000-038.500       0         0 
038.500-039.000       0         0 
039.000-039.500       0         0 
039.500-040.000       0         0 
040.000-040.500       0         0 
040.500-041.000       0         0 
041.000-041.500       0         0 
041.500-042.000       2       136 
042.000-042.500       0         0 
042.500-043.000       0         0 
043.000-043.500       0         0 
043.500-044.000       0         0 
044.000-044.500       0         0 
044.500-045.000       0         0 
045.000-045.500       0         0 
045.500-046.000       0         0 
046.000-046.500       0         0 
046.500-047.000       0         0 
047.000-047.500       0         0 
047.500-048.000       0         0 
048.000-048.500       0         0 
048.500-049.000       0         0 
049.000-049.500       0         0 
049.500-050.000       0         0 
050.000-050.500       0         0 
050.500-051.000       0         0 
051.000-051.500       0         0 
051.500-052.000       0         0 
052.000-052.500       0         0 
052.500-053.000       0         0 
053.000-053.500       1        68 
053.500-054.000       0         0 
054.000-054.500       0         0 
054.500-055.000       0         0 
055.000-055.500       0         0 
055.500-056.000       1        68 
056.000-056.500       0         0 
056.500-057.000       0         0 
057.000-057.500       0         0 
057.500-058.000       0         0 
058.000-058.500       0         0 
058.500-059.000       0         0 
059.000-059.500       0         0 
059.500-060.000       0         0 
060.000-060.500       0         0 
060.500-061.000       0         0 
061.000-061.500       0         0 
061.500-062.000       0         0 
062.000-062.500       0         0 
062.500-063.000       0         0 
063.000-063.500       0         0 
063.500-064.000       0         0 
064.000-064.500       0         0 
064.500-065.000       0         0 
065.000-065.500       0         0 
065.500-066.000       0         0 
066.000-066.500       0         0 
066.500-067.000       0         0 
067.000-067.500       0         0 
067.500-068.000       0         0 
068.000-068.500       0         0 
068.500-069.000       0         0 
069.000-069.500       1       532 
069.500-070.000       0         0 
070.000-070.500       0         0 
070.500-071.000       0         0 
071.000-071.500       0         0 
071.500-072.000       0         0 
072.000-072.500       0         0 
072.500-073.000       0         0 
073.000-073.500       1        68 
073.500-074.000       1        68 
074.000-074.500       0         0 
074.500-075.000       1        68 
075.000-075.500       1        68 
075.500-076.000       3       204 
076.000-076.500      12       869 
076.500-077.000      10      5645 
077.000-077.500       4       320 
077.500-078.000       5       376 
078.000-078.500       2       148 
078.500-079.000       3       216 
079.000-079.500       5       364 
079.500-080.000      11      1193 
080.000-080.500       5      1985 
080.500-081.000       5       340 
081.000-081.500      29      2491 
081.500-082.000      31      4205 
082.000-082.500      17      1889 
082.500-083.000      14      2879 
083.000-083.500      17      3656 
083.500-084.000      24      5333 
084.000-084.500      16      3991 
084.500-085.000      18      1258 
085.000-085.500      36      3461 
085.500-086.000      39      3231 
086.000-086.500      21      1462 
086.500-087.000      27      3083 
087.000-087.500      13      2620 
087.500-088.000       8       919 
088.000-088.500      12      1413 
088.500-089.000       5       356 
089.000-089.500       1       105 
089.500-090.000       4       248 
090.000-090.500       9       612 
090.500-091.000       1        68 
091.000-091.500       0         0 
091.500-092.000       0         0 
092.000-092.500       0         0 
092.500-093.000       0         0 
093.000-093.500       0         0 
093.500-094.000       0         0 
094.000-094.500       0         0 
094.500-095.000       2       152 
095.000-095.500       0         0 
