
===================================================================
IO Statistics
Interval: 0.500 secs
Column #0: 
                |   Column #0    
Time            |frames|  bytes  
000.000-000.500       7      2267 
000.500-001.000       9       783 
001.000-001.500      10      1550 
001.500-002.000       0         0 
002.000-002.500      11      2090 
002.500-003.000      12      1355 
003.000-003.500       2       136 
003.500-004.000       1        68 
004.000-004.500       4       272 
004.500-005.000       0         0 
005.000-005.500       5       567 
005.500-006.000       2      1516 
006.000-006.500       1        78 
006.500-007.000      12      3618 
007.000-007.500       0         0 
007.500-008.000       1        89 
008.000-008.500       0         0 
008.500-009.000       0         0 
009.000-009.500       2      1516 
009.500-010.000       3       212 
010.000-010.500       0         0 
010.500-011.000       0         0 
011.000-011.500       0         0 
011.500-012.000      17      5531 
012.000-012.500       4       951 
012.500-013.000       1       320 
013.000-013.500      39     26581 
013.500-014.000      37     20196 
014.000-014.500      15      2710 
014.500-015.000       7      1373 
015.000-015.500      22      3598 
015.500-016.000      18      4567 
016.000-016.500      39     23323 
016.500-017.000      61     15699 
017.000-017.500      13      4308 
017.500-018.000      15      2792 
018.000-018.500      68     21044 
018.500-019.000      55     17322 
019.000-019.500      26      5999 
019.500-020.000      74     36697 
020.000-020.500      12      5643 
020.500-021.000       0         0 
021.000-021.500       0         0 
021.500-022.000      57      4691 
022.000-022.500      66     28465 
022.500-023.000      31     13980 
023.000-023.500      20     12566 
023.500-024.000      10      1869 
024.000-024.500      83     60351 
024.500-025.000      12      2165 
025.000-025.500      67     13434 
025.500-026.000     102     61791 
026.000-026.500      40     17475 
026.500-027.000      29      6415 
027.000-027.500       2       374 
027.500-028.000      39      3249 
028.000-028.500       6       934 
028.500-029.000       1       105 
029.000-029.500       4       325 
029.500-030.000      12       824 
030.000-030.500       2       136 
030.500-031.000       0         0 
031.000-031.500       0         0 
031.500-032.000       0         0 
032.000-032.500       0         0 
032.500-033.000       0         0 
033.000-033.500       0         0 
033.500-034.000      12      1290 
034.000-034.500      48     14839 
034.500-035.000      44     12114 
035.000-035.500      36      6904 
035.500-036.000      16      4590 
036.000-036.500      26      6987 
036.500-037.000      49     14711 
037.000-037.500      26      5658 
037.500-038.000      32      7687 
038.000-038.500       8      4234 
038.500-039.000      19      4387 
039.000-039.500      13      1262 
039.500-040.000      30      7144 
040.000-040.500      29      7449 
040.500-041.000      22      6079 
041.000-041.500      34      9036 
041.500-042.000      40     12839 
042.000-042.500      32      7760 
042.500-043.000      34      7637 
043.000-043.500      12      3953 
043.500-044.000      39      8213 
044.000-044.500      57     22395 
044.500-045.000      44     17926 
045.000-045.500      91     66325 
045.500-046.000      22      4673 
046.000-046.500      12      3959 
046.500-047.000      12      1203 
047.000-047.500      26      4838 
047.500-048.000      24      4935 
048.000-048.500      22      4619 
048.500-049.000      12      4319 
049.000-049.500      28      5047 
049.500-050.000      14      1545 
050.000-050.500      22      4318 
050.500-051.000      36      6783 
051.000-051.500      26      8855 
051.500-052.000      51     26561 
052.000-052.500      65     38937 
052.500-053.000      22      4888 
053.000-053.500       8       552 
053.500-054.000      24      4735 
054.000-054.500      25      4790 
054.500-055.000      11       748 
055.000-055.500      12      4243 
055.500-056.000       8       544 
056.000-056.500      14      4405 
056.500-057.000       6       408 
057.000-057.500      16      4251 
057.500-058.000      10       680 
058.000-058.500      24      5657 
058.500-059.000       0         0 
059.000-059.500       1        76 
059.500-060.000       1      1018 
060.000-060.500       1        76 
060.500-061.000       2       894 
061.000-061.500       6       428 
061.500-062.000      15      3427 
062.000-062.500       8      1900 
===================================================================
