
===================================================================
IO Statistics
Interval: 0.500 secs
Column #0: ip.dst==223.181.32.61
                |   Column #0    
Time            |frames|  bytes  
000.000-000.500       4      2099 
000.500-001.000       3       327 
001.000-001.500       4       304 
001.500-002.000       0         0 
002.000-002.500       6      1729 
002.500-003.000       6       493 
003.000-003.500       1        68 
003.500-004.000       1        68 
004.000-004.500       2       136 
004.500-005.000       0         0 
005.000-005.500       1       295 
005.500-006.000       1      1436 
006.000-006.500       0         0 
006.500-007.000       7      3270 
007.000-007.500       0         0 
007.500-008.000       0         0 
008.000-008.500       0         0 
008.500-009.000       0         0 
009.000-009.500       1      1436 
009.500-010.000       1        68 
010.000-010.500       0         0 
010.500-011.000       0         0 
011.000-011.500       0         0 
011.500-012.000       8      3698 
012.000-012.500       3       883 
012.500-013.000       0         0 
013.000-013.500      20     25270 
013.500-014.000      16     18206 
014.000-014.500       6       480 
014.500-015.000       3       372 
015.000-015.500      11      2352 
015.500-016.000       7       745 
016.000-016.500      19     20956 
016.500-017.000      26      6460 
017.000-017.500       8      3956 
017.500-018.000       7      2248 
018.000-018.500      23      5784 
018.500-019.000      27     12711 
019.000-019.500      10      2540 
019.500-020.000      35     27506 
020.000-020.500       6      5235 
020.500-021.000       0         0 
021.000-021.500       0         0 
021.500-022.000      22      1709 
022.000-022.500      29     25501 
022.500-023.000      15     10938 
023.000-023.500      10     11176 
023.500-024.000       2       183 
024.000-024.500      49     56035 
024.500-025.000       4      1592 
025.000-025.500      27      5501 
025.500-026.000      55     57603 
026.000-026.500      19     15259 
026.500-027.000      13      4745 
027.000-027.500       2       374 
027.500-028.000      13       884 
028.000-028.500       3       730 
028.500-029.000       0         0 
029.000-029.500       1       105 
029.500-030.000       4       272 
030.000-030.500       1        68 
030.500-031.000       0         0 
031.000-031.500       0         0 
031.500-032.000       0         0 
032.000-032.500       0         0 
032.500-033.000       0         0 
033.000-033.500       0         0 
033.500-034.000       4       496 
034.000-034.500      22     11565 
034.500-035.000      25      4025 
035.000-035.500      16      1894 
035.500-036.000       4      1060 
036.000-036.500      13      1271 
036.500-037.000      27     10461 
037.000-037.500      17      3952 
037.500-038.000      17      1203 
038.000-038.500       5      4030 
038.500-039.000       6       408 
039.000-039.500       9      1026 
039.500-040.000      14      2948 
040.000-040.500      15      1454 
040.500-041.000       8      2294 
041.000-041.500      12      1254 
041.500-042.000      25     11433 
042.000-042.500      17      1203 
042.500-043.000      18      3446 
043.000-043.500       1       455 
043.500-044.000      20      3743 
044.000-044.500      25     15830 
044.500-045.000      26     15183 
045.000-045.500      54     60985 
045.500-046.000      11      1135 
046.000-046.500       1       455 
046.500-047.000      11      1135 
047.000-047.500      12       816 
047.500-048.000      11      1135 
048.000-048.500      11      1135 
048.500-049.000       1       455 
049.000-049.500      13      1271 
049.500-050.000      12      1409 
050.000-050.500      10       680 
050.500-051.000      17      1963 
051.000-051.500      10      3298 
051.500-052.000      28     24478 
052.000-052.500      36     33424 
052.500-053.000       8      1116 
053.000-053.500       7       476 
053.500-054.000      12      1203 
054.000-054.500       7       890 
054.500-055.000      10       680 
055.000-055.500       1       455 
055.500-056.000       8       544 
056.000-056.500       3       591 
056.500-057.000       6       408 
057.000-057.500       5       727 
057.500-058.000      10       680 
058.000-058.500       7       935 
058.500-059.000       0         0 
059.000-059.500       0         0 
059.500-060.000       0         0 
060.000-060.500       0         0 
060.500-061.000       1        68 
061.000-061.500       5       348 
061.500-062.000       7      1461 
062.000-062.500       7       488 
===================================================================
