
===================================================================
IO Statistics
Interval: 0.500 secs
Column #0: ip.src==223.181.32.61
                |   Column #0    
Time            |frames|  bytes  
000.000-000.500       3       168 
000.500-001.000       6       456 
001.000-001.500       6      1246 
001.500-002.000       0         0 
002.000-002.500       5       361 
002.500-003.000       6       862 
003.000-003.500       1        68 
003.500-004.000       0         0 
004.000-004.500       2       136 
004.500-005.000       0         0 
005.000-005.500       4       272 
005.500-006.000       1        80 
006.000-006.500       1        78 
006.500-007.000       5       348 
007.000-007.500       0         0 
007.500-008.000       1        89 
008.000-008.500       0         0 
008.500-009.000       0         0 
009.000-009.500       1        80 
009.500-010.000       2       144 
010.000-010.500       0         0 
010.500-011.000       0         0 
011.000-011.500       0         0 
011.500-012.000       9      1833 
012.000-012.500       1        68 
012.500-013.000       1       320 
013.000-013.500      19      1311 
013.500-014.000      21      1990 
014.000-014.500       9      2230 
014.500-015.000       4      1001 
015.000-015.500      11      1246 
015.500-016.000      11      3822 
016.000-016.500      20      2367 
016.500-017.000      35      9239 
017.000-017.500       5       352 
017.500-018.000       8       544 
018.000-018.500      45     15260 
018.500-019.000      28      4611 
019.000-019.500      16      3459 
019.500-020.000      39      9191 
020.000-020.500       6       408 
020.500-021.000       0         0 
021.000-021.500       0         0 
021.500-022.000      35      2982 
022.000-022.500      37      2964 
022.500-023.000      16      3042 
023.000-023.500      10      1390 
023.500-024.000       8      1686 
024.000-024.500      34      4316 
024.500-025.000       8       573 
025.000-025.500      40      7933 
025.500-026.000      47      4188 
026.000-026.500      21      2216 
026.500-027.000      16      1670 
027.000-027.500       0         0 
027.500-028.000      26      2365 
028.000-028.500       3       204 
028.500-029.000       1       105 
029.000-029.500       3       220 
029.500-030.000       8       552 
030.000-030.500       1        68 
030.500-031.000       0         0 
031.000-031.500       0         0 
031.500-032.000       0         0 
032.000-032.500       0         0 
032.500-033.000       0         0 
033.000-033.500       0         0 
033.500-034.000       8       794 
034.000-034.500      26      3274 
034.500-035.000      19      8089 
035.000-035.500      20      5010 
035.500-036.000      12      3530 
036.000-036.500      13      5716 
036.500-037.000      22      4250 
037.000-037.500       9      1706 
037.500-038.000      15      6484 
038.000-038.500       3       204 
038.500-039.000      13      3979 
039.000-039.500       4       236 
039.500-040.000      16      4196 
040.000-040.500      14      5995 
040.500-041.000      14      3785 
041.000-041.500      22      7782 
041.500-042.000      15      1406 
042.000-042.500      15      6557 
042.500-043.000      16      4191 
043.000-043.500      11      3498 
043.500-044.000      19      4470 
044.000-044.500      32      6565 
044.500-045.000      18      2743 
045.000-045.500      37      5340 
045.500-046.000      11      3538 
046.000-046.500      11      3504 
046.500-047.000       1        68 
047.000-047.500      14      4022 
047.500-048.000      13      3800 
048.000-048.500      11      3484 
048.500-049.000      11      3864 
049.000-049.500      15      3776 
049.500-050.000       2       136 
050.000-050.500      12      3638 
050.500-051.000      19      4820 
051.000-051.500      16      5557 
051.500-052.000      23      2083 
052.000-052.500      29      5513 
052.500-053.000      14      3772 
053.000-053.500       1        76 
053.500-054.000      12      3532 
054.000-054.500      18      3900 
054.500-055.000       1        68 
055.000-055.500      11      3788 
055.500-056.000       0         0 
056.000-056.500      11      3814 
056.500-057.000       0         0 
057.000-057.500      11      3524 
057.500-058.000       0         0 
058.000-058.500      17      4722 
058.500-059.000       0         0 
059.000-059.500       1        76 
059.500-060.000       1      1018 
060.000-060.500       1        76 
060.500-061.000       1       826 
061.000-061.500       1        80 
061.500-062.000       8      1966 
062.000-062.500       1      1412 
===================================================================
