
===================================================================
IO Statistics
Interval: 0.500 secs
Column #0: 
                |   Column #0    
Time            |frames|  bytes  
000.000-000.500       9      1005 
000.500-001.000      14      3067 
001.000-001.500      22      8217 
001.500-002.000      12      2748 
002.000-002.500      18      1848 
002.500-003.000      33      9424 
003.000-003.500       0         0 
003.500-004.000       1        76 
004.000-004.500       6      2582 
004.500-005.000       5      1105 
005.000-005.500       6       902 
005.500-006.000       7      3184 
006.000-006.500       3       304 
006.500-007.000       1        56 
007.000-007.500       0         0 
007.500-008.000       0         0 
008.000-008.500       2      1516 
008.500-009.000       0         0 
009.000-009.500       5       415 
009.500-010.000       1        90 
010.000-010.500       1        77 
010.500-011.000       0         0 
011.000-011.500       2       633 
011.500-012.000       4       244 
012.000-012.500       1        76 
012.500-013.000       0         0 
013.000-013.500       0         0 
013.500-014.000       3      2280 
014.000-014.500       0         0 
014.500-015.000       2       179 
015.000-015.500       4       285 
015.500-016.000       0         0 
016.000-016.500       0         0 
016.500-017.000       2       132 
017.000-017.500       0         0 
017.500-018.000       4       963 
018.000-018.500       1        76 
018.500-019.000       7      2535 
019.000-019.500       7      1198 
019.500-020.000       4       454 
020.000-020.500       9      1280 
020.500-021.000      15      3996 
021.000-021.500       9      1586 
021.500-022.000      32      4456 
022.000-022.500      57     29610 
022.500-023.000      70     26726 
023.000-023.500      58     11726 
023.500-024.000      40      4937 
024.000-024.500      16      4486 
024.500-025.000      15      2572 
025.000-025.500       7       970 
025.500-026.000       2       396 
026.000-026.500      14       995 
026.500-027.000      41      7375 
027.000-027.500      25      1907 
027.500-028.000      41     15532 
028.000-028.500       2       156 
028.500-029.000       7      2396 
029.000-029.500       0         0 
029.500-030.000       0         0 
030.000-030.500       9       946 
030.500-031.000      24      6603 
031.000-031.500      70     20444 
031.500-032.000      87     22696 
032.000-032.500      28      8195 
032.500-033.000      54     17782 
033.000-033.500      62     17833 
033.500-034.000      80     28772 
034.000-034.500      52     12129 
034.500-035.000      57     23548 
035.000-035.500     110     51229 
035.500-036.000      40      8735 
036.000-036.500      51      9703 
036.500-037.000      63     12631 
037.000-037.500      89     23501 
037.500-038.000      45     14795 
038.000-038.500      29      5093 
038.500-039.000      34      3801 
039.000-039.500      28      8960 
039.500-040.000       4       272 
040.000-040.500      25      5670 
040.500-041.000      62      7975 
041.000-041.500      22      4763 
041.500-042.000      20      4557 
042.000-042.500      10       680 
042.500-043.000      19      4375 
043.000-043.500      12       816 
043.500-044.000      21      4865 
044.000-044.500      12      3907 
044.500-045.000      12      1004 
045.000-045.500      24      5143 
045.500-046.000      12      3999 
046.000-046.500      10       680 
046.500-047.000      12      3933 
047.000-047.500      10       696 
047.500-048.000       4       659 
048.000-048.500       0         0 
048.500-049.000       0         0 
049.000-049.500       0         0 
049.500-050.000      10      3708 
050.000-050.500      17      1670 
050.500-051.000      26      5723 
051.000-051.500      26      8413 
051.500-052.000      12       939 
052.000-052.500      27      5299 
052.500-053.000      39      9303 
053.000-053.500      28      6000 
053.500-054.000      29      6022 
054.000-054.500      48     20041 
054.500-055.000      17      4657 
055.000-055.500      22      4583 
055.500-056.000      11       756 
056.000-056.500      33      8115 
056.500-057.000      18      5823 
057.000-057.500      15      2033 
057.500-058.000      33      7792 
058.000-058.500      31      6719 
058.500-059.000      31      6828 
059.000-059.500      30      5562 
059.500-060.000      12       816 
060.000-060.500      23      4745 
060.500-061.000      23      4647 
061.000-061.500      12      4317 
061.500-062.000      10       680 
062.000-062.500      22      4949 
062.500-063.000      19      5115 
063.000-063.500       7       863 
063.500-064.000      27      7769 
064.000-064.500      22      4983 
064.500-065.000      18      4723 
065.000-065.500      14      2727 
065.500-066.000      21      4228 
066.000-066.500      12      4247 
066.500-067.000      22      4673 
067.000-067.500      11       748 
067.500-068.000      24      5143 
068.000-068.500      19      4433 
068.500-069.000      15      4193 
069.000-069.500      11       736 
===================================================================
