
===================================================================
IO Statistics
Interval: 0.500 secs
Column #0: ip.src==223.181.32.61
                |   Column #0    
Time            |frames|  bytes  
000.000-000.500       3       408 
000.500-001.000       7      2539 
001.000-001.500      12      1709 
001.500-002.000       6       876 
002.000-002.500       8       716 
002.500-003.000      20      3375 
003.000-003.500       0         0 
003.500-004.000       1        76 
004.000-004.500       3       390 
004.500-005.000       3       922 
005.000-005.500       3       213 
005.500-006.000       2      1476 
006.000-006.500       1        76 
006.500-007.000       0         0 
007.000-007.500       0         0 
007.500-008.000       0         0 
008.000-008.500       1        80 
008.500-009.000       0         0 
009.000-009.500       4       300 
009.500-010.000       1        90 
010.000-010.500       1        77 
010.500-011.000       0         0 
011.000-011.500       1        80 
011.500-012.000       1        56 
012.000-012.500       1        76 
012.500-013.000       0         0 
013.000-013.500       0         0 
013.500-014.000       2       844 
014.000-014.500       0         0 
014.500-015.000       2       179 
015.000-015.500       3       209 
015.500-016.000       0         0 
016.000-016.500       0         0 
016.500-017.000       1        56 
017.000-017.500       0         0 
017.500-018.000       2       160 
018.000-018.500       1        76 
018.500-019.000       4      2284 
019.000-019.500       3       212 
019.500-020.000       2       165 
020.000-020.500       5       984 
020.500-021.000      12      3389 
021.000-021.500       4       793 
021.500-022.000      12      2307 
022.000-022.500      27      2699 
022.500-023.000      38      7096 
023.000-023.500      36      8164 
023.500-024.000      16      2290 
024.000-024.500      12      3602 
024.500-025.000       8      1559 
025.000-025.500       3       212 
025.500-026.000       1        80 
026.000-026.500       2       144 
026.500-027.000      28      5600 
027.000-027.500      10       726 
027.500-028.000      25      7841 
028.000-028.500       1        80 
028.500-029.000       4       502 
029.000-029.500       0         0 
029.500-030.000       0         0 
030.000-030.500       2       148 
030.500-031.000       9       612 
031.000-031.500      44     13239 
031.500-032.000      44      6960 
032.000-032.500      18      6745 
032.500-033.000      31     12566 
033.000-033.500      33      6078 
033.500-034.000      45      7795 
034.000-034.500      31     10258 
034.500-035.000      30      5946 
035.000-035.500      58      8738 
035.500-036.000      18      2505 
036.000-036.500      28      6561 
036.500-037.000      37      8259 
037.000-037.500      48     13725 
037.500-038.000      24      4686 
038.000-038.500      21      4162 
038.500-039.000      14      1861 
039.000-039.500      16      4297 
039.500-040.000       0         0 
040.000-040.500      13      4229 
040.500-041.000      36      5292 
041.000-041.500      18      4067 
041.500-042.000      11      3558 
042.000-042.500       0         0 
042.500-043.000      16      3784 
043.000-043.500       1        68 
043.500-044.000      10      3730 
044.000-044.500      11      3452 
044.500-045.000       1        68 
045.000-045.500      12      3940 
045.500-046.000      11      3544 
046.000-046.500       0         0 
046.500-047.000      11      3478 
047.000-047.500       2       152 
047.500-048.000       1        68 
048.000-048.500       0         0 
048.500-049.000       0         0 
049.000-049.500       0         0 
049.500-050.000      10      3708 
050.000-050.500       5       838 
050.500-051.000      15      4448 
051.000-051.500      17      4185 
051.500-052.000       1        76 
052.000-052.500      14      4020 
052.500-053.000      20      4720 
053.000-053.500      15      4682 
053.500-054.000      17      3997 
054.000-054.500      24      5009 
054.500-055.000      12      3930 
055.000-055.500      11      3448 
055.500-056.000       1        76 
056.000-056.500      19      4791 
056.500-057.000      12      4774 
057.000-057.500       3       212 
057.500-058.000      18      4716 
058.000-058.500      15      5181 
058.500-059.000      20      4167 
059.000-059.500      16      4196 
059.500-060.000       1        68 
060.000-060.500      12      3610 
060.500-061.000      11      3444 
061.000-061.500      11      3862 
061.500-062.000       0         0 
062.000-062.500      11      3814 
062.500-063.000      12      4252 
063.000-063.500       1        68 
063.500-064.000      14      3650 
064.000-064.500      11      3848 
064.500-065.000      13      3996 
065.000-065.500       5      1099 
065.500-066.000      10      3480 
066.000-066.500      11      3792 
066.500-067.000      11      3538 
067.000-067.500       1        68 
067.500-068.000      12      3940 
068.000-068.500      11      3502 
068.500-069.000      11      3534 
069.000-069.500       1        56 
===================================================================
