
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: Frames and bytes       |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |      6 |  1223 |
|  0.5 <>  1.0 |      5 |  1638 |
|  1.0 <>  1.5 |      4 |   568 |
|  1.5 <>  2.0 |      5 |   549 |
|  2.0 <>  2.5 |      1 |    68 |
|  2.5 <>  3.0 |      0 |     0 |
|  3.0 <>  3.5 |      0 |     0 |
|  3.5 <>  4.0 |      0 |     0 |
|  4.0 <>  4.5 |      0 |     0 |
|  4.5 <>  5.0 |      0 |     0 |
|  5.0 <>  5.5 |      0 |     0 |
|  5.5 <>  6.0 |      0 |     0 |
|  6.0 <>  6.5 |      0 |     0 |
|  6.5 <>  7.0 |      0 |     0 |
|  7.0 <>  7.5 |      0 |     0 |
|  7.5 <>  8.0 |      1 |    76 |
|  8.0 <>  8.5 |      6 |  1347 |
|  8.5 <>  9.0 |      5 |  1499 |
|  9.0 <>  9.5 |      3 |   896 |
|  9.5 <> 10.0 |     12 |  3405 |
| 10.0 <> 10.5 |     27 | 17982 |
| 10.5 <> 11.0 |     68 | 42673 |
| 11.0 <> 11.5 |    135 | 67129 |
| 11.5 <> 12.0 |    128 | 80137 |
| 12.0 <> 12.5 |     36 | 22170 |
| 12.5 <> 13.0 |     51 | 28935 |
| 13.0 <> 13.5 |     71 | 36705 |
| 13.5 <> 14.0 |     44 | 18106 |
| 14.0 <> 14.5 |    103 | 47277 |
| 14.5 <> 15.0 |     95 | 44338 |
| 15.0 <> 15.5 |     53 | 12209 |
| 15.5 <> 16.0 |     66 | 17907 |
| 16.0 <> 16.5 |     21 |  3750 |
| 16.5 <> 17.0 |     12 |  6308 |
| 17.0 <> 17.5 |     39 | 18361 |
| 17.5 <> 18.0 |      1 |    68 |
| 18.0 <> 18.5 |     36 | 21628 |
| 18.5 <> 19.0 |     44 | 17471 |
| 19.0 <> 19.5 |    121 | 24841 |
| 19.5 <> 20.0 |     50 | 33927 |
| 20.0 <> 20.5 |     27 | 25512 |
| 20.5 <> 21.0 |     53 | 10946 |
| 21.0 <> 21.5 |    107 | 43643 |
| 21.5 <> 22.0 |    157 | 84714 |
| 22.0 <> 22.5 |     58 | 32064 |
| 22.5 <> 23.0 |     58 | 32876 |
| 23.0 <> 23.5 |     75 | 48200 |
| 23.5 <> 24.0 |     78 | 52898 |
| 24.0 <> 24.5 |     73 | 47396 |
| 24.5 <> 25.0 |     75 | 47025 |
| 25.0 <> 25.5 |     90 | 44890 |
| 25.5 <> 26.0 |    107 | 51905 |
| 26.0 <> 26.5 |     84 | 33204 |
| 26.5 <> 27.0 |     77 | 33920 |
| 27.0 <> 27.5 |     51 | 38245 |
| 27.5 <> 28.0 |     85 | 46869 |
| 28.0 <> 28.5 |     99 | 54608 |
| 28.5 <> 29.0 |     57 | 18635 |
| 29.0 <> 29.5 |     46 | 15416 |
| 29.5 <> 30.0 |     73 | 28660 |
| 30.0 <> 30.5 |     75 | 43327 |
| 30.5 <> 31.0 |     73 | 37993 |
| 31.0 <> 31.5 |     93 | 52625 |
| 31.5 <> 32.0 |     63 | 38424 |
| 32.0 <> 32.5 |     30 | 14560 |
| 32.5 <> 33.0 |     84 | 33854 |
| 33.0 <> 33.5 |     68 | 33853 |
| 33.5 <> 34.0 |     36 | 10398 |
| 34.0 <> 34.5 |     13 |  4316 |
| 34.5 <> 35.0 |     13 |   900 |
| 35.0 <> 35.5 |     18 |  2665 |
| 35.5 <> 36.0 |     15 |  1245 |
| 36.0 <> 36.5 |      0 |     0 |
| 36.5 <> 37.0 |      2 |   136 |
| 37.0 <> 37.5 |      4 |   272 |
| 37.5 <> 38.0 |     12 |   843 |
| 38.0 <> 38.5 |      0 |     0 |
| 38.5 <> 39.0 |      0 |     0 |
| 39.0 <> 39.5 |      0 |     0 |
| 39.5 <> 40.0 |      0 |     0 |
| 40.0 <> 40.5 |      4 |   987 |
| 40.5 <> 41.0 |      4 |   863 |
| 41.0 <> 41.5 |      5 |   340 |
=================================
