
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: ip.dst==223.181.32.61  |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |      3 |   470 |
|  0.5 <>  1.0 |      2 |  1426 |
|  1.0 <>  1.5 |      2 |   144 |
|  1.5 <>  2.0 |      3 |   413 |
|  2.0 <>  2.5 |      1 |    68 |
|  2.5 <>  3.0 |      0 |     0 |
|  3.0 <>  3.5 |      0 |     0 |
|  3.5 <>  4.0 |      0 |     0 |
|  4.0 <>  4.5 |      0 |     0 |
|  4.5 <>  5.0 |      0 |     0 |
|  5.0 <>  5.5 |      0 |     0 |
|  5.5 <>  6.0 |      0 |     0 |
|  6.0 <>  6.5 |      0 |     0 |
|  6.5 <>  7.0 |      0 |     0 |
|  7.0 <>  7.5 |      0 |     0 |
|  7.5 <>  8.0 |      0 |     0 |
|  8.0 <>  8.5 |      3 |   892 |
|  8.5 <>  9.0 |      2 |   790 |
|  9.0 <>  9.5 |      2 |   828 |
|  9.5 <> 10.0 |      5 |  1861 |
| 10.0 <> 10.5 |     11 | 15796 |
| 10.5 <> 11.0 |     30 | 34715 |
| 11.0 <> 11.5 |     65 | 56416 |
| 11.5 <> 12.0 |     66 | 73869 |
| 12.0 <> 12.5 |     17 | 19435 |
| 12.5 <> 13.0 |     14 | 14271 |
| 13.0 <> 13.5 |     35 | 27556 |
| 13.5 <> 14.0 |     12 | 10512 |
| 14.0 <> 14.5 |     61 | 44377 |
| 14.5 <> 15.0 |     46 | 33659 |
| 15.0 <> 15.5 |     15 |  7479 |
| 15.5 <> 16.0 |     28 |  7633 |
| 16.0 <> 16.5 |      6 |  2224 |
| 16.5 <> 17.0 |      7 |  5956 |
| 17.0 <> 17.5 |     13 | 16593 |
| 17.5 <> 18.0 |      1 |    68 |
| 18.0 <> 18.5 |     13 | 15646 |
| 18.5 <> 19.0 |     19 | 15763 |
| 19.0 <> 19.5 |     72 | 18695 |
| 19.5 <> 20.0 |     26 | 32295 |
| 20.0 <> 20.5 |     18 | 24900 |
| 20.5 <> 21.0 |      7 |   516 |
| 21.0 <> 21.5 |     40 | 27598 |
| 21.5 <> 22.0 |     82 | 69936 |
| 22.0 <> 22.5 |     23 | 19547 |
| 22.5 <> 23.0 |     33 | 29432 |
| 23.0 <> 23.5 |     42 | 45341 |
| 23.5 <> 24.0 |     43 | 49255 |
| 24.0 <> 24.5 |     38 | 43211 |
| 24.5 <> 25.0 |     32 | 43130 |
| 25.0 <> 25.5 |     44 | 40641 |
| 25.5 <> 26.0 |     51 | 43060 |
| 26.0 <> 26.5 |     36 | 26812 |
| 26.5 <> 27.0 |     39 | 31320 |
| 27.0 <> 27.5 |     27 | 35386 |
| 27.5 <> 28.0 |     45 | 42316 |
| 28.0 <> 28.5 |     49 | 49489 |
| 28.5 <> 29.0 |     23 | 12950 |
| 29.0 <> 29.5 |     18 | 11218 |
| 29.5 <> 30.0 |     32 | 18728 |
| 30.0 <> 30.5 |     40 | 39954 |
| 30.5 <> 31.0 |     35 | 34415 |
| 31.0 <> 31.5 |     47 | 48918 |
| 31.5 <> 32.0 |     33 | 34370 |
| 32.0 <> 32.5 |     16 | 13022 |
| 32.5 <> 33.0 |     34 | 28807 |
| 33.0 <> 33.5 |     31 | 30305 |
| 33.5 <> 34.0 |     17 |  7388 |
| 34.0 <> 34.5 |      7 |  2804 |
| 34.5 <> 35.0 |      3 |   204 |
| 35.0 <> 35.5 |      7 |  1141 |
| 35.5 <> 36.0 |      9 |   861 |
| 36.0 <> 36.5 |      0 |     0 |
| 36.5 <> 37.0 |      1 |    68 |
| 37.0 <> 37.5 |      0 |     0 |
| 37.5 <> 38.0 |      7 |   503 |
| 38.0 <> 38.5 |      0 |     0 |
| 38.5 <> 39.0 |      0 |     0 |
| 39.0 <> 39.5 |      0 |     0 |
| 39.5 <> 40.0 |      0 |     0 |
| 40.0 <> 40.5 |      1 |    76 |
| 40.5 <> 41.0 |      2 |   727 |
| 41.0 <> 41.5 |      1 |    68 |
=================================
