
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: ip.src==223.181.32.61  |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |      3 |   753 |
|  0.5 <>  1.0 |      3 |   212 |
|  1.0 <>  1.5 |      2 |   424 |
|  1.5 <>  2.0 |      2 |   136 |
|  2.0 <>  2.5 |      0 |     0 |
|  2.5 <>  3.0 |      0 |     0 |
|  3.0 <>  3.5 |      0 |     0 |
|  3.5 <>  4.0 |      0 |     0 |
|  4.0 <>  4.5 |      0 |     0 |
|  4.5 <>  5.0 |      0 |     0 |
|  5.0 <>  5.5 |      0 |     0 |
|  5.5 <>  6.0 |      0 |     0 |
|  6.0 <>  6.5 |      0 |     0 |
|  6.5 <>  7.0 |      0 |     0 |
|  7.0 <>  7.5 |      0 |     0 |
|  7.5 <>  8.0 |      1 |    76 |
|  8.0 <>  8.5 |      3 |   455 |
|  8.5 <>  9.0 |      3 |   709 |
|  9.0 <>  9.5 |      1 |    68 |
|  9.5 <> 10.0 |      7 |  1544 |
| 10.0 <> 10.5 |     16 |  2186 |
| 10.5 <> 11.0 |     38 |  7958 |
| 11.0 <> 11.5 |     70 | 10713 |
| 11.5 <> 12.0 |     62 |  6268 |
| 12.0 <> 12.5 |     19 |  2735 |
| 12.5 <> 13.0 |     37 | 14664 |
| 13.0 <> 13.5 |     36 |  9149 |
| 13.5 <> 14.0 |     32 |  7594 |
| 14.0 <> 14.5 |     42 |  2900 |
| 14.5 <> 15.0 |     49 | 10679 |
| 15.0 <> 15.5 |     38 |  4730 |
| 15.5 <> 16.0 |     38 | 10274 |
| 16.0 <> 16.5 |     15 |  1526 |
| 16.5 <> 17.0 |      5 |   352 |
| 17.0 <> 17.5 |     26 |  1768 |
| 17.5 <> 18.0 |      0 |     0 |
| 18.0 <> 18.5 |     23 |  5982 |
| 18.5 <> 19.0 |     25 |  1708 |
| 19.0 <> 19.5 |     49 |  6146 |
| 19.5 <> 20.0 |     24 |  1632 |
| 20.0 <> 20.5 |      9 |   612 |
| 20.5 <> 21.0 |     46 | 10430 |
| 21.0 <> 21.5 |     67 | 16045 |
| 21.5 <> 22.0 |     75 | 14778 |
| 22.0 <> 22.5 |     35 | 12517 |
| 22.5 <> 23.0 |     25 |  3444 |
| 23.0 <> 23.5 |     33 |  2859 |
| 23.5 <> 24.0 |     35 |  3643 |
| 24.0 <> 24.5 |     35 |  4185 |
| 24.5 <> 25.0 |     43 |  3895 |
| 25.0 <> 25.5 |     46 |  4249 |
| 25.5 <> 26.0 |     56 |  8845 |
| 26.0 <> 26.5 |     48 |  6392 |
| 26.5 <> 27.0 |     38 |  2600 |
| 27.0 <> 27.5 |     24 |  2859 |
| 27.5 <> 28.0 |     40 |  4553 |
| 28.0 <> 28.5 |     50 |  5119 |
| 28.5 <> 29.0 |     34 |  5685 |
| 29.0 <> 29.5 |     28 |  4198 |
| 29.5 <> 30.0 |     41 |  9932 |
| 30.0 <> 30.5 |     35 |  3373 |
| 30.5 <> 31.0 |     38 |  3578 |
| 31.0 <> 31.5 |     46 |  3707 |
| 31.5 <> 32.0 |     30 |  4054 |
| 32.0 <> 32.5 |     14 |  1538 |
| 32.5 <> 33.0 |     50 |  5047 |
| 33.0 <> 33.5 |     37 |  3548 |
| 33.5 <> 34.0 |     19 |  3010 |
| 34.0 <> 34.5 |      6 |  1512 |
| 34.5 <> 35.0 |     10 |   696 |
| 35.0 <> 35.5 |     11 |  1524 |
| 35.5 <> 36.0 |      6 |   384 |
| 36.0 <> 36.5 |      0 |     0 |
| 36.5 <> 37.0 |      1 |    68 |
| 37.0 <> 37.5 |      4 |   272 |
| 37.5 <> 38.0 |      5 |   340 |
| 38.0 <> 38.5 |      0 |     0 |
| 38.5 <> 39.0 |      0 |     0 |
| 39.0 <> 39.5 |      0 |     0 |
| 39.5 <> 40.0 |      0 |     0 |
| 40.0 <> 40.5 |      3 |   911 |
| 40.5 <> 41.0 |      2 |   136 |
| 41.0 <> 41.5 |      4 |   272 |
=================================
