
==================================
| IO Statistics                  |
|                                |
| Interval size: 0.5 secs        |
| Col 1: Frames and bytes        |
|--------------------------------|
|              |1                |
| Interval
| Interval     | Frames |  Bytes |
|--------------------------------|
|  0.0 <>  0.5 |     10 |   1630 |
|  0.5 <>  1.0 |      1 |     56 |
|  1.0 <>  1.5 |      6 |   1626 |
|  1.5 <>  2.0 |      2 |    132 |
|  2.0 <>  2.5 |      3 |    460 |
|  2.5 <>  3.0 |      6 |    545 |
|  3.0 <>  3.5 |      0 |      0 |
|  3.5 <>  4.0 |      0 |      0 |
|  4.0 <>  4.5 |      0 |      0 |
|  4.5 <>  5.0 |      0 |      0 |
|  5.0 <>  5.5 |      0 |      0 |
|  5.5 <>  6.0 |      0 |      0 |
|  6.0 <>  6.5 |      0 |      0 |
|  6.5 <>  7.0 |      0 |      0 |
|  7.0 <>  7.5 |      0 |      0 |
|  7.5 <>  8.0 |      0 |      0 |
|  8.0 <>  8.5 |      0 |      0 |
|  8.5 <>  9.0 |      0 |      0 |
|  9.0 <>  9.5 |      4 |   1201 |
|  9.5 <> 10.0 |      5 |   1497 |
| 10.0 <> 10.5 |      3 |    896 |
| 10.5 <> 11.0 |      0 |      0 |
| 11.0 <> 11.5 |      6 |   1468 |
| 11.5 <> 12.0 |     92 |  51644 |
| 12.0 <> 12.5 |    197 | 111386 |
| 12.5 <> 13.0 |     94 |  57181 |
| 13.0 <> 13.5 |    109 |  55908 |
| 13.5 <> 14.0 |    182 | 101305 |
| 14.0 <> 14.5 |    224 |  97558 |
| 14.5 <> 15.0 |    135 |  85355 |
| 15.0 <> 15.5 |     21 |  12098 |
| 15.5 <> 16.0 |    225 | 124303 |
| 16.0 <> 16.5 |    147 |  78130 |
| 16.5 <> 17.0 |    143 |  94108 |
| 17.0 <> 17.5 |     73 |  56599 |
| 17.5 <> 18.0 |     71 |  57521 |
| 18.0 <> 18.5 |    104 |  64070 |
| 18.5 <> 19.0 |     21 |   7065 |
| 19.0 <> 19.5 |     43 |   7193 |
| 19.5 <> 20.0 |     70 |  42388 |
| 20.0 <> 20.5 |     29 |  11593 |
| 20.5 <> 21.0 |      5 |   2304 |
| 21.0 <> 21.5 |     55 |  36170 |
| 21.5 <> 22.0 |     55 |  19680 |
| 22.0 <> 22.5 |     27 |   5325 |
| 22.5 <> 23.0 |      0 |      0 |
| 23.0 <> 23.5 |      0 |      0 |
| 23.5 <> 24.0 |      0 |      0 |
| 24.0 <> 24.5 |     16 |   1088 |
| 24.5 <> 25.0 |      1 |     68 |
| 25.0 <> 25.5 |      4 |    272 |
| 25.5 <> 26.0 |     35 |   2500 |
| 26.0 <> 26.5 |      7 |    476 |
| 26.5 <> 27.0 |      0 |      0 |
| 27.0 <> 27.5 |      1 |     68 |
| 27.5 <> 28.0 |      0 |      0 |
| 28.0 <> 28.5 |      2 |    136 |
| 28.5 <> 29.0 |      0 |      0 |
| 29.0 <> 29.5 |      0 |      0 |
| 29.5 <> 30.0 |      0 |      0 |
| 30.0 <> 30.5 |      0 |      0 |
| 30.5 <> 31.0 |      0 |      0 |
| 31.0 <> 31.5 |      1 |    532 |
| 31.5 <> 32.0 |      0 |      0 |
| 32.0 <> 32.5 |      4 |   4376 |
| 32.5 <> 33.0 |     30 |  18611 |
| 33.0 <> 33.5 |     15 |   7406 |
| 33.5 <> 34.0 |     17 |  15868 |
| 34.0 <> 34.5 |     54 |  33412 |
| 34.5 <> 35.0 |     58 |  17996 |
| 35.0 <> 35.5 |     74 |  23370 |
| 35.5 <> 36.0 |    126 |  72700 |
| 36.0 <> 36.5 |    130 |  90790 |
| 36.5 <> 37.0 |     27 |   4632 |
| 37.0 <> 37.5 |     65 |  26542 |
| 37.5 <> 38.0 |     56 |  29305 |
| 38.0 <> 38.5 |     27 |  21810 |
| 38.5 <> 39.0 |     45 |   3097 |
| 39.0 <> 39.5 |     46 |  14752 |
| 39.5 <> 40.0 |      3 |    822 |
| 40.0 <> 40.5 |     10 |    695 |
| 40.5 <> 41.0 |     14 |   1775 |
| 41.0 <> 41.5 |      7 |    669 |
| 41.5 <> 42.0 |      1 |     68 |
| 42.0 <> 42.5 |      8 |    547 |
| 42.5 <> 43.0 |      7 |    476 |
| 43.0 <> 43.5 |      1 |     68 |
| 43.5 <> 44.0 |      0 |      0 |
| 44.0 <> 44.5 |      0 |      0 |
| 44.5 <> 45.0 |      0 |      0 |
| 45.0 <> 45.5 |      0 |      0 |
| 45.5 <> 46.0 |      0 |      0 |
| 46.0 <> 46.5 |      1 |     76 |
| 46.5 <> 47.0 |      7 |   1797 |
| 47.0 <> 47.5 |      4 |    272 |
==================================
