
==================================
| IO Statistics                  |
|                                |
| Interval size: 0.5 secs        |
| Col 1: ip.dst==223.188.60.32   |
|--------------------------------|
|              |1                |
| Interval
| Interval     | Frames |  Bytes |
|--------------------------------|
|  0.0 <>  0.5 |      5 |    769 |
|  0.5 <>  1.0 |      1 |     56 |
|  1.0 <>  1.5 |      3 |   1458 |
|  1.5 <>  2.0 |      1 |     56 |
|  2.0 <>  2.5 |      1 |     60 |
|  2.5 <>  3.0 |      4 |    433 |
|  3.0 <>  3.5 |      0 |      0 |
|  3.5 <>  4.0 |      0 |      0 |
|  4.0 <>  4.5 |      0 |      0 |
|  4.5 <>  5.0 |      0 |      0 |
|  5.0 <>  5.5 |      0 |      0 |
|  5.5 <>  6.0 |      0 |      0 |
|  6.0 <>  6.5 |      0 |      0 |
|  6.5 <>  7.0 |      0 |      0 |
|  7.0 <>  7.5 |      0 |      0 |
|  7.5 <>  8.0 |      0 |      0 |
|  8.0 <>  8.5 |      0 |      0 |
|  8.5 <>  9.0 |      0 |      0 |
|  9.0 <>  9.5 |      2 |    814 |
|  9.5 <> 10.0 |      2 |    788 |
| 10.0 <> 10.5 |      2 |    828 |
| 10.5 <> 11.0 |      0 |      0 |
| 11.0 <> 11.5 |      2 |    281 |
| 11.5 <> 12.0 |     40 |  42470 |
| 12.0 <> 12.5 |     98 |  99735 |
| 12.5 <> 13.0 |     46 |  50460 |
| 13.0 <> 13.5 |     39 |  32325 |
| 13.5 <> 14.0 |     93 |  85837 |
| 14.0 <> 14.5 |    101 |  75682 |
| 14.5 <> 15.0 |     72 |  78192 |
| 15.0 <> 15.5 |      4 |   4796 |
| 15.5 <> 16.0 |    107 | 100686 |
| 16.0 <> 16.5 |     62 |  51988 |
| 16.5 <> 17.0 |     68 |  86339 |
| 17.0 <> 17.5 |     39 |  53624 |
| 17.5 <> 18.0 |     39 |  55309 |
| 18.0 <> 18.5 |     57 |  60874 |
| 18.5 <> 19.0 |      4 |   4597 |
| 19.0 <> 19.5 |     20 |   4936 |
| 19.5 <> 20.0 |     37 |  40136 |
| 20.0 <> 20.5 |     11 |   8452 |
| 20.5 <> 21.0 |      2 |    266 |
| 21.0 <> 21.5 |     27 |  33320 |
| 21.5 <> 22.0 |     25 |  14029 |
| 22.0 <> 22.5 |     11 |   3716 |
| 22.5 <> 23.0 |      0 |      0 |
| 23.0 <> 23.5 |      0 |      0 |
| 23.5 <> 24.0 |      0 |      0 |
| 24.0 <> 24.5 |      0 |      0 |
| 24.5 <> 25.0 |      0 |      0 |
| 25.0 <> 25.5 |      0 |      0 |
| 25.5 <> 26.0 |     22 |   1616 |
| 26.0 <> 26.5 |      3 |    204 |
| 26.5 <> 27.0 |      0 |      0 |
| 27.0 <> 27.5 |      0 |      0 |
| 27.5 <> 28.0 |      0 |      0 |
| 28.0 <> 28.5 |      1 |     68 |
| 28.5 <> 29.0 |      0 |      0 |
| 29.0 <> 29.5 |      0 |      0 |
| 29.5 <> 30.0 |      0 |      0 |
| 30.0 <> 30.5 |      0 |      0 |
| 30.5 <> 31.0 |      0 |      0 |
| 31.0 <> 31.5 |      0 |      0 |
| 31.5 <> 32.0 |      0 |      0 |
| 32.0 <> 32.5 |      3 |   4308 |
| 32.5 <> 33.0 |     15 |  15040 |
| 33.0 <> 33.5 |      8 |   5295 |
| 33.5 <> 34.0 |     11 |  14243 |
| 34.0 <> 34.5 |     28 |  29036 |
| 34.5 <> 35.0 |     24 |  12384 |
| 35.0 <> 35.5 |     28 |  12042 |
| 35.5 <> 36.0 |     63 |  62321 |
| 36.0 <> 36.5 |     68 |  85490 |
| 36.5 <> 37.0 |     11 |   1343 |
| 37.0 <> 37.5 |     31 |  22804 |
| 37.5 <> 38.0 |     28 |  25802 |
| 38.0 <> 38.5 |     19 |  21266 |
| 38.5 <> 39.0 |     16 |   1088 |
| 39.0 <> 39.5 |     21 |   9928 |
| 39.5 <> 40.0 |      2 |    754 |
| 40.0 <> 40.5 |      2 |    163 |
| 40.5 <> 41.0 |      6 |    476 |
| 41.0 <> 41.5 |      4 |    465 |
| 41.5 <> 42.0 |      1 |     68 |
| 42.0 <> 42.5 |      4 |    299 |
| 42.5 <> 43.0 |      2 |    136 |
| 43.0 <> 43.5 |      1 |     68 |
| 43.5 <> 44.0 |      0 |      0 |
| 44.0 <> 44.5 |      0 |      0 |
| 44.5 <> 45.0 |      0 |      0 |
| 45.0 <> 45.5 |      0 |      0 |
| 45.5 <> 46.0 |      0 |      0 |
| 46.0 <> 46.5 |      0 |      0 |
| 46.5 <> 47.0 |      3 |    826 |
| 47.0 <> 47.5 |      1 |     68 |
==================================
