
===================================================================
IO Statistics
Interval: 0.500 secs
Column #0: ip.src==223.188.60.32
                |   Column #0    
Time            |frames|  bytes  
000.000-000.500       5       861 
000.500-001.000       0         0 
001.000-001.500       3       168 
001.500-002.000       1        76 
002.000-002.500       2       400 
002.500-003.000       2       112 
003.000-003.500       0         0 
003.500-004.000       0         0 
004.000-004.500       0         0 
004.500-005.000       0         0 
005.000-005.500       0         0 
005.500-006.000       0         0 
006.000-006.500       0         0 
006.500-007.000       0         0 
007.000-007.500       0         0 
007.500-008.000       0         0 
008.000-008.500       0         0 
008.500-009.000       0         0 
009.000-009.500       2       387 
009.500-010.000       3       709 
010.000-010.500       1        68 
010.500-011.000       0         0 
011.000-011.500       4      1187 
011.500-012.000      52      9174 
012.000-012.500      99     11651 
012.500-013.000      48      6721 
013.000-013.500      70     23583 
013.500-014.000      89     15468 
014.000-014.500     123     21876 
014.500-015.000      63      7163 
015.000-015.500      17      7302 
015.500-016.000     118     23617 
016.000-016.500      85     26142 
016.500-017.000      75      7769 
017.000-017.500      34      2975 
017.500-018.000      32      2212 
018.000-018.500      47      3196 
018.500-019.000      17      2468 
019.000-019.500      23      2257 
019.500-020.000      33      2252 
020.000-020.500      18      3141 
020.500-021.000       3      2038 
021.000-021.500      28      2850 
021.500-022.000      30      5651 
022.000-022.500      16      1609 
022.500-023.000       0         0 
023.000-023.500       0         0 
023.500-024.000       0         0 
024.000-024.500      16      1088 
024.500-025.000       1        68 
025.000-025.500       4       272 
025.500-026.000      13       884 
026.000-026.500       4       272 
026.500-027.000       0         0 
027.000-027.500       1        68 
027.500-028.000       0         0 
028.000-028.500       1        68 
028.500-029.000       0         0 
029.000-029.500       0         0 
029.500-030.000       0         0 
030.000-030.500       0         0 
030.500-031.000       0         0 
031.000-031.500       1       532 
031.500-032.000       0         0 
032.000-032.500       1        68 
032.500-033.000      15      3571 
033.000-033.500       7      2111 
033.500-034.000       6      1625 
034.000-034.500      26      4376 
034.500-035.000      34      5612 
035.000-035.500      46     11328 
035.500-036.000      63     10379 
036.000-036.500      62      5300 
036.500-037.000      16      3289 
037.000-037.500      34      3738 
037.500-038.000      28      3503 
038.000-038.500       8       544 
038.500-039.000      29      2009 
039.000-039.500      25      4824 
039.500-040.000       1        68 
040.000-040.500       8       532 
040.500-041.000       8      1299 
041.000-041.500       3       204 
041.500-042.000       0         0 
042.000-042.500       4       248 
042.500-043.000       5       340 
043.000-043.500       0         0 
043.500-044.000       0         0 
044.000-044.500       0         0 
044.500-045.000       0         0 
045.000-045.500       0         0 
045.500-046.000       0         0 
046.000-046.500       1        76 
046.500-047.000       4       971 
047.000-047.500       3       204 
047.500-048.000       1        68 
===================================================================
