
==================================
| IO Statistics                  |
|                                |
| Interval size: 0.5 secs        |
| Col 1: Frames and bytes        |
|--------------------------------|
|              |1                |
| Interval
| Interval     | Frames |  Bytes |
|--------------------------------|
|  0.0 <>  0.5 |      6 |   1468 |
|  0.5 <>  1.0 |    103 |  59232 |
|  1.0 <>  1.5 |    208 | 115283 |
|  1.5 <>  2.0 |     78 |  50208 |
|  2.0 <>  2.5 |    133 |  69537 |
|  2.5 <>  3.0 |    169 |  89960 |
|  3.0 <>  3.5 |    231 | 105895 |
|  3.5 <>  4.0 |    118 |  75222 |
|  4.0 <>  4.5 |     22 |   8065 |
|  4.5 <>  5.0 |    244 | 137675 |
|  5.0 <>  5.5 |    121 |  63867 |
|  5.5 <>  6.0 |    146 |  97040 |
|  6.0 <>  6.5 |     76 |  59539 |
|  6.5 <>  7.0 |     79 |  64810 |
|  7.0 <>  7.5 |     95 |  55566 |
|  7.5 <>  8.0 |     19 |   2604 |
|  8.0 <>  8.5 |     42 |   8501 |
|  8.5 <>  9.0 |     67 |  40808 |
|  9.0 <>  9.5 |     29 |  11593 |
|  9.5 <> 10.0 |      5 |   2304 |
| 10.0 <> 10.5 |     55 |  36170 |
| 10.5 <> 11.0 |     63 |  20945 |
| 11.0 <> 11.5 |     19 |   4060 |
| 11.5 <> 12.0 |      0 |      0 |
| 12.0 <> 12.5 |      0 |      0 |
| 12.5 <> 13.0 |      0 |      0 |
| 13.0 <> 13.5 |     16 |   1088 |
| 13.5 <> 14.0 |      4 |    272 |
| 14.0 <> 14.5 |      1 |     68 |
| 14.5 <> 15.0 |     37 |   2636 |
| 15.0 <> 15.5 |      5 |    340 |
| 15.5 <> 16.0 |      0 |      0 |
| 16.0 <> 16.5 |      1 |     68 |
| 16.5 <> 17.0 |      2 |    136 |
| 17.0 <> 17.5 |      0 |      0 |
| 17.5 <> 18.0 |      0 |      0 |
| 18.0 <> 18.5 |      0 |      0 |
| 18.5 <> 19.0 |      0 |      0 |
| 19.0 <> 19.5 |      0 |      0 |
| 19.5 <> 20.0 |      0 |      0 |
| 20.0 <> 20.5 |      1 |    532 |
| 20.5 <> 21.0 |      0 |      0 |
| 21.0 <> 21.5 |      6 |   5880 |
| 21.5 <> 22.0 |     29 |  18367 |
| 22.0 <> 22.5 |     14 |   6146 |
| 22.5 <> 23.0 |     23 |  18125 |
| 23.0 <> 23.5 |     62 |  38096 |
| 23.5 <> 24.0 |     49 |  13037 |
| 24.0 <> 24.5 |     81 |  26053 |
| 24.5 <> 25.0 |    121 |  70982 |
| 25.0 <> 25.5 |    123 |  87843 |
| 25.5 <> 26.0 |     39 |   9863 |
| 26.0 <> 26.5 |     61 |  26209 |
| 26.5 <> 27.0 |     51 |  27347 |
| 27.0 <> 27.5 |     24 |  18870 |
| 27.5 <> 28.0 |     50 |   3467 |
| 28.0 <> 28.5 |     41 |  14382 |
| 28.5 <> 29.0 |      3 |    822 |
| 29.0 <> 29.5 |     14 |   1035 |
| 29.5 <> 30.0 |     12 |   1579 |
| 30.0 <> 30.5 |      5 |    525 |
| 30.5 <> 31.0 |      1 |     68 |
| 31.0 <> 31.5 |      8 |    547 |
| 31.5 <> 32.0 |      8 |    544 |
| 32.0 <> 32.5 |      0 |      0 |
| 32.5 <> 33.0 |      0 |      0 |
| 33.0 <> 33.5 |      0 |      0 |
| 33.5 <> 34.0 |      0 |      0 |
| 34.0 <> 34.5 |      0 |      0 |
| 34.5 <> 35.0 |      0 |      0 |
| 35.0 <> 35.5 |      4 |    987 |
| 35.5 <> 36.0 |      4 |    886 |
| 36.0 <> 36.5 |      4 |    272 |
==================================
