
===================================================================
IO Statistics
Interval: 0.500 secs
Column #0: ip.dst==223.188.60.32
                |   Column #0    
Time            |frames|  bytes  
000.000-000.500       2       281 
000.500-001.000      46     49718 
001.000-001.500     102    101827 
001.500-002.000      39     45428 
002.000-002.500      53     45262 
002.500-003.000      85     74836 
003.000-003.500     103     83667 
003.500-004.000      65     68759 
004.000-004.500       2       136 
004.500-005.000     117    113845 
005.000-005.500      50     38693 
005.500-006.000      70     89211 
006.000-006.500      41     56496 
006.500-007.000      45     62462 
007.000-007.500      51     52574 
007.500-008.000       2       136 
008.000-008.500      19      6236 
008.500-009.000      36     38700 
009.000-009.500      11      8452 
009.500-010.000       2       266 
010.000-010.500      27     33320 
010.500-011.000      26     14805 
011.000-011.500      10      2940 
011.500-012.000       0         0 
012.000-012.500       0         0 
012.500-013.000       0         0 
013.000-013.500       0         0 
013.500-014.000       0         0 
014.000-014.500       0         0 
014.500-015.000      23      1684 
015.000-015.500       2       136 
015.500-016.000       0         0 
016.000-016.500       0         0 
016.500-017.000       1        68 
017.000-017.500       0         0 
017.500-018.000       0         0 
018.000-018.500       0         0 
018.500-019.000       0         0 
019.000-019.500       0         0 
019.500-020.000       0         0 
020.000-020.500       0         0 
020.500-021.000       0         0 
021.000-021.500       4      5744 
021.500-022.000      14     13604 
022.000-022.500       8      5295 
022.500-023.000      13     15775 
023.000-023.500      33     33969 
023.500-024.000      20      7765 
024.000-024.500      31     12933 
024.500-025.000      61     62327 
025.000-025.500      64     82747 
025.500-026.000      18      6234 
026.000-026.500      28     22539 
026.500-027.000      26     24048 
027.000-027.500      17     18394 
027.500-028.000      16      1088 
028.000-028.500      21      9928 
028.500-029.000       2       754 
029.000-029.500       4       359 
029.500-030.000       5       356 
030.000-030.500       3       389 
030.500-031.000       1        68 
031.000-031.500       4       299 
031.500-032.000       3       204 
032.000-032.500       0         0 
032.500-033.000       0         0 
033.000-033.500       0         0 
033.500-034.000       0         0 
034.000-034.500       0         0 
034.500-035.000       0         0 
035.000-035.500       1        76 
035.500-036.000       2       750 
036.000-036.500       1        68 
036.500-037.000       1        68 
===================================================================
