
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: ip.src==223.188.60.32  |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |      4 |  1187 |
|  0.5 <>  1.0 |     57 |  9514 |
|  1.0 <>  1.5 |    106 | 13456 |
|  1.5 <>  2.0 |     39 |  4780 |
|  2.0 <>  2.5 |     80 | 24275 |
|  2.5 <>  3.0 |     84 | 15124 |
|  3.0 <>  3.5 |    128 | 22228 |
|  3.5 <>  4.0 |     53 |  6463 |
|  4.0 <>  4.5 |     20 |  7929 |
|  4.5 <>  5.0 |    127 | 23830 |
|  5.0 <>  5.5 |     71 | 25174 |
|  5.5 <>  6.0 |     76 |  7829 |
|  6.0 <>  6.5 |     35 |  3043 |
|  6.5 <>  7.0 |     34 |  2348 |
|  7.0 <>  7.5 |     44 |  2992 |
|  7.5 <>  8.0 |     17 |  2468 |
|  8.0 <>  8.5 |     23 |  2265 |
|  8.5 <>  9.0 |     31 |  2108 |
|  9.0 <>  9.5 |     18 |  3141 |
|  9.5 <> 10.0 |      3 |  2038 |
| 10.0 <> 10.5 |     28 |  2850 |
| 10.5 <> 11.0 |     37 |  6140 |
| 11.0 <> 11.5 |      9 |  1120 |
| 11.5 <> 12.0 |      0 |     0 |
| 12.0 <> 12.5 |      0 |     0 |
| 12.5 <> 13.0 |      0 |     0 |
| 13.0 <> 13.5 |     16 |  1088 |
| 13.5 <> 14.0 |      4 |   272 |
| 14.0 <> 14.5 |      1 |    68 |
| 14.5 <> 15.0 |     14 |   952 |
| 15.0 <> 15.5 |      3 |   204 |
| 15.5 <> 16.0 |      0 |     0 |
| 16.0 <> 16.5 |      1 |    68 |
| 16.5 <> 17.0 |      1 |    68 |
| 17.0 <> 17.5 |      0 |     0 |
| 17.5 <> 18.0 |      0 |     0 |
| 18.0 <> 18.5 |      0 |     0 |
| 18.5 <> 19.0 |      0 |     0 |
| 19.0 <> 19.5 |      0 |     0 |
| 19.5 <> 20.0 |      0 |     0 |
| 20.0 <> 20.5 |      1 |   532 |
| 20.5 <> 21.0 |      0 |     0 |
| 21.0 <> 21.5 |      2 |   136 |
| 21.5 <> 22.0 |     15 |  4763 |
| 22.0 <> 22.5 |      6 |   851 |
| 22.5 <> 23.0 |     10 |  2350 |
| 23.0 <> 23.5 |     29 |  4127 |
| 23.5 <> 24.0 |     29 |  5272 |
| 24.0 <> 24.5 |     50 | 13120 |
| 24.5 <> 25.0 |     60 |  8655 |
| 25.0 <> 25.5 |     59 |  5096 |
| 25.5 <> 26.0 |     21 |  3629 |
| 26.0 <> 26.5 |     33 |  3670 |
| 26.5 <> 27.0 |     25 |  3299 |
| 27.0 <> 27.5 |      7 |   476 |
| 27.5 <> 28.0 |     34 |  2379 |
| 28.0 <> 28.5 |     20 |  4454 |
| 28.5 <> 29.0 |      1 |    68 |
| 29.0 <> 29.5 |     10 |   676 |
| 29.5 <> 30.0 |      7 |  1223 |
| 30.0 <> 30.5 |      2 |   136 |
| 30.5 <> 31.0 |      0 |     0 |
| 31.0 <> 31.5 |      4 |   248 |
| 31.5 <> 32.0 |      5 |   340 |
| 32.0 <> 32.5 |      0 |     0 |
| 32.5 <> 33.0 |      0 |     0 |
| 33.0 <> 33.5 |      0 |     0 |
| 33.5 <> 34.0 |      0 |     0 |
| 34.0 <> 34.5 |      0 |     0 |
| 34.5 <> 35.0 |      0 |     0 |
| 35.0 <> 35.5 |      3 |   911 |
| 35.5 <> 36.0 |      2 |   136 |
| 36.0 <> 36.5 |      3 |   204 |
=================================
