
==============================
| IO Statistics              |
|                            |
| Interval size: 1 secs      |
| Col 1: Frames and bytes    |
|----------------------------|
|          |1                |
| Interval
| Interval | Frames |  Bytes |
|----------------------------|
|  0 <>  1 |      4 |    789 |
|  1 <>  2 |     13 |   2842 |
|  2 <>  3 |     23 |   3302 |
|  3 <>  4 |     21 |  10310 |
|  4 <>  5 |      5 |    340 |
|  5 <>  6 |      0 |      0 |
|  6 <>  7 |      8 |    508 |
|  7 <>  8 |      0 |      0 |
|  8 <>  9 |      0 |      0 |
|  9 <> 10 |     13 |   2736 |
| 10 <> 11 |     17 |   9355 |
| 11 <> 12 |    218 | 120238 |
| 12 <> 13 |    203 | 110365 |
| 13 <> 14 |    210 | 131454 |
| 14 <> 15 |    295 | 153362 |
| 15 <> 16 |    372 | 234590 |
| 16 <> 17 |    105 |  55905 |
| 17 <> 18 |    139 |  58712 |
| 18 <> 19 |    176 |  73033 |
| 19 <> 20 |     97 |  50973 |
| 20 <> 21 |     42 |   4585 |
| 21 <> 22 |     29 |   6633 |
| 22 <> 23 |     56 |  14524 |
| 23 <> 24 |     30 |   5243 |
| 24 <> 25 |      6 |    593 |
| 25 <> 26 |     14 |    955 |
| 26 <> 27 |      0 |      0 |
| 27 <> 28 |      4 |    588 |
| 28 <> 29 |      0 |      0 |
| 29 <> 30 |      1 |     80 |
| 30 <> 31 |     49 |  15618 |
| 31 <> 32 |     22 |   9301 |
| 32 <> 33 |      2 |    124 |
| 33 <> 34 |      0 |      0 |
| 34 <> 35 |      8 |   1872 |
| 35 <> 36 |      3 |    204 |
==============================
