
==================================
| IO Statistics                  |
|                                |
| Interval size: 0.5 secs        |
| Col 1: Frames and bytes        |
|--------------------------------|
|              |1                |
| Interval
| Interval     | Frames |  Bytes |
|--------------------------------|
|  0.0 <>  0.5 |      2 |    186 |
|  0.5 <>  1.0 |      3 |    565 |
|  1.0 <>  1.5 |      1 |     56 |
|  1.5 <>  2.0 |      8 |   1139 |
|  2.0 <>  2.5 |      4 |    789 |
|  2.5 <>  3.0 |      0 |      0 |
|  3.0 <>  3.5 |      1 |     56 |
|  3.5 <>  4.0 |      0 |      0 |
|  4.0 <>  4.5 |      8 |   1770 |
|  4.5 <>  5.0 |      6 |    937 |
|  5.0 <>  5.5 |      1 |     68 |
|  5.5 <>  6.0 |      0 |      0 |
|  6.0 <>  6.5 |      2 |   1504 |
|  6.5 <>  7.0 |      2 |   1504 |
|  7.0 <>  7.5 |      0 |      0 |
|  7.5 <>  8.0 |     13 |   7004 |
|  8.0 <>  8.5 |      2 |    199 |
|  8.5 <>  9.0 |      3 |    460 |
|  9.0 <>  9.5 |      5 |    489 |
|  9.5 <> 10.0 |      2 |    124 |
| 10.0 <> 10.5 |      3 |    214 |
| 10.5 <> 11.0 |      5 |    665 |
| 11.0 <> 11.5 |      4 |   1204 |
| 11.5 <> 12.0 |      8 |   1623 |
| 12.0 <> 12.5 |      8 |   2189 |
| 12.5 <> 13.0 |     22 |  12115 |
| 13.0 <> 13.5 |     12 |   9024 |
| 13.5 <> 14.0 |     35 |  21339 |
| 14.0 <> 14.5 |     16 |   9319 |
| 14.5 <> 15.0 |     32 |  18579 |
| 15.0 <> 15.5 |     56 |  21636 |
| 15.5 <> 16.0 |    100 |  52100 |
| 16.0 <> 16.5 |     63 |  34145 |
| 16.5 <> 17.0 |     57 |  35228 |
| 17.0 <> 17.5 |     15 |   4244 |
| 17.5 <> 18.0 |     27 |  15912 |
| 18.0 <> 18.5 |     60 |  12570 |
| 18.5 <> 19.0 |     67 |  25624 |
| 19.0 <> 19.5 |     32 |  14847 |
| 19.5 <> 20.0 |     37 |  23637 |
| 20.0 <> 20.5 |     23 |   9219 |
| 20.5 <> 21.0 |     22 |  10699 |
| 21.0 <> 21.5 |     37 |  23873 |
| 21.5 <> 22.0 |     35 |   9737 |
| 22.0 <> 22.5 |    100 |  33007 |
| 22.5 <> 23.0 |     36 |  10880 |
| 23.0 <> 23.5 |     67 |  14223 |
| 23.5 <> 24.0 |     67 |  24894 |
| 24.0 <> 24.5 |     44 |  19559 |
| 24.5 <> 25.0 |     68 |  34948 |
| 25.0 <> 25.5 |     46 |  30076 |
| 25.5 <> 26.0 |     50 |  36232 |
| 26.0 <> 26.5 |    106 |  28912 |
| 26.5 <> 27.0 |     82 |  24609 |
| 27.0 <> 27.5 |     42 |  11709 |
| 27.5 <> 28.0 |     16 |   6301 |
| 28.0 <> 28.5 |     25 |  15159 |
| 28.5 <> 29.0 |     90 |  49281 |
| 29.0 <> 29.5 |     49 |  28085 |
| 29.5 <> 30.0 |     15 |   6930 |
| 30.0 <> 30.5 |     39 |  11267 |
| 30.5 <> 31.0 |     26 |  10089 |
| 31.0 <> 31.5 |     50 |  28093 |
| 31.5 <> 32.0 |    113 |  77734 |
| 32.0 <> 32.5 |    162 |  80503 |
| 32.5 <> 33.0 |     83 |  42452 |
| 33.0 <> 33.5 |    184 | 117595 |
| 33.5 <> 34.0 |     19 |   6843 |
| 34.0 <> 34.5 |     36 |  10907 |
| 34.5 <> 35.0 |     54 |  24614 |
| 35.0 <> 35.5 |     18 |   3967 |
| 35.5 <> 36.0 |     78 |  40254 |
| 36.0 <> 36.5 |     35 |  10939 |
| 36.5 <> 37.0 |     77 |  17214 |
| 37.0 <> 37.5 |     50 |  21873 |
| 37.5 <> 38.0 |    118 |  73895 |
| 38.0 <> 38.5 |     94 |  64173 |
| 38.5 <> 39.0 |     24 |   3882 |
| 39.0 <> 39.5 |     62 |  23252 |
| 39.5 <> 40.0 |     81 |  42799 |
| 40.0 <> 40.5 |     70 |  18148 |
| 40.5 <> 41.0 |     28 |   6340 |
| 41.0 <> 41.5 |     20 |   8602 |
| 41.5 <> 42.0 |     20 |   1982 |
| 42.0 <> 42.5 |     32 |   2179 |
| 42.5 <> 43.0 |      5 |    416 |
| 43.0 <> 43.5 |     20 |   6449 |
| 43.5 <> 44.0 |    131 |  56587 |
| 44.0 <> 44.5 |     68 |  43695 |
| 44.5 <> 45.0 |     81 |  45988 |
| 45.0 <> 45.5 |     43 |  25654 |
| 45.5 <> 46.0 |     61 |  44239 |
| 46.0 <> 46.5 |      1 |     68 |
| 46.5 <> 47.0 |      0 |      0 |
| 47.0 <> 47.5 |     16 |   1088 |
| 47.5 <> 48.0 |     32 |   2176 |
| 48.0 <> 48.5 |      0 |      0 |
| 48.5 <> 49.0 |      0 |      0 |
| 49.0 <> 49.5 |     12 |    824 |
| 49.5 <> 50.1 |     20 |   2657 |
==================================
