
===================================================================
IO Statistics
Interval: 0.500 secs
Column #0: ip.dst==223.188.60.32
                |   Column #0    
Time            |frames|  bytes  
000.000-000.500       1       110 
000.500-001.000       1        60 
001.000-001.500       1        56 
001.500-002.000       3       818 
002.000-002.500       2       116 
002.500-003.000       0         0 
003.000-003.500       1        56 
003.500-004.000       0         0 
004.000-004.500       3      1466 
004.500-005.000       3       318 
005.000-005.500       1        68 
005.500-006.000       0         0 
006.000-006.500       1      1436 
006.500-007.000       1      1436 
007.000-007.500       0         0 
007.500-008.000       6      6509 
008.000-008.500       1       123 
008.500-009.000       1        60 
009.000-009.500       3       377 
009.500-010.000       1        56 
010.000-010.500       1        68 
010.500-011.000       2       202 
011.000-011.500       2       816 
011.500-012.000       3       993 
012.000-012.500       4       979 
012.500-013.000       9     10202 
013.000-013.500       6      8616 
013.500-014.000      16     16168 
014.000-014.500       8      8751 
014.500-015.000      18     17615 
015.000-015.500      20     16565 
015.500-016.000      46     44431 
016.000-016.500      32     31284 
016.500-017.000      29     33300 
017.000-017.500       6      2212 
017.500-018.000      14     15016 
018.000-018.500      16      7768 
018.500-019.000      23      5530 
019.000-019.500      18     13847 
019.500-020.000      20     22481 
020.000-020.500      10      8335 
020.500-021.000      13     10087 
021.000-021.500      20     22717 
021.500-022.000      20      8534 
022.000-022.500      36     19410 
022.500-023.000      15      9382 
023.000-023.500      23      6338 
023.500-024.000      27     13496 
024.000-024.500      24     18167 
024.500-025.000      38     32396 
025.000-025.500      22     26122 
025.500-026.000      26     34600 
026.000-026.500      43     23890 
026.500-027.000      19      6666 
027.000-027.500      16      4568 
027.500-028.000       7      4784 
028.000-028.500      12     12745 
028.500-029.000      44     36151 
029.000-029.500      22     20356 
029.500-030.000       9      6522 
030.000-030.500      17      8465 
030.500-031.000      14      8614 
031.000-031.500      29     26665 
031.500-032.000      61     74198 
032.000-032.500      76     70826 
032.500-033.000      40     36561 
033.000-033.500      94    106443 
033.500-034.000       7      4817 
034.000-034.500      19      9727 
034.500-035.000      25     20981 
035.000-035.500       5      1728 
035.500-036.000      40     34504 
036.000-036.500      15      7401 
036.500-037.000      27      7301 
037.000-037.500      27     19583 
037.500-038.000      59     67949 
038.000-038.500      54     60874 
038.500-039.000       7       678 
039.000-039.500      30     18850 
039.500-040.000      39     38277 
040.000-040.500      32     15564 
040.500-041.000      10      3356 
041.000-041.500      11      6580 
041.500-042.000       3       850 
042.000-042.500      17      1183 
042.500-043.000       2       184 
043.000-043.500       8      3146 
043.500-044.000      44     27195 
044.000-044.500      37     37449 
044.500-045.000      44     43472 
045.000-045.500      24     24362 
045.500-046.000      33     42335 
046.000-046.500       1        68 
046.500-047.000       0         0 
047.000-047.500       0         0 
047.500-048.000      16      1088 
048.000-048.500       0         0 
048.500-049.000       0         0 
049.000-049.500       0         0 
049.500-050.000       9      1211 
050.000-050.500       1        68 
===================================================================
