
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: ip.src==223.188.60.32  |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |      1 |    76 |
|  0.5 <>  1.0 |      2 |   505 |
|  1.0 <>  1.5 |      0 |     0 |
|  1.5 <>  2.0 |      5 |   321 |
|  2.0 <>  2.5 |      2 |   673 |
|  2.5 <>  3.0 |      0 |     0 |
|  3.0 <>  3.5 |      0 |     0 |
|  3.5 <>  4.0 |      0 |     0 |
|  4.0 <>  4.5 |      5 |   304 |
|  4.5 <>  5.0 |      3 |   619 |
|  5.0 <>  5.5 |      0 |     0 |
|  5.5 <>  6.0 |      0 |     0 |
|  6.0 <>  6.5 |      1 |    68 |
|  6.5 <>  7.0 |      1 |    68 |
|  7.0 <>  7.5 |      0 |     0 |
|  7.5 <>  8.0 |      7 |   495 |
|  8.0 <>  8.5 |      1 |    76 |
|  8.5 <>  9.0 |      2 |   400 |
|  9.0 <>  9.5 |      2 |   112 |
|  9.5 <> 10.0 |      1 |    68 |
| 10.0 <> 10.5 |      2 |   146 |
| 10.5 <> 11.0 |      3 |   463 |
| 11.0 <> 11.5 |      2 |   388 |
| 11.5 <> 12.0 |      5 |   630 |
| 12.0 <> 12.5 |      4 |  1210 |
| 12.5 <> 13.0 |     13 |  1913 |
| 13.0 <> 13.5 |      6 |   408 |
| 13.5 <> 14.0 |     19 |  5171 |
| 14.0 <> 14.5 |      8 |   568 |
| 14.5 <> 15.0 |     14 |   964 |
| 15.0 <> 15.5 |     36 |  5071 |
| 15.5 <> 16.0 |     54 |  7669 |
| 16.0 <> 16.5 |     31 |  2861 |
| 16.5 <> 17.0 |     28 |  1928 |
| 17.0 <> 17.5 |      9 |  2032 |
| 17.5 <> 18.0 |     13 |   896 |
| 18.0 <> 18.5 |     44 |  4802 |
| 18.5 <> 19.0 |     44 | 20094 |
| 19.0 <> 19.5 |     14 |  1000 |
| 19.5 <> 20.0 |     17 |  1156 |
| 20.0 <> 20.5 |     13 |   884 |
| 20.5 <> 21.0 |      9 |   612 |
| 21.0 <> 21.5 |     17 |  1156 |
| 21.5 <> 22.0 |     16 |  1299 |
| 22.0 <> 22.5 |     64 | 13597 |
| 22.5 <> 23.0 |     21 |  1498 |
| 23.0 <> 23.5 |     44 |  7885 |
| 23.5 <> 24.0 |     40 | 11398 |
| 24.0 <> 24.5 |     20 |  1392 |
| 24.5 <> 25.0 |     31 |  2648 |
| 25.0 <> 25.5 |     24 |  3954 |
| 25.5 <> 26.0 |     24 |  1632 |
| 26.0 <> 26.5 |     63 |  5022 |
| 26.5 <> 27.0 |     63 | 17943 |
| 27.0 <> 27.5 |     26 |  7141 |
| 27.5 <> 28.0 |      9 |  1517 |
| 28.0 <> 28.5 |     13 |  2414 |
| 28.5 <> 29.0 |     46 | 13130 |
| 29.0 <> 29.5 |     27 |  7729 |
| 29.5 <> 30.0 |      6 |   408 |
| 30.0 <> 30.5 |     22 |  2802 |
| 30.5 <> 31.0 |     12 |  1475 |
| 31.0 <> 31.5 |     21 |  1428 |
| 31.5 <> 32.0 |     53 |  3632 |
| 32.0 <> 32.5 |     86 |  9677 |
| 32.5 <> 33.0 |     43 |  5891 |
| 33.0 <> 33.5 |     90 | 11152 |
| 33.5 <> 34.0 |     12 |  2026 |
| 34.0 <> 34.5 |     17 |  1180 |
| 34.5 <> 35.0 |     29 |  3633 |
| 35.0 <> 35.5 |     13 |  2239 |
| 35.5 <> 36.0 |     38 |  5750 |
| 36.0 <> 36.5 |     20 |  3538 |
| 36.5 <> 37.0 |     50 |  9913 |
| 37.0 <> 37.5 |     23 |  2290 |
| 37.5 <> 38.0 |     59 |  5946 |
| 38.0 <> 38.5 |     40 |  3299 |
| 38.5 <> 39.0 |     18 |  3300 |
| 39.0 <> 39.5 |     32 |  4402 |
| 39.5 <> 40.0 |     42 |  4522 |
| 40.0 <> 40.5 |     38 |  2584 |
| 40.5 <> 41.0 |     18 |  2984 |
| 41.0 <> 41.5 |      9 |  2022 |
| 41.5 <> 42.0 |     17 |  1132 |
| 42.0 <> 42.5 |     15 |   996 |
| 42.5 <> 43.0 |      3 |   232 |
| 43.0 <> 43.5 |     12 |  3303 |
| 43.5 <> 44.0 |     87 | 29392 |
| 44.0 <> 44.5 |     31 |  6246 |
| 44.5 <> 45.0 |     37 |  2516 |
| 45.0 <> 45.5 |     19 |  1292 |
| 45.5 <> 46.0 |     28 |  1904 |
| 46.0 <> 46.5 |      0 |     0 |
| 46.5 <> 47.0 |      0 |     0 |
| 47.0 <> 47.5 |     16 |  1088 |
| 47.5 <> 48.0 |     16 |  1088 |
| 48.0 <> 48.5 |      0 |     0 |
| 48.5 <> 49.0 |      0 |     0 |
| 49.0 <> 49.5 |     12 |   824 |
| 49.5 <> 50.1 |     11 |  1446 |
=================================
