
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: Frames and bytes       |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |     13 |  2917 |
|  0.5 <>  1.0 |      2 |   827 |
|  1.0 <>  1.5 |     34 | 21139 |
|  1.5 <>  2.0 |     20 | 11132 |
|  2.0 <>  2.5 |     29 | 19370 |
|  2.5 <>  3.0 |     16 |  8969 |
|  3.0 <>  3.5 |     47 | 23003 |
|  3.5 <>  4.0 |     56 | 24694 |
|  4.0 <>  4.5 |    104 | 53447 |
|  4.5 <>  5.0 |     67 | 39818 |
|  5.0 <>  5.5 |     27 | 14193 |
|  5.5 <>  6.0 |     12 |  2256 |
|  6.0 <>  6.5 |     40 | 23369 |
|  6.5 <>  7.0 |     78 | 20073 |
|  7.0 <>  7.5 |     38 | 13593 |
|  7.5 <>  8.0 |     35 | 17434 |
|  8.0 <>  8.5 |     43 | 23779 |
|  8.5 <>  9.0 |     14 |  4587 |
|  9.0 <>  9.5 |     26 | 15023 |
|  9.5 <> 10.0 |     29 | 18367 |
| 10.0 <> 10.5 |     72 | 17141 |
| 10.5 <> 11.0 |     72 | 30877 |
| 11.0 <> 11.5 |     70 | 13967 |
| 11.5 <> 12.0 |     73 | 25177 |
| 12.0 <> 12.5 |     36 | 13420 |
| 12.5 <> 13.0 |     51 | 23785 |
| 13.0 <> 13.5 |     75 | 47184 |
| 13.5 <> 14.0 |     22 | 11789 |
| 14.0 <> 14.5 |     85 | 54080 |
| 14.5 <> 15.0 |    104 | 17166 |
| 15.0 <> 15.5 |     49 | 15896 |
| 15.5 <> 16.0 |     39 | 11669 |
| 16.0 <> 16.5 |     26 | 13738 |
| 16.5 <> 17.0 |     55 | 37972 |
| 17.0 <> 17.5 |     79 | 39367 |
| 17.5 <> 18.0 |     20 |  8073 |
| 18.0 <> 18.5 |     20 |  6075 |
| 18.5 <> 19.0 |     44 | 14257 |
| 19.0 <> 19.5 |     25 | 13987 |
| 19.5 <> 20.0 |     72 | 43078 |
| 20.0 <> 20.5 |    123 | 71235 |
| 20.5 <> 21.0 |    164 | 91684 |
| 21.0 <> 21.5 |    106 | 57347 |
| 21.5 <> 22.0 |    123 | 78840 |
| 22.0 <> 22.5 |     11 |  1470 |
| 22.5 <> 23.0 |     67 | 24383 |
| 23.0 <> 23.5 |     19 | 10846 |
| 23.5 <> 24.0 |     59 | 33659 |
| 24.0 <> 24.5 |     54 | 16449 |
| 24.5 <> 25.0 |     66 | 14782 |
| 25.0 <> 25.5 |     51 | 12845 |
| 25.5 <> 26.0 |     80 | 49010 |
| 26.0 <> 26.5 |    124 | 76532 |
| 26.5 <> 27.0 |     39 | 29878 |
| 27.0 <> 27.5 |     60 | 14033 |
| 27.5 <> 28.0 |     66 | 37473 |
| 28.0 <> 28.5 |     54 | 18675 |
| 28.5 <> 29.0 |     58 | 17362 |
| 29.0 <> 29.5 |     37 | 12710 |
| 29.5 <> 30.0 |     10 |  2753 |
| 30.0 <> 30.5 |     19 |  1295 |
| 30.5 <> 31.0 |     31 |  2099 |
| 31.0 <> 31.5 |      7 |  1311 |
| 31.5 <> 32.0 |     43 | 21131 |
| 32.0 <> 32.5 |    127 | 53479 |
| 32.5 <> 33.0 |     93 | 59320 |
| 33.0 <> 33.5 |     48 | 25567 |
| 33.5 <> 34.0 |     60 | 41116 |
| 34.0 <> 34.5 |     31 | 21116 |
| 34.5 <> 35.0 |      0 |     0 |
| 35.0 <> 35.5 |      0 |     0 |
| 35.5 <> 36.0 |     32 |  2176 |
| 36.0 <> 36.5 |     16 |  1088 |
| 36.5 <> 37.0 |      0 |     0 |
| 37.0 <> 37.5 |      0 |     0 |
| 37.5 <> 38.4 |     29 |  2686 |
=================================
