
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: ip.dst==223.188.60.32  |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |      5 |  1145 |
|  0.5 <>  1.0 |      1 |   759 |
|  1.0 <>  1.5 |     15 | 18818 |
|  1.5 <>  2.0 |      9 |  7476 |
|  2.0 <>  2.5 |     14 | 17367 |
|  2.5 <>  3.0 |      9 |  8481 |
|  3.0 <>  3.5 |     19 | 18552 |
|  3.5 <>  4.0 |     25 | 22006 |
|  4.0 <>  4.5 |     49 | 45471 |
|  4.5 <>  5.0 |     34 | 37540 |
|  5.0 <>  5.5 |     14 | 13289 |
|  5.5 <>  6.0 |      4 |   288 |
|  6.0 <>  6.5 |     17 | 21787 |
|  6.5 <>  7.0 |     23 |  5547 |
|  7.0 <>  7.5 |     15 |  3921 |
|  7.5 <>  8.0 |     19 | 16298 |
|  8.0 <>  8.5 |     20 | 22215 |
|  8.5 <>  9.0 |      9 |  4247 |
|  9.0 <>  9.5 |     15 | 14275 |
|  9.5 <> 10.0 |     15 | 17415 |
| 10.0 <> 10.5 |     32 | 12915 |
| 10.5 <> 11.0 |     28 | 19955 |
| 11.0 <> 11.5 |     23 |  7254 |
| 11.5 <> 12.0 |     30 | 12655 |
| 12.0 <> 12.5 |     17 | 11578 |
| 12.5 <> 13.0 |     30 | 22357 |
| 13.0 <> 13.5 |     38 | 41846 |
| 13.5 <> 14.0 |     12 | 11097 |
| 14.0 <> 14.5 |     36 | 50748 |
| 14.5 <> 15.0 |     40 |  5178 |
| 15.0 <> 15.5 |      9 |  5500 |
| 15.5 <> 16.0 |     16 |  4750 |
| 16.0 <> 16.5 |     12 | 11256 |
| 16.5 <> 17.0 |     33 | 33721 |
| 17.0 <> 17.5 |     31 | 23865 |
| 17.5 <> 18.0 |     10 |  6483 |
| 18.0 <> 18.5 |     10 |  5383 |
| 18.5 <> 19.0 |     21 | 10748 |
| 19.0 <> 19.5 |     14 | 13231 |
| 19.5 <> 20.0 |     41 | 40970 |
| 20.0 <> 20.5 |     61 | 64750 |
| 20.5 <> 21.0 |     80 | 83900 |
| 21.0 <> 21.5 |     47 | 50856 |
| 21.5 <> 22.0 |     69 | 69652 |
| 22.0 <> 22.5 |      1 |    76 |
| 22.5 <> 23.0 |     33 | 21615 |
| 23.0 <> 23.5 |     10 |  9017 |
| 23.5 <> 24.0 |     29 | 29088 |
| 24.0 <> 24.5 |     24 | 12403 |
| 24.5 <> 25.0 |     24 |  5820 |
| 25.0 <> 25.5 |     22 |  7599 |
| 25.5 <> 26.0 |     40 | 44804 |
| 26.0 <> 26.5 |     64 | 71420 |
| 26.5 <> 27.0 |     25 | 28282 |
| 27.0 <> 27.5 |     25 |  8823 |
| 27.5 <> 28.0 |     32 | 33276 |
| 28.0 <> 28.5 |     18 | 15630 |
| 28.5 <> 29.0 |     32 | 15564 |
| 29.0 <> 29.5 |     17 |  9373 |
| 29.5 <> 30.0 |      5 |  1250 |
| 30.0 <> 30.5 |      3 |   231 |
| 30.5 <> 31.0 |     17 |  1171 |
| 31.0 <> 31.5 |      2 |   204 |
| 31.5 <> 32.0 |     21 | 17887 |
| 32.0 <> 32.5 |     42 | 21120 |
| 32.5 <> 33.0 |     50 | 55361 |
| 33.0 <> 33.5 |     27 | 24139 |
| 33.5 <> 34.0 |     34 | 39348 |
| 34.0 <> 34.5 |     16 | 20096 |
| 34.5 <> 35.0 |      0 |     0 |
| 35.0 <> 35.5 |      0 |     0 |
| 35.5 <> 36.0 |      8 |   544 |
| 36.0 <> 36.5 |      8 |   544 |
| 36.5 <> 37.0 |      0 |     0 |
| 37.0 <> 37.5 |      0 |     0 |
| 37.5 <> 38.4 |      8 |   552 |
=================================
