
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: ip.src==223.188.60.32  |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |      8 |  1772 |
|  0.5 <>  1.0 |      1 |    68 |
|  1.0 <>  1.5 |     19 |  2321 |
|  1.5 <>  2.0 |     11 |  3656 |
|  2.0 <>  2.5 |     15 |  2003 |
|  2.5 <>  3.0 |      7 |   488 |
|  3.0 <>  3.5 |     28 |  4451 |
|  3.5 <>  4.0 |     31 |  2688 |
|  4.0 <>  4.5 |     55 |  7976 |
|  4.5 <>  5.0 |     33 |  2278 |
|  5.0 <>  5.5 |     13 |   904 |
|  5.5 <>  6.0 |      8 |  1968 |
|  6.0 <>  6.5 |     23 |  1582 |
|  6.5 <>  7.0 |     55 | 14526 |
|  7.0 <>  7.5 |     23 |  9672 |
|  7.5 <>  8.0 |     16 |  1136 |
|  8.0 <>  8.5 |     23 |  1564 |
|  8.5 <>  9.0 |      5 |   340 |
|  9.0 <>  9.5 |     11 |   748 |
|  9.5 <> 10.0 |     14 |   952 |
| 10.0 <> 10.5 |     41 |  4322 |
| 10.5 <> 11.0 |     44 | 10922 |
| 11.0 <> 11.5 |     47 |  6713 |
| 11.5 <> 12.0 |     43 | 12522 |
| 12.0 <> 12.5 |     19 |  1842 |
| 12.5 <> 13.0 |     21 |  1428 |
| 13.0 <> 13.5 |     38 |  5434 |
| 13.5 <> 14.0 |     10 |   692 |
| 14.0 <> 14.5 |     49 |  3332 |
| 14.5 <> 15.0 |     64 | 11988 |
| 15.0 <> 15.5 |     40 | 10396 |
| 15.5 <> 16.0 |     23 |  6919 |
| 16.0 <> 16.5 |     14 |  2482 |
| 16.5 <> 17.0 |     22 |  4251 |
| 17.0 <> 17.5 |     48 | 15502 |
| 17.5 <> 18.0 |     10 |  1590 |
| 18.0 <> 18.5 |     10 |   692 |
| 18.5 <> 19.0 |     23 |  3509 |
| 19.0 <> 19.5 |     11 |   756 |
| 19.5 <> 20.0 |     32 |  2204 |
| 20.0 <> 20.5 |     62 |  6485 |
| 20.5 <> 21.0 |     84 |  7784 |
| 21.0 <> 21.5 |     59 |  6491 |
| 21.5 <> 22.0 |     54 |  9188 |
| 22.0 <> 22.5 |     10 |  1394 |
| 22.5 <> 23.0 |     34 |  2768 |
| 23.0 <> 23.5 |      9 |  1829 |
| 23.5 <> 24.0 |     30 |  4571 |
| 24.0 <> 24.5 |     30 |  4046 |
| 24.5 <> 25.0 |     42 |  8962 |
| 25.0 <> 25.5 |     29 |  5246 |
| 25.5 <> 26.0 |     40 |  4206 |
| 26.0 <> 26.5 |     60 |  5112 |
| 26.5 <> 27.0 |     14 |  1596 |
| 27.0 <> 27.5 |     36 |  5306 |
| 27.5 <> 28.0 |     34 |  4197 |
| 28.0 <> 28.5 |     36 |  3045 |
| 28.5 <> 29.0 |     26 |  1798 |
| 29.0 <> 29.5 |     20 |  3337 |
| 29.5 <> 30.0 |      5 |  1503 |
| 30.0 <> 30.5 |     16 |  1064 |
| 30.5 <> 31.0 |     14 |   928 |
| 31.0 <> 31.5 |      5 |  1107 |
| 31.5 <> 32.0 |     22 |  3244 |
| 32.0 <> 32.5 |     85 | 32359 |
| 32.5 <> 33.0 |     43 |  3959 |
| 33.0 <> 33.5 |     21 |  1428 |
| 33.5 <> 34.0 |     26 |  1768 |
| 34.0 <> 34.5 |     15 |  1020 |
| 34.5 <> 35.0 |      0 |     0 |
| 35.0 <> 35.5 |      0 |     0 |
| 35.5 <> 36.0 |     24 |  1632 |
| 36.0 <> 36.5 |      8 |   544 |
| 36.5 <> 37.0 |      0 |     0 |
| 37.0 <> 37.5 |      0 |     0 |
| 37.5 <> 38.4 |     21 |  2134 |
=================================
