
===================================================================
IO Statistics
Interval: 0.500 secs
Column #0: 
                |   Column #0    
Time            |frames|  bytes  
000.000-000.500       3       570 
000.500-001.000       6       841 
001.000-001.500       6      1064 
001.500-002.000       0         0 
002.000-002.500       7      1682 
002.500-003.000       1        76 
003.000-003.500       4       516 
003.500-004.000       0         0 
004.000-004.500       0         0 
004.500-005.000       0         0 
005.000-005.500       0         0 
005.500-006.000       0         0 
006.000-006.500       0         0 
006.500-007.000       5       489 
007.000-007.500       1        56 
007.500-008.000       0         0 
008.000-008.500       1        78 
008.500-009.000       5       665 
009.000-009.500       5      1291 
009.500-010.000      11      2603 
010.000-010.500       0         0 
010.500-011.000      33     20836 
011.000-011.500       2       156 
011.500-012.000      32     20429 
012.000-012.500       6       468 
012.500-013.000      21     15091 
013.000-013.500       0         0 
013.500-014.000       8      3828 
014.000-014.500       2      1516 
014.500-015.000      14      8579 
015.000-015.500       6      3354 
015.500-016.000       4       326 
016.000-016.500       8      4648 
016.500-017.000      23      6812 
017.000-017.500       4      1104 
017.500-018.000       0         0 
018.000-018.500       0         0 
018.500-019.000       6       557 
019.000-019.500      16      4671 
019.500-020.000      13      2681 
020.000-020.500      27     10657 
020.500-021.000       7      1037 
021.000-021.500       2       156 
021.500-022.000       8       809 
022.000-022.500       8      1104 
022.500-023.000      19     11336 
023.000-023.500      15      7279 
023.500-024.000      24     13754 
024.000-024.500      20     15553 
024.500-025.000       7      3212 
025.000-025.500       7      2606 
025.500-026.000       9      4011 
026.000-026.500      10      1615 
026.500-027.000       2       384 
027.000-027.500      29     20382 
027.500-028.000       5       397 
028.000-028.500       6       453 
028.500-029.000      15      8281 
029.000-029.500      21     17192 
029.500-030.000      14      5560 
030.000-030.500      10      3215 
030.500-031.000       4       347 
031.000-031.500      35     22635 
031.500-032.000      24      2606 
032.000-032.500       6       541 
032.500-033.000      46     18132 
033.000-033.500      16      5991 
033.500-034.000       4       312 
034.000-034.500       9      2618 
034.500-035.000       5      1786 
035.000-035.500       9      6084 
035.500-036.000       8      3492 
036.000-036.500       9      3143 
036.500-037.000       1        68 
037.000-037.500      11      7324 
037.500-038.000      25     16043 
038.000-038.500       7      4197 
038.500-039.000       4      1652 
039.000-039.500       9      5542 
039.500-040.000       5      2387 
040.000-040.500       4       943 
040.500-041.000       9      2869 
041.000-041.500      13      4893 
041.500-042.000      36     23548 
042.000-042.500      24      9380 
042.500-043.000      33      7408 
043.000-043.500      10      3507 
043.500-044.000       7      3308 
044.000-044.500       7      1505 
044.500-045.000      24      1632 
045.000-045.500       0         0 
045.500-046.000       0         0 
046.000-046.500       0         0 
046.500-047.000       3       204 
047.000-047.500       0         0 
047.500-048.000       0         0 
048.000-048.500       0         0 
048.500-049.000       0         0 
049.000-049.500       0         0 
049.500-050.000       0         0 
050.000-050.500       0         0 
050.500-051.000       0         0 
051.000-051.500       0         0 
051.500-052.000       0         0 
052.000-052.500       0         0 
052.500-053.000       0         0 
053.000-053.500       0         0 
053.500-054.000       0         0 
054.000-054.500       0         0 
054.500-055.000       0         0 
055.000-055.500       0         0 
055.500-056.000       0         0 
056.000-056.500       0         0 
056.500-057.000       0         0 
057.000-057.500       0         0 
057.500-058.000       4       299 
058.000-058.500       0         0 
058.500-059.000       0         0 
059.000-059.500       0         0 
059.500-060.000       0         0 
060.000-060.500       0         0 
060.500-061.000       0         0 
061.000-061.500       0         0 
061.500-062.000       0         0 
062.000-062.500       0         0 
062.500-063.000       0         0 
063.000-063.500       0         0 
063.500-064.000       0         0 
064.000-064.500       0         0 
064.500-065.000       0         0 
065.000-065.500       1      1436 
065.500-066.000       0         0 
066.000-066.500       0         0 
066.500-067.000       0         0 
067.000-067.500       0         0 
067.500-068.000       0         0 
068.000-068.500       0         0 
068.500-069.000       2       988 
069.000-069.500       1        68 
069.500-070.000       0         0 
070.000-070.500       2      1504 
070.500-071.000       2      1504 
071.000-071.500       0         0 
071.500-072.000       8      2059 
072.000-072.500      37      6605 
072.500-073.000      18      6606 
073.000-073.500       5       977 
073.500-074.000       7      1112 
074.000-074.500       4      1292 
074.500-075.000       5       956 
075.000-075.500      16      2278 
075.500-076.000      16      5528 
076.000-076.500      23      9201 
076.500-077.000     119     37491 
077.000-077.500     107     61601 
077.500-078.000      80     35521 
078.000-078.500      57     45903 
078.500-079.000      35      9622 
079.000-079.500      58     21095 
079.500-080.000     155     82396 
080.000-080.500     165     66592 
080.500-081.000     115     80758 
081.000-081.500     193    125358 
081.500-082.000     203    133934 
082.000-082.500      66     45209 
082.500-083.000     127     45662 
083.000-083.500     121     64090 
083.500-084.000      58     26672 
084.000-084.500      22      3569 
084.500-085.000      26      6511 
085.000-085.500       8      1243 
085.500-086.000      14       952 
086.000-086.500      25      2691 
086.500-087.000      18      2224 
087.000-087.500      34      7949 
087.500-088.000       0         0 
088.000-088.500      14      3920 
088.500-089.000      20      3148 
089.000-089.500       4       312 
089.500-090.000       0         0 
090.000-090.500      48     20499 
090.500-091.000       2       156 
091.000-091.500       2       156 
091.500-092.000      32      7940 
092.000-092.500       5       791 
092.500-093.000       6      1808 
093.000-093.500       0         0 
093.500-094.000       2       156 
094.000-094.500       4      1398 
094.500-095.000       6       456 
095.000-095.500       2       170 
095.500-096.000       1        68 
096.000-096.500       0         0 
096.500-097.000       4      3468 
097.000-097.500       2       156 
097.500-098.000      23      2738 
098.000-098.500       3      1584 
098.500-099.000       7      3964 
099.000-099.500       3      1505 
099.500-100.000       1       529 
