
===================================================================
IO Statistics
Interval: 0.500 secs
Column #0: ip.dst==223.188.60.32
                |   Column #0    
Time            |frames|  bytes  
000.000-000.500       1        60 
000.500-001.000       3       653 
001.000-001.500       3       323 
001.500-002.000       0         0 
002.000-002.500       4      1514 
002.500-003.000       0         0 
003.000-003.500       2       116 
003.500-004.000       0         0 
004.000-004.500       0         0 
004.500-005.000       0         0 
005.000-005.500       0         0 
005.500-006.000       0         0 
006.000-006.500       0         0 
006.500-007.000       3       377 
007.000-007.500       1        56 
007.500-008.000       0         0 
008.000-008.500       0         0 
008.500-009.000       2       202 
009.000-009.500       2       814 
009.500-010.000       5      1148 
010.000-010.500       0         0 
010.500-011.000      14     17376 
011.000-011.500       1        76 
011.500-012.000      15     16092 
012.000-012.500       3       228 
012.500-013.000      11     14411 
013.000-013.500       0         0 
013.500-014.000       5      3624 
014.000-014.500       1      1436 
014.500-015.000       7      8103 
015.000-015.500       3      3126 
015.500-016.000       0         0 
016.000-016.500       4      4376 
016.500-017.000       7      4804 
017.000-017.500       0         0 
017.500-018.000       0         0 
018.000-018.500       0         0 
018.500-019.000       3       345 
019.000-019.500       6      1947 
019.500-020.000       5       380 
020.000-020.500      12      9084 
020.500-021.000       3       228 
021.000-021.500       1        76 
021.500-022.000       4       513 
022.000-022.500       3       752 
022.500-023.000      10     10724 
023.000-023.500       7      6016 
023.500-024.000      12     12892 
024.000-024.500      11     14428 
024.500-025.000       5      3076 
025.000-025.500       4      2378 
025.500-026.000       5      3739 
026.000-026.500       7       440 
026.500-027.000       1       316 
027.000-027.500      16     19490 
027.500-028.000       3       216 
028.000-028.500       2       136 
028.500-029.000       7      7692 
029.000-029.500      12     16580 
029.500-030.000       8      4711 
030.000-030.500       5      2851 
030.500-031.000       2       187 
031.000-031.500      18     21479 
031.500-032.000       1        68 
032.000-032.500       3       321 
032.500-033.000      16      3851 
033.000-033.500       5       380 
033.500-034.000       2       152 
034.000-034.500       4      1443 
034.500-035.000       3      1650 
035.000-035.500       5      5812 
035.500-036.000       5      3264 
036.000-036.500       5      2847 
036.500-037.000       0         0 
037.000-037.500       6      6972 
037.500-038.000      13     15227 
038.000-038.500       4      3993 
038.500-039.000       1      1436 
039.000-039.500       5      5270 
039.500-040.000       0         0 
040.000-040.500       2       604 
040.500-041.000       3      2461 
041.000-041.500       8      4553 
041.500-042.000      20     22460 
042.000-042.500      13      8632 
042.500-043.000      17      5953 
043.000-043.500       5      2599 
043.500-044.000       4      1092 
044.000-044.500       4      1264 
044.500-045.000       8       544 
045.000-045.500       0         0 
045.500-046.000       0         0 
046.000-046.500       0         0 
046.500-047.000       1        68 
047.000-047.500       0         0 
047.500-048.000       0         0 
048.000-048.500       0         0 
048.500-049.000       0         0 
049.000-049.500       0         0 
049.500-050.000       0         0 
050.000-050.500       0         0 
050.500-051.000       0         0 
051.000-051.500       0         0 
051.500-052.000       0         0 
052.000-052.500       0         0 
052.500-053.000       0         0 
053.000-053.500       0         0 
053.500-054.000       0         0 
054.000-054.500       0         0 
054.500-055.000       0         0 
055.000-055.500       0         0 
055.500-056.000       0         0 
056.000-056.500       0         0 
056.500-057.000       0         0 
057.000-057.500       0         0 
057.500-058.000       2       163 
058.000-058.500       0         0 
058.500-059.000       0         0 
059.000-059.500       0         0 
059.500-060.000       0         0 
060.000-060.500       0         0 
060.500-061.000       0         0 
061.000-061.500       0         0 
061.500-062.000       0         0 
062.000-062.500       0         0 
062.500-063.000       0         0 
063.000-063.500       0         0 
063.500-064.000       0         0 
064.000-064.500       0         0 
064.500-065.000       0         0 
065.000-065.500       0         0 
065.500-066.000       0         0 
066.000-066.500       0         0 
066.500-067.000       0         0 
067.000-067.500       0         0 
067.500-068.000       0         0 
068.000-068.500       0         0 
068.500-069.000       1        68 
069.000-069.500       1        68 
069.500-070.000       0         0 
070.000-070.500       1      1436 
070.500-071.000       1      1436 
071.000-071.500       0         0 
071.500-072.000       2      1586 
072.000-072.500      10      1212 
072.500-073.000       6       456 
073.000-073.500       2       753 
073.500-074.000       3       828 
074.000-074.500       2      1156 
074.500-075.000       2       752 
075.000-075.500       5       384 
075.500-076.000       5      1870 
076.000-076.500      13      8473 
076.500-077.000      52     23237 
077.000-077.500      57     58165 
077.500-078.000      40     29481 
078.000-078.500      35     44407 
078.500-079.000       5      1185 
079.000-079.500      19      7203 
079.500-080.000      69     70256 
080.000-080.500      73     43248 
080.500-081.000      67     75970 
081.000-081.500     100    116869 
081.500-082.000     101    120511 
082.000-082.500      36     40081 
082.500-083.000      62     38379 
083.000-083.500      61     58398 
083.500-084.000      29     23010 
084.000-084.500       6       475 
084.500-085.000      14      5695 
085.000-085.500       0         0 
085.500-086.000       8       544 
086.000-086.500       9      1603 
086.500-087.000       2       136 
087.000-087.500      15      2652 
087.500-088.000       0         0 
088.000-088.500       5      1384 
088.500-089.000       1        76 
089.000-089.500       2       152 
089.500-090.000       0         0 
090.000-090.500      23     13416 
090.500-091.000       1        76 
091.000-091.500       1        76 
091.500-092.000       7      6068 
092.000-092.500       2       144 
092.500-093.000       3      1580 
093.000-093.500       0         0 
093.500-094.000       1        76 
094.000-094.500       1      1182 
094.500-095.000       0         0 
095.000-095.500       0         0 
095.500-096.000       0         0 
096.000-096.500       0         0 
096.500-097.000       1      1436 
097.000-097.500       1        76 
097.500-098.000       4       280 
098.000-098.500       1      1436 
098.500-099.000       2      1504 
099.000-099.500       1       315 
099.500-100.000       0         0 
100.000-100.500       0         0 
100.500-101.000       1        68 
101.000-101.500       1      1182 
101.500-102.000       0         0 
102.000-102.500       1        76 
102.500-103.000       2      2872 
103.000-103.500       1       315 
103.500-104.000       0         0 
104.000-104.500       0         0 
104.500-105.000       0         0 
105.000-105.500       0         0 
105.500-106.000       0         0 
106.000-106.500       4      2746 
106.500-107.000       0         0 
107.000-107.500       1        68 
107.500-108.000       0         0 
108.000-108.500       2       391 
108.500-109.000       0         0 
109.000-109.500       3       494 
109.500-110.000       1      1436 
110.000-110.500       3       626 
110.500-111.000       0         0 
111.000-111.500       0         0 
111.500-112.000       1      1436 
112.000-112.500       1      1436 
112.500-113.000       0         0 
113.000-113.500       0         0 
113.500-114.000       0         0 
114.000-114.500       0         0 
114.500-115.000       0         0 
115.000-115.500       2       558 
115.500-116.000       1      1182 
116.000-116.500       1        76 
116.500-117.000       0         0 
117.000-117.500       0         0 
117.500-118.000       0         0 
118.000-118.500       0         0 
118.500-119.000       1       315 
119.000-119.500       0         0 
119.500-120.000       0         0 
120.000-120.500       0         0 
120.500-121.000       0         0 
121.000-121.500       1        76 
121.500-122.000      10       740 
122.000-122.500       2       152 
122.500-123.000       1        68 
123.000-123.500       0         0 
123.500-124.000       0         0 
124.000-124.500       1      1436 
124.500-125.000       1       482 
125.000-125.500       7       532 
125.500-126.000       2       152 
126.000-126.500       3       220 
