
===================================================================
IO Statistics
Interval: 0.500 secs
Column #0: ip.src==223.188.60.32
                |   Column #0    
Time            |frames|  bytes  
000.000-000.500       2       510 
000.500-001.000       3       188 
001.000-001.500       3       741 
001.500-002.000       0         0 
002.000-002.500       3       168 
002.500-003.000       1        76 
003.000-003.500       2       400 
003.500-004.000       0         0 
004.000-004.500       0         0 
004.500-005.000       0         0 
005.000-005.500       0         0 
005.500-006.000       0         0 
006.000-006.500       0         0 
006.500-007.000       2       112 
007.000-007.500       0         0 
007.500-008.000       0         0 
008.000-008.500       1        78 
008.500-009.000       3       463 
009.000-009.500       3       477 
009.500-010.000       6      1455 
010.000-010.500       0         0 
010.500-011.000      19      3460 
011.000-011.500       1        80 
011.500-012.000      17      4337 
012.000-012.500       3       240 
012.500-013.000      10       680 
013.000-013.500       0         0 
013.500-014.000       3       204 
014.000-014.500       1        80 
014.500-015.000       7       476 
015.000-015.500       3       228 
015.500-016.000       4       326 
016.000-016.500       4       272 
016.500-017.000      16      2008 
017.000-017.500       4      1104 
017.500-018.000       0         0 
018.000-018.500       0         0 
018.500-019.000       3       212 
019.000-019.500      10      2724 
019.500-020.000       8      2301 
020.000-020.500      15      1573 
020.500-021.000       4       809 
021.000-021.500       1        80 
021.500-022.000       4       296 
022.000-022.500       5       352 
022.500-023.000       9       612 
023.000-023.500       8      1263 
023.500-024.000      12       862 
024.000-024.500       9      1125 
024.500-025.000       2       136 
025.000-025.500       3       228 
025.500-026.000       4       272 
026.000-026.500       3      1175 
026.500-027.000       1        68 
027.000-027.500      13       892 
027.500-028.000       2       181 
028.000-028.500       4       317 
028.500-029.000       8       589 
029.000-029.500       9       612 
029.500-030.000       6       849 
030.000-030.500       5       364 
030.500-031.000       2       160 
031.000-031.500      17      1156 
031.500-032.000      23      2538 
032.000-032.500       3       220 
032.500-033.000      30     14281 
033.000-033.500      11      5611 
033.500-034.000       2       160 
034.000-034.500       5      1175 
034.500-035.000       2       136 
035.000-035.500       4       272 
035.500-036.000       3       228 
036.000-036.500       4       296 
036.500-037.000       1        68 
037.000-037.500       5       352 
037.500-038.000      12       816 
038.000-038.500       3       204 
038.500-039.000       3       216 
039.000-039.500       4       272 
039.500-040.000       5      2387 
