
==================================
| IO Statistics                  |
|                                |
| Interval size: 0.5 secs        |
| Col 1: Frames and bytes        |
|--------------------------------|
|              |1                |
| Interval
| Interval     | Frames |  Bytes |
|--------------------------------|
|  0.0 <>  0.5 |      5 |    406 |
|  0.5 <>  1.0 |      0 |      0 |
|  1.0 <>  1.5 |      1 |     78 |
|  1.5 <>  2.0 |      0 |      0 |
|  2.0 <>  2.5 |      0 |      0 |
|  2.5 <>  3.0 |      9 |    922 |
|  3.0 <>  3.5 |     49 |  27009 |
|  3.5 <>  4.0 |    167 |  92796 |
|  4.0 <>  4.5 |    154 |  92843 |
|  4.5 <>  5.0 |     44 |  26867 |
|  5.0 <>  5.5 |    158 |  83057 |
|  5.5 <>  6.0 |    101 |  59317 |
|  6.0 <>  6.5 |    180 |  63376 |
|  6.5 <>  7.0 |    164 |  90775 |
|  7.0 <>  7.5 |     64 |  44979 |
|  7.5 <>  8.0 |    174 |  84254 |
|  8.0 <>  8.5 |    190 | 118779 |
|  8.5 <>  9.0 |    252 | 173963 |
|  9.0 <>  9.5 |    173 | 129363 |
|  9.5 <> 10.0 |    100 |  83138 |
| 10.0 <> 10.5 |     66 |  29920 |
| 10.5 <> 11.0 |    108 |  42772 |
| 11.0 <> 11.5 |     73 |  19001 |
| 11.5 <> 12.0 |     64 |  18022 |
| 12.0 <> 12.5 |    167 | 116039 |
| 12.5 <> 13.0 |     54 |  37641 |
| 13.0 <> 13.5 |     34 |   2934 |
| 13.5 <> 14.0 |     76 |  31405 |
| 14.0 <> 14.5 |     41 |  23601 |
| 14.5 <> 15.0 |     30 |  18983 |
| 15.0 <> 15.5 |     11 |   6744 |
| 15.5 <> 16.0 |     79 |  15567 |
| 16.0 <> 16.5 |     12 |   1980 |
| 16.5 <> 17.0 |     15 |   2504 |
| 17.0 <> 17.5 |     14 |   1382 |
| 17.5 <> 18.0 |      2 |    136 |
| 18.0 <> 18.5 |      8 |    562 |
| 18.5 <> 19.0 |    275 | 139332 |
| 19.0 <> 19.5 |    121 |  79191 |
| 19.5 <> 20.0 |      3 |    204 |
| 20.0 <> 20.5 |      0 |      0 |
| 20.5 <> 21.0 |      3 |    204 |
| 21.0 <> 21.5 |      0 |      0 |
| 21.5 <> 22.0 |      0 |      0 |
| 22.0 <> 22.5 |      0 |      0 |
| 22.5 <> 23.0 |     50 |   3400 |
| 23.0 <> 23.5 |     22 |   1496 |
| 23.5 <> 24.0 |      4 |    986 |
| 24.0 <> 24.5 |      4 |    886 |
| 24.5 <> 25.2 |     12 |    844 |
==================================
