
===================================================================
IO Statistics
Interval: 0.500 secs
Column #0: ip.dst==223.181.32.61
                |   Column #0    
Time            |frames|  bytes  
000.000-000.500       3       258 
000.500-001.000       0         0 
001.000-001.500       0         0 
001.500-002.000       0         0 
002.000-002.500       0         0 
002.500-003.000       4       521 
003.000-003.500      21     22651 
003.500-004.000      81     76371 
004.000-004.500      79     85629 
004.500-005.000      21     23861 
005.000-005.500      67     57999 
005.500-006.000      48     48386 
006.000-006.500      74     40970 
006.500-007.000      85     82042 
007.000-007.500      28     39260 
007.500-008.000      76     60638 
008.000-008.500      94     90702 
008.500-009.000     129    163279 
009.000-009.500     100    115021 
009.500-010.000      64     80690 
010.000-010.500      33     24620 
010.500-011.000      48     36161 
011.000-011.500      30     12827 
011.500-012.000      27     10858 
012.000-012.500      90    106105 
012.500-013.000      32     35597 
013.000-013.500      10      1177 
013.500-014.000      35     24417 
014.000-014.500      21     21269 
014.500-015.000      15     17963 
015.000-015.500       5      6299 
015.500-016.000      30     10285 
016.000-016.500       7       810 
016.500-017.000       5      1057 
017.000-017.500       7       869 
017.500-018.000       1        68 
018.000-018.500       2       136 
018.500-019.000     120     99336 
019.000-019.500      67     75519 
019.500-020.000       1        68 
020.000-020.500       0         0 
020.500-021.000       1        68 
021.000-021.500       0         0 
021.500-022.000       0         0 
022.000-022.500       0         0 
022.500-023.000      13       884 
023.000-023.500      11       748 
023.500-024.000       1        76 
024.000-024.500       2       750 
024.500-025.000       5       404 
025.000-025.500       1        68 
===================================================================
