
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: ip.src==223.181.32.61  |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |      2 |   148 |
|  0.5 <>  1.0 |      0 |     0 |
|  1.0 <>  1.5 |      1 |    78 |
|  1.5 <>  2.0 |      0 |     0 |
|  2.0 <>  2.5 |      0 |     0 |
|  2.5 <>  3.0 |      5 |   401 |
|  3.0 <>  3.5 |     28 |  4358 |
|  3.5 <>  4.0 |     86 | 16425 |
|  4.0 <>  4.5 |     75 |  7214 |
|  4.5 <>  5.0 |     23 |  3006 |
|  5.0 <>  5.5 |     91 | 25058 |
|  5.5 <>  6.0 |     53 | 10931 |
|  6.0 <>  6.5 |    106 | 22406 |
|  6.5 <>  7.0 |     79 |  8733 |
|  7.0 <>  7.5 |     36 |  5719 |
|  7.5 <>  8.0 |     98 | 23616 |
|  8.0 <>  8.5 |     96 | 28077 |
|  8.5 <>  9.0 |    123 | 10684 |
|  9.0 <>  9.5 |     73 | 14342 |
|  9.5 <> 10.0 |     36 |  2448 |
| 10.0 <> 10.5 |     33 |  5300 |
| 10.5 <> 11.0 |     60 |  6611 |
| 11.0 <> 11.5 |     43 |  6174 |
| 11.5 <> 12.0 |     37 |  7164 |
| 12.0 <> 12.5 |     77 |  9934 |
| 12.5 <> 13.0 |     22 |  2044 |
| 13.0 <> 13.5 |     24 |  1757 |
| 13.5 <> 14.0 |     41 |  6988 |
| 14.0 <> 14.5 |     20 |  2332 |
| 14.5 <> 15.0 |     15 |  1020 |
| 15.0 <> 15.5 |      6 |   445 |
| 15.5 <> 16.0 |     49 |  5282 |
| 16.0 <> 16.5 |      5 |  1170 |
| 16.5 <> 17.0 |     10 |  1447 |
| 17.0 <> 17.5 |      7 |   513 |
| 17.5 <> 18.0 |      1 |    68 |
| 18.0 <> 18.5 |      6 |   426 |
| 18.5 <> 19.0 |    155 | 39996 |
| 19.0 <> 19.5 |     54 |  3672 |
| 19.5 <> 20.0 |      2 |   136 |
| 20.0 <> 20.5 |      0 |     0 |
| 20.5 <> 21.0 |      2 |   136 |
| 21.0 <> 21.5 |      0 |     0 |
| 21.5 <> 22.0 |      0 |     0 |
| 22.0 <> 22.5 |      0 |     0 |
| 22.5 <> 23.0 |     37 |  2516 |
| 23.0 <> 23.5 |     11 |   748 |
| 23.5 <> 24.0 |      3 |   910 |
| 24.0 <> 24.5 |      2 |   136 |
| 24.5 <> 25.2 |      7 |   440 |
=================================
