
==================================
| IO Statistics                  |
|                                |
| Interval size: 0.5 secs        |
| Col 1: Frames and bytes        |
|--------------------------------|
|              |1                |
| Interval
| Interval     | Frames |  Bytes |
|--------------------------------|
|  0.0 <>  0.5 |     18 |   7316 |
|  0.5 <>  1.0 |    106 |  62302 |
|  1.0 <>  1.5 |    184 |  98810 |
|  1.5 <>  2.0 |     66 |  39276 |
|  2.0 <>  2.5 |     57 |  28701 |
|  2.5 <>  3.0 |    188 | 104926 |
|  3.0 <>  3.5 |    237 |  87539 |
|  3.5 <>  4.0 |    216 | 120705 |
|  4.0 <>  4.5 |    239 | 132818 |
|  4.5 <>  5.0 |    272 | 156052 |
|  5.0 <>  5.5 |    162 | 109795 |
|  5.5 <>  6.0 |    117 |  76840 |
|  6.0 <>  6.5 |     89 |  46796 |
|  6.5 <>  7.0 |     99 |  20094 |
|  7.0 <>  7.5 |     60 |  10529 |
|  7.5 <>  8.0 |    202 | 122716 |
|  8.0 <>  8.5 |     72 |  37023 |
|  8.5 <>  9.0 |     44 |  10773 |
|  9.0 <>  9.5 |    107 |  64165 |
|  9.5 <> 10.0 |     59 |  12795 |
| 10.0 <> 10.5 |     26 |  10750 |
| 10.5 <> 11.0 |     27 |   3902 |
| 11.0 <> 11.5 |     23 |   2503 |
| 11.5 <> 12.0 |      5 |    343 |
| 12.0 <> 12.5 |      0 |      0 |
| 12.5 <> 13.0 |     10 |    698 |
| 13.0 <> 13.5 |    246 |  98725 |
| 13.5 <> 14.0 |    159 | 103044 |
| 14.0 <> 14.5 |      2 |    144 |
| 14.5 <> 15.0 |      0 |      0 |
| 15.0 <> 15.5 |      1 |     68 |
| 15.5 <> 16.0 |      2 |    136 |
| 16.0 <> 16.5 |      0 |      0 |
| 16.5 <> 17.0 |      0 |      0 |
| 17.0 <> 17.5 |     24 |   1632 |
| 17.5 <> 18.0 |     48 |   3264 |
| 18.0 <> 18.8 |      2 |    136 |
==================================
