
==================================
| IO Statistics                  |
|                                |
| Interval size: 0.5 secs        |
| Col 1: ip.dst==106.211.24.248  |
|--------------------------------|
|              |1                |
| Interval
| Interval     | Frames |  Bytes |
|--------------------------------|
|  0.0 <>  0.5 |      8 |   6169 |
|  0.5 <>  1.0 |     47 |  54550 |
|  1.0 <>  1.5 |     92 |  88973 |
|  1.5 <>  2.0 |     32 |  34233 |
|  2.0 <>  2.5 |     19 |  22038 |
|  2.5 <>  3.0 |     95 |  90515 |
|  3.0 <>  3.5 |    102 |  65231 |
|  3.5 <>  4.0 |    103 | 105138 |
|  4.0 <>  4.5 |    101 | 106717 |
|  4.5 <>  5.0 |    127 | 141988 |
|  5.0 <>  5.5 |     89 |  98701 |
|  5.5 <>  6.0 |     62 |  71525 |
|  6.0 <>  6.5 |     48 |  42136 |
|  6.5 <>  7.0 |     40 |  13596 |
|  7.0 <>  7.5 |     21 |   5456 |
|  7.5 <>  8.0 |    108 | 111589 |
|  8.0 <>  8.5 |     38 |  34138 |
|  8.5 <>  9.0 |     17 |   6736 |
|  9.0 <>  9.5 |     54 |  56587 |
|  9.5 <> 10.0 |     29 |  10281 |
| 10.0 <> 10.5 |     13 |   8954 |
| 10.5 <> 11.0 |     11 |   1909 |
| 11.0 <> 11.5 |      9 |    813 |
| 11.5 <> 12.0 |      3 |    231 |
| 12.0 <> 12.5 |      0 |      0 |
| 12.5 <> 13.0 |      1 |     68 |
| 13.0 <> 13.5 |    105 |  75508 |
| 13.5 <> 14.0 |     88 |  98240 |
| 14.0 <> 14.5 |      1 |     76 |
| 14.5 <> 15.0 |      0 |      0 |
| 15.0 <> 15.5 |      0 |      0 |
| 15.5 <> 16.0 |      1 |     68 |
| 16.0 <> 16.5 |      0 |      0 |
| 16.5 <> 17.0 |      0 |      0 |
| 17.0 <> 17.5 |      0 |      0 |
| 17.5 <> 18.0 |     24 |   1632 |
| 18.0 <> 18.8 |      0 |      0 |
==================================
