
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: ip.src==106.211.24.248 |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |     10 |  1147 |
|  0.5 <>  1.0 |     59 |  7752 |
|  1.0 <>  1.5 |     92 |  9837 |
|  1.5 <>  2.0 |     34 |  5043 |
|  2.0 <>  2.5 |     38 |  6663 |
|  2.5 <>  3.0 |     93 | 14411 |
|  3.0 <>  3.5 |    135 | 22308 |
|  3.5 <>  4.0 |    113 | 15567 |
|  4.0 <>  4.5 |    138 | 26101 |
|  4.5 <>  5.0 |    145 | 14064 |
|  5.0 <>  5.5 |     73 | 11094 |
|  5.5 <>  6.0 |     55 |  5315 |
|  6.0 <>  6.5 |     41 |  4660 |
|  6.5 <>  7.0 |     59 |  6498 |
|  7.0 <>  7.5 |     39 |  5073 |
|  7.5 <>  8.0 |     94 | 11127 |
|  8.0 <>  8.5 |     34 |  2885 |
|  8.5 <>  9.0 |     27 |  4037 |
|  9.0 <>  9.5 |     53 |  7578 |
|  9.5 <> 10.0 |     30 |  2514 |
| 10.0 <> 10.5 |     13 |  1796 |
| 10.5 <> 11.0 |     16 |  1993 |
| 11.0 <> 11.5 |     14 |  1690 |
| 11.5 <> 12.0 |      2 |   112 |
| 12.0 <> 12.5 |      0 |     0 |
| 12.5 <> 13.0 |      9 |   630 |
| 13.0 <> 13.5 |    141 | 23217 |
| 13.5 <> 14.0 |     71 |  4804 |
| 14.0 <> 14.5 |      1 |    68 |
| 14.5 <> 15.0 |      0 |     0 |
| 15.0 <> 15.5 |      1 |    68 |
| 15.5 <> 16.0 |      1 |    68 |
| 16.0 <> 16.5 |      0 |     0 |
| 16.5 <> 17.0 |      0 |     0 |
| 17.0 <> 17.5 |     24 |  1632 |
| 17.5 <> 18.0 |     24 |  1632 |
| 18.0 <> 18.8 |      2 |   136 |
=================================
