
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: Frames and bytes       |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |      6 |  1012 |
|  0.5 <>  1.0 |     10 |  6582 |
|  1.0 <>  1.5 |     29 | 10753 |
|  1.5 <>  2.0 |     12 |  5423 |
|  2.0 <>  2.5 |     20 | 12324 |
|  2.5 <>  3.0 |     13 |  6914 |
|  3.0 <>  3.5 |     11 |  7019 |
|  3.5 <>  4.0 |     25 | 15585 |
|  4.0 <>  4.5 |     32 | 12749 |
|  4.5 <>  5.0 |      8 |  5237 |
|  5.0 <>  5.5 |     20 | 10522 |
|  5.5 <>  6.0 |     49 | 16272 |
|  6.0 <>  6.5 |     20 |  4728 |
|  6.5 <>  7.0 |     17 | 10182 |
|  7.0 <>  7.5 |     44 | 22708 |
|  7.5 <>  8.0 |     19 |  7032 |
|  8.0 <>  8.5 |     39 | 17240 |
|  8.5 <>  9.0 |     26 | 13932 |
|  9.0 <>  9.5 |     24 | 14545 |
|  9.5 <> 10.0 |     41 | 31122 |
| 10.0 <> 10.5 |     49 | 30609 |
| 10.5 <> 11.0 |     14 | 10029 |
| 11.0 <> 11.5 |      0 |     0 |
| 11.5 <> 12.0 |    118 | 92860 |
| 12.0 <> 12.5 |     11 |  2666 |
| 12.5 <> 13.0 |     58 | 21323 |
| 13.0 <> 13.5 |    100 | 39434 |
| 13.5 <> 14.0 |    107 | 68168 |
| 14.0 <> 14.5 |     32 | 23041 |
| 14.5 <> 15.0 |     12 |  6947 |
| 15.0 <> 15.5 |     29 | 18547 |
| 15.5 <> 16.0 |     29 |  8946 |
| 16.0 <> 16.5 |     22 | 12440 |
| 16.5 <> 17.0 |     11 |  7612 |
| 17.0 <> 17.5 |      5 |  2162 |
| 17.5 <> 18.0 |     12 |   816 |
| 18.0 <> 18.5 |      7 |   476 |
| 18.5 <> 19.0 |     27 | 17566 |
| 19.0 <> 19.5 |     64 | 18435 |
| 19.5 <> 20.0 |     78 | 30387 |
| 20.0 <> 20.5 |      9 |  3535 |
| 20.5 <> 21.0 |     56 | 25440 |
| 21.0 <> 21.5 |     54 | 30485 |
| 21.5 <> 22.0 |     47 | 32827 |
| 22.0 <> 22.5 |     39 | 25322 |
| 22.5 <> 23.0 |     32 | 10878 |
| 23.0 <> 23.5 |     18 |  7052 |
| 23.5 <> 24.0 |     12 |  6647 |
| 24.0 <> 24.5 |      9 |   687 |
| 24.5 <> 25.0 |      9 |   858 |
| 25.0 <> 25.5 |      8 |  3775 |
| 25.5 <> 26.0 |      9 |  1811 |
| 26.0 <> 26.5 |      0 |     0 |
| 26.5 <> 27.0 |     18 |  1368 |
| 27.0 <> 27.5 |     14 |  2130 |
| 27.5 <> 28.0 |     60 | 12593 |
| 28.0 <> 28.5 |      7 |   476 |
| 28.5 <> 29.0 |     22 | 10223 |
| 29.0 <> 29.5 |     67 | 36206 |
| 29.5 <> 30.0 |     76 | 49376 |
| 30.0 <> 30.5 |      0 |     0 |
| 30.5 <> 31.0 |      3 |   204 |
| 31.0 <> 31.5 |      3 |   204 |
| 31.5 <> 32.0 |      1 |    56 |
| 32.0 <> 32.5 |      1 |    56 |
| 32.5 <> 33.0 |      0 |     0 |
| 33.0 <> 33.9 |     51 |  3468 |
=================================
