
===================================
| IO Statistics                   |
|                                 |
| Interval size: 0.5 secs         |
| Col 1: ip.dst==223.188.105.168  |
|---------------------------------|
|              |1               | |
| Interval
| Interval     | Frames | Bytes | |
|-------------------------------| |
|  0.0 <>  0.5 |      2 |   281 | |
|  0.5 <>  1.0 |      5 |  5812 | |
|  1.0 <>  1.5 |     11 |  7640 | |
|  1.5 <>  2.0 |      5 |  4460 | |
|  2.0 <>  2.5 |     11 | 11700 | |
|  2.5 <>  3.0 |      6 |  5060 | |
|  3.0 <>  3.5 |      6 |  6667 | |
|  3.5 <>  4.0 |     14 | 14837 | |
|  4.0 <>  4.5 |      6 |  8616 | |
|  4.5 <>  5.0 |      3 |  4010 | |
|  5.0 <>  5.5 |     10 |  8974 | |
|  5.5 <>  6.0 |     20 |  9679 | |
|  6.0 <>  6.5 |      8 |  2143 | |
|  6.5 <>  7.0 |      9 |  8747 | |
|  7.0 <>  7.5 |     22 | 18949 | |
|  7.5 <>  8.0 |      9 |  4401 | |
|  8.0 <>  8.5 |     19 | 12655 | |
|  8.5 <>  9.0 |     13 | 10666 | |
|  9.0 <>  9.5 |     12 | 11496 | |
|  9.5 <> 10.0 |     25 | 28665 | |
| 10.0 <> 10.5 |     23 | 28307 | |
| 10.5 <> 11.0 |      8 |  9167 | |
| 11.0 <> 11.5 |      0 |     0 | |
| 11.5 <> 12.0 |     68 | 89134 | |
| 12.0 <> 12.5 |      1 |   318 | |
| 12.5 <> 13.0 |     24 | 16498 | |
| 13.0 <> 13.5 |     39 | 28669 | |
| 13.5 <> 14.0 |     57 | 59132 | |
| 14.0 <> 14.5 |     16 | 21454 | |
| 14.5 <> 15.0 |      6 |  6025 | |
| 15.0 <> 15.5 |     17 | 16906 | |
| 15.5 <> 16.0 |      7 |  7378 | |
| 16.0 <> 16.5 |     10 | 11624 | |
| 16.5 <> 17.0 |      5 |  7180 | |
| 17.0 <> 17.5 |      2 |  1504 | |
| 17.5 <> 18.0 |      1 |    68 | |
| 18.0 <> 18.5 |      0 |     0 | |
| 18.5 <> 19.0 |     15 | 16068 | |
| 19.0 <> 19.5 |     35 | 16463 | |
| 19.5 <> 20.0 |     43 | 27332 | |
| 20.0 <> 20.5 |      4 |  3171 | |
| 20.5 <> 21.0 |     25 | 21235 | |
| 21.0 <> 21.5 |     28 | 27000 | |
| 21.5 <> 22.0 |     26 | 28229 | |
| 22.0 <> 22.5 |     22 | 24117 | |
| 22.5 <> 23.0 |     13 |  8894 | |
| 23.0 <> 23.5 |      8 |  6190 | |
| 23.5 <> 24.0 |      5 |  5550 | |
| 24.0 <> 24.5 |      3 |   272 | |
| 24.5 <> 25.0 |      4 |   333 | |
| 25.0 <> 25.5 |      3 |  3249 | |
| 25.5 <> 26.0 |      3 |   251 | |
| 26.0 <> 26.5 |      0 |     0 | |
| 26.5 <> 27.0 |      0 |     0 | |
| 27.0 <> 27.5 |      6 |   482 | |
| 27.5 <> 28.0 |     21 |  1814 | |
| 28.0 <> 28.5 |      3 |   204 | |
| 28.5 <> 29.0 |     11 |  8175 | |
| 29.0 <> 29.5 |     39 | 33868 | |
| 29.5 <> 30.0 |     43 | 47132 | |
| 30.0 <> 30.5 |      0 |     0 | |
| 30.5 <> 31.0 |      2 |   136 | |
| 31.0 <> 31.5 |      1 |    68 | |
| 31.5 <> 32.0 |      0 |     0 | |
| 32.0 <> 32.5 |      1 |    56 | |
| 32.5 <> 33.0 |      0 |     0 | |
| 33.0 <> 33.9 |     17 |  1156 | |
===================================
