
===================================
| IO Statistics                   |
|                                 |
| Interval size: 0.5 secs         |
| Col 1: ip.src==223.188.105.168  |
|---------------------------------|
|              |1               | |
| Interval
| Interval     | Frames | Bytes | |
|-------------------------------| |
|  0.0 <>  0.5 |      4 |   731 | |
|  0.5 <>  1.0 |      5 |   770 | |
|  1.0 <>  1.5 |     18 |  3113 | |
|  1.5 <>  2.0 |      7 |   963 | |
|  2.0 <>  2.5 |      9 |   624 | |
|  2.5 <>  3.0 |      7 |  1854 | |
|  3.0 <>  3.5 |      5 |   352 | |
|  3.5 <>  4.0 |     11 |   748 | |
|  4.0 <>  4.5 |     26 |  4133 | |
|  4.5 <>  5.0 |      5 |  1227 | |
|  5.0 <>  5.5 |     10 |  1548 | |
|  5.5 <>  6.0 |     29 |  6593 | |
|  6.0 <>  6.5 |     12 |  2585 | |
|  6.5 <>  7.0 |      8 |  1435 | |
|  7.0 <>  7.5 |     22 |  3759 | |
|  7.5 <>  8.0 |     10 |  2631 | |
|  8.0 <>  8.5 |     20 |  4585 | |
|  8.5 <>  9.0 |     13 |  3266 | |
|  9.0 <>  9.5 |     12 |  3049 | |
|  9.5 <> 10.0 |     16 |  2457 | |
| 10.0 <> 10.5 |     26 |  2302 | |
| 10.5 <> 11.0 |      6 |   862 | |
| 11.0 <> 11.5 |      0 |     0 | |
| 11.5 <> 12.0 |     50 |  3726 | |
| 12.0 <> 12.5 |     10 |  2348 | |
| 12.5 <> 13.0 |     34 |  4825 | |
| 13.0 <> 13.5 |     61 | 10765 | |
| 13.5 <> 14.0 |     50 |  9036 | |
| 14.0 <> 14.5 |     16 |  1587 | |
| 14.5 <> 15.0 |      6 |   922 | |
| 15.0 <> 15.5 |     12 |  1641 | |
| 15.5 <> 16.0 |     22 |  1568 | |
| 16.0 <> 16.5 |     12 |   816 | |
| 16.5 <> 17.0 |      6 |   432 | |
| 17.0 <> 17.5 |      3 |   658 | |
| 17.5 <> 18.0 |     11 |   748 | |
| 18.0 <> 18.5 |      7 |   476 | |
| 18.5 <> 19.0 |     12 |  1498 | |
| 19.0 <> 19.5 |     29 |  1972 | |
| 19.5 <> 20.0 |     35 |  3055 | |
| 20.0 <> 20.5 |      5 |   364 | |
| 20.5 <> 21.0 |     31 |  4205 | |
| 21.0 <> 21.5 |     26 |  3485 | |
| 21.5 <> 22.0 |     21 |  4598 | |
| 22.0 <> 22.5 |     17 |  1205 | |
| 22.5 <> 23.0 |     19 |  1984 | |
| 23.0 <> 23.5 |     10 |   862 | |
| 23.5 <> 24.0 |      7 |  1097 | |
| 24.0 <> 24.5 |      6 |   415 | |
| 24.5 <> 25.0 |      5 |   525 | |
| 25.0 <> 25.5 |      5 |   526 | |
| 25.5 <> 26.0 |      6 |  1560 | |
| 26.0 <> 26.5 |      0 |     0 | |
| 26.5 <> 27.0 |     18 |  1368 | |
| 27.0 <> 27.5 |      8 |  1648 | |
| 27.5 <> 28.0 |     39 | 10779 | |
| 28.0 <> 28.5 |      4 |   272 | |
| 28.5 <> 29.0 |     11 |  2048 | |
| 29.0 <> 29.5 |     28 |  2338 | |
| 29.5 <> 30.0 |     33 |  2244 | |
| 30.0 <> 30.5 |      0 |     0 | |
| 30.5 <> 31.0 |      1 |    68 | |
| 31.0 <> 31.5 |      2 |   136 | |
| 31.5 <> 32.0 |      1 |    56 | |
| 32.0 <> 32.5 |      0 |     0 | |
| 32.5 <> 33.0 |      0 |     0 | |
| 33.0 <> 33.9 |     34 |  2312 | |
===================================
