
==================================
| IO Statistics                  |
|                                |
| Interval size: 0.5 secs        |
| Col 1: Frames and bytes        |
|--------------------------------|
|              |1                |
| Interval
| Interval     | Frames |  Bytes |
|--------------------------------|
|  0.0 <>  0.5 |      5 |    788 |
|  0.5 <>  1.0 |      8 |   1199 |
|  1.0 <>  1.5 |      4 |    801 |
|  1.5 <>  2.0 |      1 |     56 |
|  2.0 <>  2.5 |      8 |   2444 |
|  2.5 <>  3.0 |     13 |   1852 |
|  3.0 <>  3.5 |     15 |   1817 |
|  3.5 <>  4.0 |      9 |   2298 |
|  4.0 <>  4.5 |     24 |  16348 |
|  4.5 <>  5.0 |      4 |   2790 |
|  5.0 <>  5.5 |      8 |    508 |
|  5.5 <>  6.0 |      0 |      0 |
|  6.0 <>  6.5 |      0 |      0 |
|  6.5 <>  7.0 |      0 |      0 |
|  7.0 <>  7.5 |      3 |    180 |
|  7.5 <>  8.0 |      1 |     78 |
|  8.0 <>  8.5 |     15 |   2241 |
|  8.5 <>  9.0 |     12 |   3033 |
|  9.0 <>  9.5 |     10 |   2770 |
|  9.5 <> 10.0 |      1 |    324 |
| 10.0 <> 10.5 |     12 |   2535 |
| 10.5 <> 11.0 |      2 |    998 |
| 11.0 <> 11.5 |      0 |      0 |
| 11.5 <> 12.0 |      6 |   1389 |
| 12.0 <> 12.5 |    109 |  64410 |
| 12.5 <> 13.0 |    200 | 104802 |
| 13.0 <> 13.5 |     67 |  31734 |
| 13.5 <> 14.0 |     10 |   4605 |
| 14.0 <> 14.5 |      1 |    943 |
| 14.5 <> 15.0 |      4 |   1691 |
| 15.0 <> 15.5 |      0 |      0 |
| 15.5 <> 16.0 |      2 |   1011 |
| 16.0 <> 16.5 |      2 |   1555 |
| 16.5 <> 17.0 |     28 |   1932 |
| 17.0 <> 17.5 |      9 |    632 |
| 17.5 <> 18.0 |      9 |   1487 |
| 18.0 <> 18.5 |      6 |    408 |
| 18.5 <> 19.0 |      7 |   1224 |
| 19.0 <> 19.5 |     93 |  10500 |
| 19.5 <> 20.0 |    110 |  56846 |
| 20.0 <> 20.5 |    117 |  69783 |
| 20.5 <> 21.0 |    153 |  81177 |
| 21.0 <> 21.5 |    158 | 104330 |
| 21.5 <> 22.0 |     86 |  40809 |
| 22.0 <> 22.5 |     91 |  42789 |
| 22.5 <> 23.0 |     67 |  34605 |
| 23.0 <> 23.5 |     61 |  39716 |
| 23.5 <> 24.0 |     93 |  31179 |
| 24.0 <> 24.5 |    126 |  75468 |
| 24.5 <> 25.0 |    228 | 118954 |
| 25.0 <> 25.5 |    173 | 109200 |
| 25.5 <> 26.0 |    134 | 103739 |
| 26.0 <> 26.5 |     67 |  50450 |
| 26.5 <> 27.0 |    155 |  72686 |
| 27.0 <> 27.5 |     90 |  42076 |
| 27.5 <> 28.0 |     77 |  20204 |
| 28.0 <> 28.5 |    163 | 103334 |
| 28.5 <> 29.0 |     76 |  47967 |
| 29.0 <> 29.5 |     26 |   2390 |
| 29.5 <> 30.0 |     69 |  26910 |
| 30.0 <> 30.5 |     46 |  30452 |
| 30.5 <> 31.0 |     36 |  24038 |
| 31.0 <> 31.5 |     51 |   7560 |
| 31.5 <> 32.0 |     28 |   7956 |
| 32.0 <> 32.5 |     32 |   4010 |
| 32.5 <> 33.0 |      6 |   1065 |
| 33.0 <> 33.5 |     15 |   2670 |
| 33.5 <> 34.0 |     29 |   4825 |
| 34.0 <> 34.5 |      6 |   1408 |
| 34.5 <> 35.0 |      0 |      0 |
| 35.0 <> 35.5 |      6 |    482 |
| 35.5 <> 36.0 |      2 |    425 |
| 36.0 <> 36.5 |      4 |    272 |
| 36.5 <> 37.0 |      0 |      0 |
| 37.0 <> 37.5 |      2 |    144 |
| 37.5 <> 38.0 |     24 |   4412 |
| 38.0 <> 38.5 |     21 |   1874 |
| 38.5 <> 39.0 |      0 |      0 |
| 39.0 <> 39.5 |      0 |      0 |
| 39.5 <> 40.3 |      4 |    299 |
==================================
