
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: ip.src==106.204.32.66  |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |      2 |   673 |
|  0.5 <>  1.0 |      0 |     0 |
|  1.0 <>  1.5 |      4 |   248 |
|  1.5 <>  2.0 |     10 |  1103 |
|  2.0 <>  2.5 |      2 |   424 |
|  2.5 <>  3.0 |      2 |   136 |
|  3.0 <>  3.5 |      0 |     0 |
|  3.5 <>  4.0 |      2 |   136 |
|  4.0 <>  4.5 |      0 |     0 |
|  4.5 <>  5.0 |      0 |     0 |
|  5.0 <>  5.5 |      0 |     0 |
|  5.5 <>  6.0 |      0 |     0 |
|  6.0 <>  6.5 |      0 |     0 |
|  6.5 <>  7.0 |      0 |     0 |
|  7.0 <>  7.5 |      0 |     0 |
|  7.5 <>  8.0 |      0 |     0 |
|  8.0 <>  8.5 |      0 |     0 |
|  8.5 <>  9.0 |      1 |    76 |
|  9.0 <>  9.5 |      4 |   775 |
|  9.5 <> 10.0 |      3 |   457 |
| 10.0 <> 10.5 |      3 |   544 |
| 10.5 <> 11.0 |      1 |    89 |
| 11.0 <> 11.5 |     59 | 12715 |
| 11.5 <> 12.0 |    100 | 12591 |
| 12.0 <> 12.5 |     47 |  5306 |
| 12.5 <> 13.0 |    121 | 25783 |
| 13.0 <> 13.5 |     62 | 11519 |
| 13.5 <> 14.0 |     43 |  7134 |
| 14.0 <> 14.5 |     37 |  3209 |
| 14.5 <> 15.0 |    111 | 22300 |
| 15.0 <> 15.5 |    125 | 22898 |
| 15.5 <> 16.0 |     68 | 11748 |
| 16.0 <> 16.5 |     45 |  4632 |
| 16.5 <> 17.0 |     22 |  2755 |
| 17.0 <> 17.5 |     51 |  7643 |
| 17.5 <> 18.0 |     38 |  4655 |
| 18.0 <> 18.5 |    116 | 16382 |
| 18.5 <> 19.0 |     24 |  2180 |
| 19.0 <> 19.5 |     24 |  2478 |
| 19.5 <> 20.0 |     40 |  6124 |
| 20.0 <> 20.5 |      9 |  1205 |
| 20.5 <> 21.0 |     13 |   884 |
| 21.0 <> 21.5 |     33 |  3252 |
| 21.5 <> 22.0 |     23 |  2423 |
| 22.0 <> 22.5 |     10 |  1376 |
| 22.5 <> 23.0 |      8 |  1289 |
| 23.0 <> 23.5 |      3 |   241 |
| 23.5 <> 24.0 |      6 |   408 |
| 24.0 <> 24.5 |      2 |   136 |
| 24.5 <> 25.0 |      0 |     0 |
| 25.0 <> 25.5 |      3 |   212 |
| 25.5 <> 26.0 |      5 |  1039 |
| 26.0 <> 26.5 |      4 |   272 |
=================================
