
==================================
| IO Statistics                  |
|                                |
| Interval size: 0.5 secs        |
| Col 1: ip.dst==106.204.32.66   |
|--------------------------------|
|              |1                |
| Interval
| Interval     | Frames |  Bytes |
|--------------------------------|
|  0.0 <>  0.5 |      7 |   2406 |
|  0.5 <>  1.0 |      7 |   1154 |
|  1.0 <>  1.5 |      1 |     56 |
|  1.5 <>  2.0 |      0 |      0 |
|  2.0 <>  2.5 |      1 |     76 |
|  2.5 <>  3.0 |      1 |     68 |
|  3.0 <>  3.5 |      1 |     68 |
|  3.5 <>  4.0 |      0 |      0 |
|  4.0 <>  4.5 |      0 |      0 |
|  4.5 <>  5.0 |      0 |      0 |
|  5.0 <>  5.5 |      2 |    124 |
|  5.5 <>  6.0 |      0 |      0 |
|  6.0 <>  6.5 |      0 |      0 |
|  6.5 <>  7.0 |      0 |      0 |
|  7.0 <>  7.5 |      0 |      0 |
|  7.5 <>  8.0 |      0 |      0 |
|  8.0 <>  8.5 |      2 |    144 |
|  8.5 <>  9.0 |      4 |   1923 |
|  9.0 <>  9.5 |      5 |    993 |
|  9.5 <> 10.0 |      0 |      0 |
| 10.0 <> 10.5 |      2 |    281 |
| 10.5 <> 11.0 |     34 |  39296 |
| 11.0 <> 11.5 |     95 |  94249 |
| 11.5 <> 12.0 |     67 |  73378 |
| 12.0 <> 12.5 |    123 | 133909 |
| 12.5 <> 13.0 |     38 |  31024 |
| 13.0 <> 13.5 |     42 |  41793 |
| 13.5 <> 14.0 |     20 |  14717 |
| 14.0 <> 14.5 |     41 |  56560 |
| 14.5 <> 15.0 |     59 |  42940 |
| 15.0 <> 15.5 |    123 | 133299 |
| 15.5 <> 16.0 |    122 | 151303 |
| 16.0 <> 16.5 |     83 | 100558 |
| 16.5 <> 17.0 |      4 |   3847 |
| 17.0 <> 17.5 |     72 |  67167 |
| 17.5 <> 18.0 |     30 |  17184 |
| 18.0 <> 18.5 |     36 |  28033 |
| 18.5 <> 19.0 |     99 | 103597 |
| 19.0 <> 19.5 |     35 |  39840 |
| 19.5 <> 20.0 |      5 |    588 |
| 20.0 <> 20.5 |     18 |   9745 |
| 20.5 <> 21.0 |     33 |  27698 |
| 21.0 <> 21.5 |     26 |  12950 |
| 21.5 <> 22.0 |     23 |  24442 |
| 22.0 <> 22.5 |     15 |   7281 |
| 22.5 <> 23.0 |      4 |   2264 |
| 23.0 <> 23.5 |     15 |   2062 |
| 23.5 <> 24.0 |      5 |    541 |
| 24.0 <> 24.5 |      1 |     68 |
| 24.5 <> 25.0 |      2 |    173 |
| 25.0 <> 25.5 |      7 |    476 |
| 25.5 <> 26.0 |      0 |      0 |
| 26.0 <> 26.5 |      0 |      0 |
| 26.5 <> 27.0 |      1 |     76 |
| 27.0 <> 27.5 |      2 |    727 |
| 27.5 <> 28.0 |      6 |    472 |
==================================
