
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: ip.dst==106.204.32.66  |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |      0 |     0 |
|  0.5 <>  1.0 |      0 |     0 |
|  1.0 <>  1.5 |      2 |   221 |
|  1.5 <>  2.0 |      1 |    60 |
|  2.0 <>  2.5 |      0 |     0 |
|  2.5 <>  3.0 |      3 |   653 |
|  3.0 <>  3.5 |      0 |     0 |
|  3.5 <>  4.0 |      2 |   277 |
|  4.0 <>  4.5 |      0 |     0 |
|  4.5 <>  5.0 |      1 |    60 |
|  5.0 <>  5.5 |      1 |    56 |
|  5.5 <>  6.0 |      0 |     0 |
|  6.0 <>  6.5 |      0 |     0 |
|  6.5 <>  7.0 |      3 |  1462 |
|  7.0 <>  7.5 |      2 |   179 |
|  7.5 <>  8.0 |      1 |    60 |
|  8.0 <>  8.5 |      3 |   377 |
|  8.5 <>  9.0 |      1 |    56 |
|  9.0 <>  9.5 |      2 |   202 |
|  9.5 <> 10.0 |      1 |    68 |
| 10.0 <> 10.5 |      1 |   747 |
| 10.5 <> 11.0 |      2 |   815 |
| 11.0 <> 11.5 |      2 |   800 |
| 11.5 <> 12.0 |      1 |   205 |
| 12.0 <> 12.5 |      2 |   833 |
| 12.5 <> 13.0 |      2 |   825 |
| 13.0 <> 13.5 |      0 |     0 |
| 13.5 <> 14.0 |      1 |  1436 |
| 14.0 <> 14.5 |      1 |  1436 |
| 14.5 <> 15.0 |      0 |     0 |
| 15.0 <> 15.5 |      1 |  1436 |
| 15.5 <> 16.0 |      1 |  1436 |
| 16.0 <> 16.5 |      1 |  1436 |
| 16.5 <> 17.0 |      0 |     0 |
| 17.0 <> 17.5 |      1 |  1436 |
| 17.5 <> 18.0 |      1 |  1436 |
| 18.0 <> 18.5 |      0 |     0 |
| 18.5 <> 19.0 |     37 | 25916 |
| 19.0 <> 19.5 |     14 | 15859 |
| 19.5 <> 20.0 |      2 |  1031 |
| 20.0 <> 20.5 |      0 |     0 |
| 20.5 <> 21.0 |     12 | 13236 |
| 21.0 <> 21.5 |     31 | 36239 |
| 21.5 <> 22.0 |     20 | 10865 |
| 22.0 <> 22.5 |     23 | 25657 |
| 22.5 <> 23.0 |     17 | 15924 |
| 23.0 <> 23.5 |     29 | 29821 |
| 23.5 <> 24.0 |      6 |  2220 |
| 24.0 <> 24.5 |      0 |     0 |
| 24.5 <> 25.0 |      0 |     0 |
| 25.0 <> 25.5 |      0 |     0 |
| 25.5 <> 26.0 |      0 |     0 |
| 26.0 <> 26.5 |      0 |     0 |
| 26.5 <> 27.0 |      0 |     0 |
| 27.0 <> 27.5 |      0 |     0 |
| 27.5 <> 28.0 |      0 |     0 |
| 28.0 <> 28.5 |      0 |     0 |
| 28.5 <> 29.0 |     21 | 15472 |
| 29.0 <> 29.5 |     29 |  3848 |
| 29.5 <> 30.0 |      7 |  7356 |
| 30.0 <> 30.5 |     25 |  7349 |
| 30.5 <> 31.0 |      8 |  5793 |
| 31.0 <> 31.5 |      3 |  2940 |
| 31.5 <> 32.0 |      5 |  3100 |
| 32.0 <> 32.5 |     30 | 29175 |
| 32.5 <> 33.0 |     15 | 10856 |
| 33.0 <> 33.5 |      5 |  7180 |
| 33.5 <> 34.0 |     18 | 23112 |
| 34.0 <> 34.5 |     14 | 15212 |
| 34.5 <> 35.0 |     17 | 23655 |
| 35.0 <> 35.5 |     14 | 12593 |
| 35.5 <> 36.0 |      0 |     0 |
| 36.0 <> 36.5 |      0 |     0 |
| 36.5 <> 37.0 |      0 |     0 |
| 37.0 <> 37.5 |     11 |  3201 |
| 37.5 <> 38.0 |     12 |  9048 |
| 38.0 <> 38.5 |     10 |  6904 |
| 38.5 <> 39.0 |     15 |  6979 |
| 39.0 <> 39.5 |     18 | 15309 |
| 39.5 <> 40.0 |     22 | 17714 |
| 40.0 <> 40.5 |     25 | 27170 |
| 40.5 <> 41.0 |     37 | 46288 |
| 41.0 <> 41.5 |      8 | 10540 |
| 41.5 <> 42.0 |      4 |  1117 |
| 42.0 <> 42.5 |     13 | 11868 |
| 42.5 <> 43.0 |     23 |  8532 |
| 43.0 <> 43.5 |     37 | 32542 |
| 43.5 <> 44.0 |     19 | 25308 |
| 44.0 <> 44.5 |     22 | 19523 |
| 44.5 <> 45.0 |     17 | 16660 |
| 45.0 <> 45.5 |      1 |    68 |
| 45.5 <> 46.0 |      6 |  3517 |
| 46.0 <> 46.5 |      7 |  2630 |
| 46.5 <> 47.0 |      0 |     0 |
| 47.0 <> 47.5 |      0 |     0 |
| 47.5 <> 48.0 |      0 |     0 |
| 48.0 <> 48.5 |      2 |  1179 |
| 48.5 <> 49.0 |      0 |     0 |
| 49.0 <> 49.5 |      0 |     0 |
| 49.5 <> 50.0 |      0 |     0 |
| 50.0 <> 50.5 |      2 |  2434 |
| 50.5 <> 51.0 |      0 |     0 |
| 51.0 <> 51.5 |      2 |   163 |
| 51.5 <> 52.0 |      0 |     0 |
| 52.0 <> 52.5 |      1 |  1111 |
| 52.5 <> 53.0 |      1 |    95 |
| 53.0 <> 53.5 |      0 |     0 |
| 53.5 <> 54.0 |      0 |     0 |
| 54.0 <> 54.5 |      1 |    80 |
| 54.5 <> 55.0 |      0 |     0 |
| 55.0 <> 55.5 |     12 |  9685 |
| 55.5 <> 56.0 |      2 |   144 |
| 56.0 <> 56.5 |      0 |     0 |
| 56.5 <> 57.0 |     36 | 28591 |
| 57.0 <> 57.5 |     20 | 18343 |
| 57.5 <> 58.0 |      0 |     0 |
| 58.0 <> 58.5 |      1 |    76 |
| 58.5 <> 59.0 |      1 |    76 |
| 59.0 <> 59.5 |      1 |  1436 |
| 59.5 <> 60.0 |      3 |  2037 |
| 60.0 <> 60.5 |      2 |  1512 |
| 60.5 <> 61.0 |     31 |  7544 |
| 61.0 <> 61.5 |     21 | 11100 |
| 61.5 <> 62.0 |     14 | 14845 |
| 62.0 <> 62.5 |     28 | 19166 |
| 62.5 <> 63.0 |     32 | 18768 |
| 63.0 <> 63.5 |     26 | 23939 |
| 63.5 <> 64.0 |     17 | 15612 |
| 64.0 <> 64.5 |     26 | 30409 |
| 64.5 <> 65.0 |     32 | 31118 |
| 65.0 <> 65.5 |     24 | 12390 |
| 65.5 <> 66.0 |     18 |  6338 |
| 66.0 <> 66.5 |     33 | 19176 |
| 66.5 <> 67.0 |     76 | 92429 |
| 67.0 <> 67.5 |      5 |  5188 |
| 67.5 <> 68.0 |      0 |     0 |
| 68.0 <> 68.5 |      1 |  1436 |
| 68.5 <> 69.0 |      0 |     0 |
| 69.0 <> 69.5 |      0 |     0 |
| 69.5 <> 70.0 |      0 |     0 |
| 70.0 <> 70.5 |      1 |  1436 |
| 70.5 <> 71.0 |     55 | 22472 |
| 71.0 <> 71.5 |     45 | 37231 |
| 71.5 <> 72.0 |     17 | 18771 |
| 72.0 <> 72.5 |     20 | 26700 |
| 72.5 <> 73.0 |      2 |   808 |
| 73.0 <> 73.5 |      0 |     0 |
| 73.5 <> 74.0 |      7 |  1520 |
| 74.0 <> 74.5 |      1 |   105 |
| 74.5 <> 75.0 |      0 |     0 |
| 75.0 <> 75.5 |      1 |    68 |
| 75.5 <> 76.0 |      2 |   136 |
| 76.0 <> 76.5 |      0 |     0 |
| 76.5 <> 77.0 |      0 |     0 |
| 77.0 <> 77.5 |      8 |   532 |
| 77.5 <> 78.0 |      0 |     0 |
| 78.0 <> 78.5 |      0 |     0 |
| 78.5 <> 79.0 |      0 |     0 |
| 79.0 <> 79.5 |      0 |     0 |
| 79.5 <> 80.0 |      1 |    68 |
| 80.0 <> 80.5 |      0 |     0 |
| 80.5 <> 81.0 |      0 |     0 |
| 81.0 <> 81.5 |      0 |     0 |
| 81.5 <> 82.0 |     17 |  3466 |
| 82.0 <> 82.5 |      8 |  6629 |
| 82.5 <> 83.0 |      8 |  2903 |
| 83.0 <> 83.5 |      3 |   220 |
| 83.5 <> 84.0 |      5 |  1173 |
| 84.0 <> 84.5 |      4 |   309 |
| 84.5 <> 85.0 |      1 |    68 |
| 85.0 <> 85.5 |      0 |     0 |
| 85.5 <> 86.0 |      0 |     0 |
| 86.0 <> 86.5 |      0 |     0 |
| 86.5 <> 87.0 |      0 |     0 |
| 87.0 <> 87.5 |      0 |     0 |
| 87.5 <> 88.0 |      0 |     0 |
| 88.0 <> 88.5 |     62 | 32159 |
| 88.5 <> 89.0 |     38 | 33982 |
| 89.0 <> 89.5 |     64 | 70653 |
| 89.5 <> 90.0 |      0 |     0 |
| 90.0 <> 90.5 |      1 |    68 |
| 90.5 <> 91.0 |      0 |     0 |
| 91.0 <> 91.5 |      0 |     0 |
| 91.5 <> 92.0 |      0 |     0 |
| 92.0 <> 92.5 |      6 |   408 |
| 92.5 <> 93.0 |     17 |  1156 |
| 93.0 <> 93.5 |      0 |     0 |
| 93.5 <> 94.0 |      1 |    76 |
| 94.0 <> 94.5 |      0 |     0 |
| 94.5 <> 95.1 |      3 |   795 |
=================================
