
=================================
| IO Statistics                 |
|                               |
| Interval size: 0.5 secs       |
| Col 1: ip.dst==106.205.93.239 |
|-------------------------------|
|              |1               |
| Interval
| Interval     | Frames | Bytes |
|-------------------------------|
|  0.0 <>  0.5 |      1 |    60 |
|  0.5 <>  1.0 |      1 |    56 |
|  1.0 <>  1.5 |      3 |  1464 |
|  1.5 <>  2.0 |      8 |  6130 |
|  2.0 <>  2.5 |      2 |  1847 |
|  2.5 <>  3.0 |      1 |    60 |
|  3.0 <>  3.5 |      4 |   433 |
|  3.5 <>  4.0 |      0 |     0 |
|  4.0 <>  4.5 |      1 |    68 |
|  4.5 <>  5.0 |      0 |     0 |
|  5.0 <>  5.5 |      0 |     0 |
|  5.5 <>  6.0 |      0 |     0 |
|  6.0 <>  6.5 |      0 |     0 |
|  6.5 <>  7.0 |      0 |     0 |
|  7.0 <>  7.5 |      0 |     0 |
|  7.5 <>  8.0 |      0 |     0 |
|  8.0 <>  8.5 |      0 |     0 |
|  8.5 <>  9.0 |      0 |     0 |
|  9.0 <>  9.5 |      3 |   895 |
|  9.5 <> 10.0 |      2 |   798 |
| 10.0 <> 10.5 |      0 |     0 |
| 10.5 <> 11.0 |      1 |    76 |
| 11.0 <> 11.5 |     16 | 21608 |
| 11.5 <> 12.0 |     21 | 21271 |
| 12.0 <> 12.5 |      6 |  5880 |
| 12.5 <> 13.0 |      7 |  7522 |
| 13.0 <> 13.5 |      5 |  5465 |
| 13.5 <> 14.0 |     21 | 13285 |
| 14.0 <> 14.5 |     16 |  9566 |
| 14.5 <> 15.0 |     43 | 51629 |
| 15.0 <> 15.5 |     22 | 23791 |
| 15.5 <> 16.0 |     22 | 25975 |
| 16.0 <> 16.5 |     29 | 15969 |
| 16.5 <> 17.0 |     27 | 29996 |
| 17.0 <> 17.5 |     14 | 13691 |
| 17.5 <> 18.0 |      6 |  4662 |
| 18.0 <> 18.5 |      7 |   508 |
| 18.5 <> 19.0 |      3 |   951 |
| 19.0 <> 19.5 |      1 |    68 |
| 19.5 <> 20.0 |      0 |     0 |
| 20.0 <> 20.5 |      7 |   452 |
| 20.5 <> 21.0 |      0 |     0 |
| 21.0 <> 21.5 |      0 |     0 |
| 21.5 <> 22.0 |      0 |     0 |
| 22.0 <> 22.5 |      9 |  8828 |
| 22.5 <> 23.0 |     23 | 29061 |
| 23.0 <> 23.5 |     31 | 20468 |
| 23.5 <> 24.0 |     30 | 28992 |
| 24.0 <> 24.5 |      2 |  1216 |
| 24.5 <> 25.0 |      0 |     0 |
| 25.0 <> 25.5 |      1 |    68 |
| 25.5 <> 26.0 |      0 |     0 |
| 26.0 <> 26.5 |      0 |     0 |
| 26.5 <> 27.0 |      0 |     0 |
| 27.0 <> 27.5 |     10 |   680 |
| 27.5 <> 28.0 |      0 |     0 |
| 28.0 <> 28.5 |      2 |   394 |
| 28.5 <> 29.0 |     12 | 13424 |
| 29.0 <> 29.5 |     19 | 21798 |
| 29.5 <> 30.0 |     38 | 15323 |
| 30.0 <> 30.5 |     34 | 30840 |
| 30.5 <> 31.0 |     26 | 27882 |
| 31.0 <> 31.5 |     26 | 31269 |
| 31.5 <> 32.0 |     26 | 29586 |
| 32.0 <> 32.5 |     29 | 29397 |
| 32.5 <> 33.0 |     40 | 18287 |
| 33.0 <> 33.5 |     28 | 25847 |
| 33.5 <> 34.0 |     14 | 15568 |
| 34.0 <> 34.5 |     18 | 19734 |
| 34.5 <> 35.0 |     22 | 30224 |
| 35.0 <> 35.5 |     21 | 19871 |
| 35.5 <> 36.0 |     30 |  9629 |
| 36.0 <> 36.5 |     27 | 23215 |
| 36.5 <> 37.0 |     25 | 30829 |
| 37.0 <> 37.5 |     35 | 28945 |
| 37.5 <> 38.0 |     39 | 29863 |
| 38.0 <> 38.5 |     32 | 30242 |
| 38.5 <> 39.0 |     25 | 29699 |
| 39.0 <> 39.5 |     28 | 30726 |
| 39.5 <> 40.0 |     22 | 29105 |
| 40.0 <> 40.5 |     27 | 29624 |
| 40.5 <> 41.0 |     44 | 31062 |
| 41.0 <> 41.5 |     39 | 29293 |
| 41.5 <> 42.0 |     22 | 28856 |
| 42.0 <> 42.5 |     30 | 30128 |
| 42.5 <> 43.0 |     26 | 29349 |
| 43.0 <> 43.5 |     24 | 24831 |
| 43.5 <> 44.0 |     21 | 29238 |
| 44.0 <> 44.5 |     31 | 18254 |
| 44.5 <> 45.0 |     33 | 14579 |
| 45.0 <> 45.5 |     35 | 27647 |
| 45.5 <> 46.0 |     26 | 29869 |
| 46.0 <> 46.5 |     24 | 29430 |
| 46.5 <> 47.0 |     28 | 29414 |
| 47.0 <> 47.5 |     33 | 25205 |
| 47.5 <> 48.0 |     22 | 13589 |
| 48.0 <> 48.5 |     26 | 19736 |
| 48.5 <> 49.0 |     25 | 22508 |
| 49.0 <> 49.5 |      9 |  3365 |
| 49.5 <> 50.0 |      4 |   751 |
| 50.0 <> 50.5 |     16 |  7082 |
| 50.5 <> 51.0 |      7 |  1221 |
| 51.0 <> 51.5 |      3 |   212 |
| 51.5 <> 52.0 |     11 |  1744 |
| 52.0 <> 52.5 |      4 |  2395 |
| 52.5 <> 53.0 |      8 |  1740 |
| 53.0 <> 53.5 |      9 |  8087 |
| 53.5 <> 54.0 |      7 |  7188 |
| 54.0 <> 54.5 |      0 |     0 |
| 54.5 <> 55.0 |      0 |     0 |
| 55.0 <> 55.5 |      2 |   136 |
| 55.5 <> 56.0 |      2 |   163 |
| 56.0 <> 56.5 |      0 |     0 |
| 56.5 <> 57.0 |     11 |  3151 |
| 57.0 <> 57.5 |     15 |  1140 |
| 57.5 <> 58.0 |      4 |   304 |
| 58.0 <> 58.5 |      4 |  2785 |
| 58.5 <> 59.0 |     12 |  7265 |
| 59.0 <> 59.5 |      3 |  2671 |
| 59.5 <> 60.0 |      8 | 10120 |
| 60.0 <> 60.5 |      8 |  5357 |
| 60.5 <> 61.0 |      8 |  8059 |
| 61.0 <> 61.5 |      9 |  7976 |
